izalathiso	i/zi/alathiso
kwiinkonzo	ku/i/in/konzo
ezezimali	e/za/i/zi/mali
kwiinkonzo	ku/i/in/konzo
kwerekhodi	kwa/i/rekhodi
nakwezinye	na/ku/ezi/nye
kwibhunga	ku/i/li/bhunga
ayokhalaza	a/ya/khalaz/a
kamasipala	ka/u/masipala
ezentlalo	e/za/i/n/tlalo
neentlobo	na/i/zin/tlobo
eyesibini	e/ya/i/si/bini
ezentlalo	e/za/i/n/tlalo
ngakwicala	nga/ku/i/cala
esecaleni	e/s/e/cala/ini
ukuqhutywa	u/ku/qhub/w/a
kwiikomiti	ku/i/i/komiti
yophuhliso	ya/u/phuhliso
okuthatha	a/u/ku/thath/a
nakubomi	na/ku/u/bu/bomi
nokunyuka	na/u/ku/nyuk/a
kuphuhliso	ku/u/phuhliso
kazwelonke	ka/u/zwelonke
kumasipala	ku/u/masipala
kumasipala	ku/u/masipala
yokujonga	ya/u/ku/jong/a
kwiinjongo	ku/i/in/jongo
elinomdla	eli/na/u/m/dla
senyathelo	sa/i/nyathelo
nephakathi	na/e/phakathi
kolawulo	kwa/u/lu/lawulo
yanciphisa	i/a/nciphis/a
akwixabiso	a/ku/i/xabiso
lokuphila	la/u/ku/phil/a
nakuluntu	na/ku/u/lu/ntu
izalathisi	i/zi/alathisi
kwiminyaka	ku/i/mi/nyaka
ngesantya	nga/i/si/antya
yehlabathi	ya/i/hlabathi
yasekhaya	ya/s/e/i/khaya
yehlabathi	ya/i/hlabathi
zeshishini	za/i/shishini
kushishino	ku/u/shishino
woshishino	wa/u/shishino
kumasipala	ku/u/masipala
kamasipala	ka/u/masipala
lasekhaya	la/s/e/i/khaya
nokuxhasa	na/u/ku/xhas/a
enamandla	e/na/a/ma/ndla
kamasipala	ka/u/masipala
kazwelonke	ka/u/zwelonke
kwiirhafu	ku/i/z/i/rhafu
ngokubanzi	nga/oku/banzi
abanomdla	aba/na/u/m/dla
kamasipala	ka/u/masipala
kazwelonke	ka/u/zwelonke
utyalo-mali	u/tyalo/mali
ugcino-mali	u/gcino/mali
yokugcina	ya/u/ku/gcin/a
ngokubanzi	nga/oku/banzi
nanjengoko	na/njenga/oko
nanjengoko	na/njenga/oko
kwingingqi	ku/i/n/gingqi
ekulweni	e/u/ku/lw/a/ini
okuphanda	a/u/ku/phand/a
kwimicimbi	ku/i/mi/cimbi
sophuhliso	sa/u/phuhliso
lorhwebo	lwa/u/lu/rhwebo
kwizibuko	ku/i/li/zibuko
wophuhliso	wa/u/phuhliso
ukuqhutywa	u/ku/qhub/w/a
kumasipala	ku/u/masipala
kumasipala	ku/u/masipala
ngokunjalo	nga/oku/njalo
kwibhunga	ku/i/li/bhunga
kwibhunga	ku/i/li/bhunga
eluntwini	e/u/lu/ntu/ini
kwibhunga	ku/i/li/bhunga
osecaleni	o/s/e/cala/ini
zophuhliso	za/u/phuhliso
kunikezelo	ku/u/nikezelo
kwiphepha	ku/i/li/phepha
ngezimali	nga/i/zin/mali
yoshishino	ya/u/shishino
wokuphila	wa/u/ku/phil/a
kwenqanaba	kwa/i/nqanaba
neqhayiya	na/i/li/qhayiya
kweentloko	kwa/i/in/tloko
ngeziphumo	nga/i/zi/phumo
zokwazisa	za/u/ku/az/is/a
neenkokeli	na/i/in/kokeli
unelungelo	u/na/i/lungelo
nesiganeko	na/i/si/ganeko
kwabahlali	kwa/a/ba/hlali
kumsebenzi	ku/u/m/sebenzi
kumsebenzi	ku/u/m/sebenzi
weekomiti	wa/i/z/i/komiti
ekumiseni	e/ku/m/is/a/ini
kwabahlali	kwa/a/ba/hlali
lweenkonzo	lwa/i/in/konzo
beenqununu	ba/i/in/qununu
namasekela	na/a/ma/sekela
ngeziphumo	nga/i/zi/phumo
kuluncedo	ku/l/u/lu/ncedo
weenkonzo	wa/i/z/in/konzo
lweenkonzo	lwa/i/in/konzo
ngamathuba	nga/a/ma/thuba
kulwakhiwo	ku/u/lu/akhiwo
yoqoqosho	ya/u/lu/qoqosho
bunegalelo	bu/na/i/galelo
lweemfuno	lwa/i/z/im/funo
ngezifundo	nga/i/zi/fundo
neenkqubo	na/i/z/in/kqubo
neenkonzo	na/i/z/in/konzo
kumabhunga	ku/a/ma/bhunga
noxanduva	na/u/lu/xanduva
lweenkonzo	lwa/i/in/konzo
iingcebiso	i/z/in/gcebiso
lweemfuno	lwa/i/z/im/funo
bafumanisa	ba/a/fumanis/a
bafumanisa	ba/a/fumanis/a
yesithethe	ya/i/si/thethe
zoqoqosho	za/u/lu/qoqosho
neengxaki	na/i/z/in/gxaki
enyanisweni	e/nyaniso/ini
ezikhutshwa	ezi/khuph/w/a
kwabahlali	kwa/a/ba/hlali
necandelo	na/i/li/candelo
kweendlela	kwa/i/in/dlela
lwezemali	lwa/e/za/i/mali
ngokuthile	nga/oku/th/ile
bengakwazi	be/nga/ku/az/i
iimpendulo	i/z/im/pendulo
ngezifundo	nga/i/zi/fundo
kwezakhona	kwa/i/zi/khona
ngekhondo	nga/i/li/khondo
iingcebiso	i/z/in/gcebiso
lokubhala	lwa/u/ku/bhal/a
neenkokeli	na/i/in/kokeli
ngesiphumo	nga/i/si/phumo
anoqoqosho	a/na/u/qoqosho
namaxabiso	na/a/ma/xabiso
kwegalelo	kwa/i/li/galelo
kwabahlali	kwa/a/ba/hlali
elandulela	eli/andul/el/a
nenxaxheba	na/i/n/xaxheba
neendlela	na/i/z/in/dlela
yeenkokeli	ya/i/in/kokeli
kwentswelo	kwa/i/n/tswelo
kumaphepha	ku/a/ma/phepha
lweemfuno	lwa/i/z/im/funo
lweengxaki	lwa/i/in/gxaki
iimpendulo	i/z/im/pendulo
ongezantsi	o/nga/e/zantsi
kobunakho	kwa/u/bu/na/kho
zomsebenzi	za/u/m/sebenzi
lweenkonzo	lwa/i/in/konzo
lweenkonzo	lwa/i/in/konzo
beenkonzo	ba/i/z/in/konzo
kuqoqosho	ku/u/lu/qoqosho
yomsebenzi	ya/u/m/sebenzi
neenkqubo	na/i/z/in/kqubo
zomsebenzi	za/u/m/sebenzi
kwimpumezo	ku/i/m/phumezo
neenkqubo	na/i/z/in/kqubo
ngokukodwa	nga/oku/ko/dwa
okokuqala	okwa/u/ku/qal/a
okwesibini	okwa/i/si/bini
kogqithiso	kwa/u/gqithiso
ongezantsi	o/nga/e/zantsi
ngeziphumo	nga/i/zi/phumo
leengxoxo	la/i/z/in/gxoxo
leengxoxo	la/i/z/in/gxoxo
kwezigqibo	kwa/i/zi/gqibo
leengxoxo	la/i/z/in/gxoxo
kwisakhiwo	ku/i/si/akhiwo
iimpendulo	i/z/im/pendulo
lwengingqi	lwa/i/n/gingqi
somsebenzi	sa/u/m/sebenzi
kwabahlali	kwa/a/ba/hlali
kweenkonzo	kwa/i/in/konzo
ngeziphumo	nga/i/zi/phumo
kwebhunga	kwa/i/li/bhunga
kwisedibeng	ku/i/sedibeng
kokungena	kwa/u/ku/ngen/a
neenkonzo	na/i/z/in/konzo
kumsebenzi	ku/u/m/sebenzi
lweenkonzo	lwa/i/in/konzo
ngabahlali	nga/a/ba/hlali
zeenkonzo	za/i/z/in/konzo
iintlawulo	i/z/in/tlawulo
empahleni	e/i/m/pahla/ini
iintlawulo	i/z/in/tlawulo
leengxoxo	la/i/z/in/gxoxo
ngezemali	nga/e/za/i/mali
leengxoxo	la/i/z/in/gxoxo
lwesiqhelo	lwa/i/si/qhelo
lwephepha	lwa/i/li/phepha
ngeenkqubo	nga/i/in/kqubo
kuluncedo	ku/l/u/lu/ncedo
lwamaxesha	lwa/a/ma/xesha
kuluncedo	ku/l/u/lu/ncedo
nelabucala	na/e/la/bucala
zokubekwa	za/u/ku/bek/w/a
yohlaziyo	ya/u/lu/hlaziyo
kwezithuba	kwa/i/zi/thuba
kwesiphumo	kwa/i/si/phumo
ngebakala	nga/i/li/bakala
zoqeqesho	za/u/lu/qeqesho
olwenzelwe	olu/enz/el/w/e
neenjongo	na/i/z/in/jongo
ngexabiso	nga/i/li/xabiso
lwamagunya	lwa/a/ma/gunya
kumaqumrhu	ku/a/ma/qumrhu
ngamathuba	nga/a/ma/thuba
kumazantsi	ku/a/ma/zantsi
ophuhliso	a/u/lu/phuhliso
neminqweno	na/i/mi/nqweno
lwamalungu	lwa/a/ma/lungu
kuqoqosho	ku/u/lu/qoqosho
omgangatho	a/u/m/gangatho
iingcebiso	i/z/in/gcebiso
iinkampani	i/z/in/kampani
ongezantsi	o/nga/e/zantsi
zemimiselo	za/i/mi/miselo
neenjongo	na/i/z/in/jongo
noqoqosho	na/u/lu/qoqosho
neenkqubo	na/i/z/in/kqubo
kubuqabane	ku/u/bu/qabane
kumsebenzi	ku/u/m/sebenzi
neendlela	na/i/z/in/dlela
zeengxaki	za/i/z/in/gxaki
setyenziswa	sebenz/is/w/a
yokwabiwa	ya/u/ku/ab/iw/a
kwenzekayo	ku/enz/ek/a/yo
kwesityebi	kwa/i/si/tyebi
nehlwempu	na/i/li/hlwempu
kweziphumo	kwa/i/zi/phumo
yeenjongo	ya/i/z/in/jongo
kweenkonzo	kwa/i/in/konzo
nemithombo	na/i/mi/thombo
noxanduva	na/u/lu/xanduva
