olwenziwe	olu/enz/iw/e
ekwenzayo	e/ku/enz/a/yo
bengingqi	ba/i/n/gingqi
zengingqi	za/i/n/gingqi
wengingqi	wa/i/n/gingqi
kwilahleko	ku/i/lahleko
kumatyala	ku/a/ma/tyala
kwexesha	kwa/i/li/xesha
ezikwi-idp	ezi/ku/i/idp
nengingqi	na/i/n/gingqi
neekomiti	na/i/i/komiti
beenkonzo	ba/i/in/konzo
iinkokeli	i/z/in/kokeli
lengingqi	la/i/n/gingqi
ngemfundo	nga/i/m/fundo
yeempahla	ya/i/im/pahla
zorhwebo	za/u/lu/rhwebo
namazinga	na/a/ma/zinga
norhwebo	na/u/lu/rhwebo
enxulumene	e/nxuluman/e
kurhwebo	ku/u/lu/rhwebo
zixatyiswe	zi/xabis/w/e
ukwenzela	u/ku/enz/el/a
nokumisa	na/u/ku/m/is/a
wophando	wa/u/lu/phando
ngendlela	nga/i/n/dlela
nenqanam	na/i/li/nqanam
namalungu	na/a/ma/lungu
zabahlali	za/a/ba/hlali
kungevoti	ku/nga/i/voti
yabahlali	ya/a/ba/hlali
kwicandelo	ku/i/candelo
kumalungu	ku/a/ma/lungu
asenokuba	a/se/na/ukuba
iinkokeli	i/z/in/kokeli
nempumezo	na/i/m/pumezo
kubahlali	ku/a/ba/hlali
yabahlali	ya/a/ba/hlali
kwamaziko	kwa/a/ma/ziko
njengokuba	njenga/ukuba
kwisantya	ku/i/si/antya
labafundi	la/a/ba/fundi
sothweso	sa/u/lu/thweso
yeminyaka	ya/i/mi/nyaka
nezifundo	na/i/zi/fundo
kumakhaya	ku/a/ma/khaya
ngenyanga	nga/i/n/yanga
ngenyanga	nga/i/n/yanga
nemicimbi	na/i/mi/cimbi
lwamaqela	lwa/a/ma/qela
zeelwimi	za/i/z/i/lwimi
zengingqi	za/i/n/gingqi
iipowusta	i/z/i/powusta
yabahlali	ya/a/ba/hlali
neenjongo	na/i/in/jongo
iipatheni	i/z/i/patheni
nolawulo	na/u/lu/lawulo
ngobunini	nga/u/bu/nini
inyathelo	i/li/nyathelo
iipatheni	i/z/i/patheni
ngocingo	nga/u/lu/cingo
lovavanyo	lwa/u/vavanyo
iimfuneko	i/z/in/funeko
iingeniso	i/z/i/ngeniso
yamanyama	ya/a/ma/nyama
kwii-ofisi	ku/i/i/ofisi
zengingqi	za/i/n/gingqi
lengingqi	la/i/n/gingqi
abanyulwa	a/a/ba/nyulwa
kummandla	ku/u/m/mandla
wolawulo	wa/u/lu/lawulo
yolawulo	ya/u/lu/lawulo
neenkonzo	na/i/in/konzo
lwenkqubo	lwa/i/n/kqubo
yolawulo	ya/u/lu/lawulo
kwesikolo	kwa/i/si/kolo
ukwenzela	u/ku/enz/el/a
neenkqubo	na/i/in/kqubo
wengingqi	wa/i/n/gingqi
neendlela	na/i/in/dlela
yezemali	ya/e/za/i/mali
zorhwebo	za/u/lu/rhwebo
nomkhethe	na/u/m/khethe
iingingqi	i/z/in/gingqi
ngexesha	nga/i/li/xesha
kweemfuno	kwa/i/im/funo
ukwenzela	u/ku/enz/el/a
ukwandisa	u/ku/and/is/a
beenkonzo	ba/i/in/konzo
nemibutho	na/i/mi/butho
lwendlela	lwa/i/n/dlela
njengokuba	njenga/ukuba
wokoluka	wa/u/ku/oluk/a
ishishini	i/li/shishini
wephepha	wa/i/li/phepha
besithuba	ba/i/si/thuba
nemibutho	na/i/mi/butho
ingakwazi	i/nga/ku/az/i
ukwenzeka	u/ku/enz/ek/a
weekomiti	wa/i/i/komiti
neenkqubo	na/i/in/kqubo
ukwenzela	u/ku/enz/el/a
kumjikelo	ku/u/m/jikelo
nonyango	na/u/lu/nyango
kwisantya	ku/i/si/antya
sephepha	sa/i/li/phepha
kwamadoda	kwa/a/ma/doda
kwamadoda	kwa/a/ma/doda
elisemva	eli/s/e/u/m/va
iinyaniso	i/z/in/yaniso
negalelo	na/i/li/galelo
ngaxesha	nga/i/li/xesha
ngaxesha	nga/i/li/xesha
negalelo	na/i/li/galelo
ukwenziwa	u/ku/enz/iw/a
iinkokeli	i/z/in/kokeli
babahlali	ba/a/ba/hlali
ngeempawu	nga/i/im/pawu
ukwenziwa	u/ku/enz/iw/a
kwilungelo	ku/i/lungelo
kummandla	ku/u/m/mandla
nolawulo	na/u/lu/lawulo
kwendlela	kwa/i/n/dlela
zolawulo	za/u/lu/lawulo
i-luckytown	i/luckytown
yeziqhamo	ya/i/zi/qhamo
iintsapho	i/z/in/tsapho
koqoqosho	kwa/u/qoqosho
iipatheni	i/z/i/patheni
kwicandelo	ku/i/candelo
yohlahlo	ya/u/lu/hlahlo
lwexesha	lwa/i/li/xesha
lweemfuno	lwa/i/im/funo
kummandla	ku/u/m/mandla
ngendlela	nga/i/n/dlela
enxulumene	e/nxuluman/e
ngexesha	nga/i/li/xesha
kwengcali	kwa/i/n/gcali
neenkqubo	na/i/in/kqubo
zomelezwe	zi/omelez/w/e
lokunika	lwa/u/ku/nik/a
solawulo	sa/u/lu/lawulo
ngokwemo	ng/a/okwa/i/mo
zeengxoxo	za/i/in/gxoxo
kummandla	ku/u/m/mandla
labahlali	la/a/ba/hlali
kumthetho	ku/u/m/thetho
wengingqi	wa/i/n/gingqi
labafundi	la/a/ba/fundi
kwinkonzo	ku/i/n/khonzo
iipropati	i/z/i/propati
ngethuba	nga/i/li/thuba
kwenyanga	kwa/i/n/yanga
kwezimbini	ku/ezin/bini
yabahlali	ya/a/ba/hlali
kokuqala	kwa/u/ku/qal/a
neekomiti	na/i/i/komiti
kummandla	ku/u/m/mandla
kummandla	ku/u/m/mandla
lwengxelo	lwa/i/n/gxelo
kummandla	ku/u/m/mandla
koqoqosho	kwa/u/qoqosho
usetyenziso	u/sebenziso
endaweni	e/i/n/dawo/ini
nesiphumo	na/i/si/phumo
kummandla	ku/u/m/mandla
ziintoni	z/i/z/in/to/ni
iimpiliso	i/z/im/piliso
neendlela	na/i/in/dlela
negalelo	na/i/li/galelo
kwamagosa	kwa/a/ma/gosa
lwesikolo	lwa/i/si/kolo
ngexesha	nga/i/li/xesha
emanzini	e/a/ma/nzi/ini
ngokukuko	nga/oku/ku/ko
ngomyinge	nga/u/m/yinge
kwamagama	kwa/a/ma/gama
iidolophu	i/z/i/dolophu
namathuba	na/a/ma/thuba
nolawulo	na/u/lu/lawulo
yolawulo	ya/u/lu/lawulo
inyathelo	i/li/nyathelo
neemfuno	na/i/z/in/funo
ngendlela	nga/i/n/dlela
yolawulo	ya/u/lu/lawulo
incwadana	i/n/cwadi/ana
bothutho	ba/u/lu/thutho
lwempahla	lwa/i/m/pahla
nonxweme	na/u/lu/nxweme
yabahlali	ya/a/ba/hlali
zengingqi	za/i/n/gingqi
kuphando	ku/u/lu/phando
eekomiti	a/i/z/i/komiti
nolawulo	na/u/lu/lawulo
kwiarhente	ku/i/arhente
yamanqaku	ya/a/ma/nqaku
lengingqi	la/i/n/gingqi
wengingqi	wa/i/n/gingqi
yeenjongo	ya/i/in/jongo
wengingqi	wa/i/n/gingqi
nemibutho	na/i/mi/butho
wengingqi	wa/i/n/gingqi
kummandla	ku/u/m/mandla
i-municipal	i/municipal
neendlela	na/i/in/dlela
zokumisa	za/u/ku/m/is/a
wengingqi	wa/i/n/gingqi
ngoncedo	nga/u/lu/ncedo
iiarhente	i/z/i/arhente
neenkqubo	na/i/in/kqubo
nemibutho	na/i/mi/butho
nezakhono	na/i/zi/khono
neendlela	na/i/in/dlela
neemfuno	na/i/z/in/funo
ukwenzela	u/ku/enz/el/a
beenkonzo	ba/i/in/konzo
wengingqi	wa/i/n/gingqi
