lunelungelo	lu/na/i/lungelo
anoxanduva	a/na/u/lu/xanduva
karhulumente	ka/u/rhulumente
awamaphondo	a/wa/a/ma/phondo
nawengingqi	na/wa/i/n/gingqi
kurhulumente	ku/u/rhulumente
emakwenziwe	e/ma/ku/enz/iw/e
karhulumente	ka/u/rhulumente
esetyenziswe	e/sebenz/is/w/e
esamkelweyo	esi/amkel/w/e/yo
zisisakhelo	zi/s/i/si/akhelo
ekuhlaleni	e/u/ku/hlal/a/ini
ngokufumana	nga/u/ku/fuman/a
obunamandla	obu/na/a/ma/ndla
kurhulumente	ku/u/rhulumente
ngeprojekthi	nga/i/projekthi
zokusebenza	za/u/ku/sebenz/a
kukhathalelo	ku/u/khathalelo
kweenyanga	kwa/i/z/in/nyanga
nokusebenza	na/u/ku/sebenz/a
kukhathalelo	ku/u/khathalelo
lokwenziwa	lwa/u/ku/enz/iw/a
yokugqibela	ya/u/ku/gqibel/a
kwekhontraka	kwa/i/khontraka
abangabantu	aba/nga/a/ba/ntu
abaneenqobo	aba/na/i/in/qobo
kwimisebenzi	ku/i/mi/sebenzi
nongcoliseko	na/u/ngcoliseko
kufunyaniswe	ku/fuman/is/w/e
karhulumente	ka/u/rhulumente
yanamagunya	ya/na/a/ma/gunya
karhulumente	ka/u/rhulumente
nampumelelo	na/i/m/phumelelo
orhwaphilizo	a/u/rhwaphilizo
karhulumente	ka/u/rhulumente
ngokwegunya	nga/okwa/i/gunya
ngokwegunya	nga/okwa/i/gunya
ekuqhubeni	e/u/ku/qhub/a/ini
ekuhlaleni	e/u/ku/hlal/a/ini
ngokujolisa	nga/u/ku/jolis/a
yobuthathaka	ya/u/buthathaka
kutyalo-mali	ku/u/tyalo/mali
yotyalo-mali	ya/u/tyalo/mali
ekuhlaleni	e/u/ku/hlal/a/ini
ukuhanjiswa	u/ku/hamb/is/w/a
okwisahluko	o/ku/i/si/ahluko
ehlabathini	e/i/hlabathi/ini
kudityaniswe	ku/diban/is/w/e
ekuncedeni	e/u/ku/nced/a/ini
zokwabelana	za/ku/ab/el/an/a
nokhathalelo	na/u/khathalelo
olunendleko	olu/na/i/n/dleko
eziqhutywayo	ezi/qhub/w/a/yo
ekuncedeni	e/u/ku/nced/a/ini
kunegalelo	ku/na/i/li/galelo
kwiphetshana	ku/i/phepha/ana
ekuxhaseni	e/u/ku/xhas/a/ini
kurhulumente	ku/u/rhulumente
zokuphucula	za/u/ku/phucul/a
kwiimveliso	ku/i/z/im/veliso
ukusetyenzwa	u/ku/sebenz/w/a
okukumsinga	oku/ku/u/m/singa
karhulumente	ka/u/rhulumente
asilohlahlo	asi/lwa/u/hlahlo
ngokwegunya	nga/okwa/i/gunya
zokuvavanya	za/u/ku/vavany/a
wokulingana	wa/u/ku/lingan/a
lisisakhelo	li/s/i/si/akhelo
wocalucalulo	wa/u/calucalulo
karhulumente	ka/u/rhulumente
karhulumente	ka/u/rhulumente
ekuhlaleni	e/u/ku/hlal/a/ini
ezinegalelo	ezi/na/li/galelo
ngokuzikisa	nga/u/ku/zikis/a
kokuyibona	kwa/u/ku/yi/bon/a
kweenyanga	kwa/i/z/in/nyanga
ekuhlaleni	e/u/ku/hlal/a/ini
kwiiyunithi	ku/i/z/i/yunithi
kwiilokishi	ku/i/z/i/lokishi
kuncitshiswa	ku/nciph/is/w/a
kobuhlwempu	kwa/u/bu/hlwempu
ngokufanayo	nga/oku/fan/a/yo
buncitshiswe	bu/nciph/is/w/e
yokuvavanya	ya/u/ku/vavany/a
nokusebenza	na/u/ku/sebenz/a
yokuvavanya	ya/u/ku/vavany/a
bangaphandle	aba/nga/phandle
wokusebenza	wa/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
lweprojekthi	lwa/i/projekthi
nangesidima	na/nga/i/si/dima
okulingeneyo	oku/lingan/e/yo
karhulumente	ka/u/rhulumente
ngokufanayo	nga/oku/fan/a/yo
ngoomasipala	nga/oo/masipala
onoxanduva	o/na/u/lu/xanduva
lweprojekthi	lwa/i/projekthi
yezezimali	ya/e/za/i/zi/mali
ukuphunyezwa	u/ku/phumez/w/a
kophuhliso	kwa/u/lu/phuhliso
bokhathalelo	ba/u/khathalelo
lokuqulunqa	la/u/ku/qulunq/a
karhulumente	ka/u/rhulumente
zokulingana	za/u/ku/lingan/a
nokhathalelo	na/u/khathalelo
lwabantwana	lwa/a/ba/ntu/ana
karhulumente	ka/u/rhulumente
nezezimali	na/e/za/i/zi/mali
kukwahlulwa	ku/kwa/ahlul/w/a
nokusebenza	na/u/ku/sebenz/a
lokuphucula	la/u/ku/phucul/a
karhulumente	ka/u/rhulumente
karhulumente	ka/u/rhulumente
nezezimali	na/e/za/i/zi/mali
kwisikhululo	ku/i/si/khululo
ngokwegunya	nga/okwa/i/gunya
nawomnqweno	na/wa/u/m/nqweno
kwiinkokeli	ku/i/z/in/kokeli
kwinyathelo	ku/i/li/nyathelo
karhulumente	ka/u/rhulumente
norhulumente	na/u/rhulumente
kwakwinqanam	kwa/ku/i/nqanam
lweprojekthi	lwa/i/projekthi
esetyenziswa	e/sebenz/is/w/a
karhulumente	ka/u/rhulumente
ngeprojekthi	nga/i/projekthi
kweprojekthi	kwa/i/projekthi
kurhulumente	ku/u/rhulumente
karhulumente	ka/u/rhulumente
karhulumente	ka/u/rhulumente
nesimiselwe	na/asi/misel/w/e
ekupheleni	e/u/ku/phel/a/ini
kunyaka-mali	ku/u/nyaka/mali
kunyanzeliso	ku/u/nyanzeliso
abonwabanga	a/ba/onwab/a/nga
yokugqitywa	ya/u/ku/gqib/w/a
nokulingana	na/u/ku/lingan/a
zokusebenza	za/u/ku/sebenz/a
kwemunicipal	kwa/i/municipal
enkundleni	e/i/n/khundla/ini
ngeemposiso	nga/i/i/m/posiso
ekunyuseni	e/u/ku/nyus/a/ini
kophuhliso	kwa/u/lu/phuhliso
yokusebenza	ya/u/ku/sebenz/a
nokuphawula	na/u/ku/phawul/a
wokusebenza	wa/u/ku/sebenz/a
ngokuthatha	nga/u/ku/thath/a
notyalo-mali	na/u/tyalo/mali
ezithunyelwa	ezi/thum/el/w/a
kwiingingqi	ku/i/z/in/gingqi
iimpembelelo	i/im/phembelelo
awayephila	a/wa/a/y/e/phil/a
zokusebenza	za/u/ku/sebenz/a
norhulumente	na/u/rhulumente
ukuhanjiswa	u/ku/hamb/is/w/a
esetyenziswa	e/sebenz/is/w/a
zokusebenza	za/u/ku/sebenz/a
kwimibandela	ku/i/mi/bandela
kurhulumente	ku/u/rhulumente
kurhulumente	ku/u/rhulumente
enoxanduva	e/na/u/lu/xanduva
kwiingingqi	ku/i/z/in/gingqi
kurhulumente	ku/u/rhulumente
enenkathalo	e/na/i/n/kathalo
yokusebenza	ya/u/ku/sebenz/a
enemithombo	e/na/i/mi/thombo
wethutyana	wa/i/li/thuba/ana
kokwenziwa	kwa/u/ku/enz/iw/a
yophengululo	ya/u/phengululo
lweprojekthi	lwa/i/projekthi
karhulumente	ka/u/rhulumente
ongquzulwano	a/u/ngquzulwano
ezikwiphepha	ezi/ku/i/phepha
zedemokhrasi	za/i/demokhrasi
enkundleni	e/i/n/khundla/ini
kuphononongo	ku/u/phononongo
lomnathazwe	lwa/u/m/nathazwe
nokhathalelo	na/u/khathalelo
kwimisebenzi	ku/i/mi/sebenzi
kusonjululwe	ku/sombulul/w/e
yotyalo-mali	ya/u/tyalo/mali
nangendlela	na/nga/i/n/dlela
ekukhuleni	e/u/ku/khul/a/ini
ngokuchonga	nga/u/ku/chong/a
karhulumente	ka/u/rhulumente
orhwaphilizo	a/u/rhwaphilizo
nokuvavanya	na/u/ku/vavany/a
ekuhlaleni	e/u/ku/hlal/a/ini
yozalisekiso	ya/u/zalisekiso
kwiingxabano	ku/i/in/gxabano
ucebawewadi	u/ceba/wa/i/wadi
ekukhupheni	e/u/ku/khuph/ini
karhulumente	ka/u/rhulumente
kweprojekthi	kwa/i/projekthi
kurhulumente	ku/u/rhulumente
yi-inshorensi	y/i/inshorensi
neyentlalo	na/e/ya/i/n/tlalo
yokusebenza	ya/u/ku/sebenz/a
ngokuguqula	nga/u/ku/guqul/a
ehlabathini	e/i/hlabathi/ini
norhulumente	na/u/rhulumente
kwihlabathi	ku/i/li/hlabathi
localucalulo	la/u/calucalulo
ngotshintsho	nga/u/tshintsho
lwebroadband	lwa/i/broadband
neyexesha	na/e/ya/i/li/xesha
yotyalo-mali	ya/u/tyalo/mali
ekunyukeni	e/u/ku/nyuk/a/ini
kutyalo-mali	ku/u/tyalo/mali
ekuhlumeni	e/u/ku/hlum/a/ini
njengoxwebhu	njenga/u/xwebhu
ekusetyenzwa	e/ku/sebenz/w/a
zokusebenza	za/u/ku/sebenz/a
ekuqondeni	e/u/ku/qond/a/ini
kwihlabathi	ku/i/li/hlabathi
nempumelelo	na/i/m/phumelelo
benezakhono	be/na/i/zi/khono
ekutyaleni	e/u/ku/tyal/a/ini
aneengxaki	a/na/i/z/in/gxaki
yotyalo-mali	ya/u/tyalo/mali
ekunyuseni	e/u/ku/nyus/a/ini
nokusebenza	na/u/ku/sebenz/a
iimpembelelo	i/im/phembelelo
karhulumente	ka/u/rhulumente
karhulumente	ka/u/rhulumente
makudityanwe	ma/ku/diban/w/e
ekuhlaleni	e/u/ku/hlal/a/ini
ezithunyelwa	ezi/thum/el/w/a
ekufundeni	e/u/ku/fund/a/ini
namashisini	na/a/ma/shishini
nokusebenza	na/u/ku/sebenz/a
zokuphumeza	za/u/ku/phumez/a
lweprojekthi	lwa/i/projekthi
kurhulumente	ku/u/rhulumente
ekumanyeni	e/u/ku/many/a/ini
ekuhlaleni	e/u/ku/hlal/a/ini
zokuphucula	za/u/ku/phucul/a
zokulungisa	za/u/ku/lungis/a
lophuhliso	lwa/u/lu/phuhliso
zokuqeqesha	za/u/ku/qeqesh/a
ngothethwano	nga/u/thethwano
lweprojekthi	lwa/i/projekthi
kuselithuba	ku/sa/i/li/thuba
karhulumente	ka/u/rhulumente
kwiimfuneko	ku/i/z/in/funeko
esithathwini	e/si/thathu/ini
sotyalo-mali	sa/u/tyalo/mali
ezinemigodi	ezi/na/i/mi/godi
sokusebenza	sa/u/ku/sebenz/a
lokuqhutywa	la/u/ku/qhub/w/a
kweprojekthi	kwa/i/projekthi
ekuhlaleni	e/u/ku/hlal/a/ini
ekuhlaleni	e/u/ku/hlal/a/ini
nokusebenza	na/u/ku/sebenz/a
wokuhlawula	wa/u/ku/hlawul/a
nokusebenza	na/u/ku/sebenz/a
karhulumente	ka/u/rhulumente
kukusebenza	ku/u/ku/sebenz/a
kurhulumente	ku/u/rhulumente
karhulumente	ka/u/rhulumente
lweprojekthi	lwa/i/projekthi
nezalathiso	na/i/zi/alathiso
zokusebenza	za/u/ku/sebenz/a
ngokwezinto	nga/okwa/i/zi/to
kwihlabathi	ku/i/li/hlabathi
kombhexeshi	kwa/u/m/bhexeshi
kwizikhundla	ku/i/zi/khundla
kwiingcebiso	ku/i/in/gcebiso
nozalisekiso	na/u/zalisekiso
lweprojekthi	lwa/i/projekthi
woxolelaniso	wa/u/xolelaniso
nesiyinzuzo	na/esi/yi/n/zuzo
kurhulumente	ku/u/rhulumente
nokusebenza	na/u/ku/sebenz/a
karhulumente	ka/u/rhulumente
ekubambeni	e/u/ku/bamb/a/ini
yokusebenza	ya/u/ku/sebenz/a
nangenkqubo	na/nga/i/n/kqubo
anomsebenzi	a/na/u/m/sebenzi
kwisikhundla	ku/i/si/khundla
sezemfundo	sa/e/za/i/m/fundo
kwiphungulo	ku/i/li/phungulo
zokusebenza	za/u/ku/sebenz/a
kwishishini	ku/i/li/shishini
lunezixhobo	lu/na/i/zi/xhobo
zotyalo-mali	za/u/tyalo/mali
nempumelelo	na/i/m/phumelelo
anoxanduva	a/na/u/lu/xanduva
ngokuthatha	nga/u/ku/thath/a
okwandileyo	o/ku/and/il/e/yo
kwiiseshoni	ku/i/z/i/seshoni
ngoqwalaselo	nga/u/qwalaselo
wokusebenza	wa/u/ku/sebenz/a
kwisikhokelo	ku/i/si/khokelo
kwiithagethi	ku/i/i/thagethi
njengoxwebhu	njenga/u/xwebhu
anoxanduva	a/na/u/lu/xanduva
zinamaqondo	zi/na/a/ma/qondo
ezabonakala	ezi/a/bon/akal/a
sineendlela	si/na/i/in/dlela
ngokwexesha	nga/okwa/i/xesha
lokwenziwa	lwa/u/ku/enz/iw/a
yokuphucula	ya/u/ku/phucul/a
ekuxhaseni	e/u/ku/xhas/a/ini
bezentlalo	ba/e/za/i/n/tlalo
karhulumente	ka/u/rhulumente
nokukhusela	na/u/ku/khusel/a
notyalo-mali	na/u/tyalo/mali
eyantlukwano	e/i/yantlukwano
karhulumente	ka/u/rhulumente
unoxanduva	u/na/u/lu/xanduva
norhulumente	na/u/rhulumente
ngokwegunya	nga/okwa/i/gunya
