lwemibutho	lwa/i/mi/butho
yezolimo	ya/e/za/u/lu/limo
kwiingingqi	ku/i/in/gingqi
kwiidolophu	ku/i/i/dolophu
komsebenzi	kwa/u/m/sebenzi
kwiikomiti	ku/i/z/i/komiti
kwiintlobo	ku/i/z/in/tlobo
ezilinywayo	ezi/lim/w/a/yo
kwisipolisa	ku/i/si/polisa
zokuvalela	za/u/ku/valel/a
yobungcali	ya/u/bu/n/gcali
babazisile	ba/ba/az/is/ile
sithunyelwe	si/thum/el/w/e
kwiiyunithi	ku/i/i/yunithi
zacalanye	za/i/li/cala/nye
beprojekthi	ba/i/projekthi
komsebenzi	kwa/u/m/sebenzi
koomasipala	ku/oo/masipala
komsebenzi	kwa/u/m/sebenzi
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
kwiingxelo	ku/i/z/in/gxelo
kwimimandla	ku/i/mi/mandla
lwabiwo-mali	lu/abiwo/mali
kwiikomiti	ku/i/z/i/komiti
edolophini	e/i/dolophu/ini
efunyaniswa	e/fuman/is/w/a
kwinqanaba	ku/i/li/nqanaba
nokuvukela	na/u/ku/vukel/a
nokwahluka	na/u/ku/ahluk/a
leprojekthi	la/i/projekthi
kwiinkonzo	ku/i/z/in/konzo
kwiikomiti	ku/i/z/i/komiti
ukukhutshwa	u/ku/khuph/w/a
abanolwazi	aba/na/u/lu/azi
ekwakheni	e/u/ku/akh/a/ini
bokuvelisa	ba/u/ku/velis/a
sokuthatha	sa/u/ku/thath/a
nee-arhente	na/i/i/arhente
kwinkqubela	ku/i/n/kqubela
kwimimandla	ku/i/mi/mandla
kwimimandla	ku/i/mi/mandla
kwisithathu	ku/i/si/thathu
ngokubhala	nga/u/ku/bhal/a
koqoqosho	kwa/u/lu/qoqosho
impembelelo	i/m/phembelelo
nokulawula	na/u/ku/lawul/a
locwangciso	la/u/cwangciso
yocwangciso	ya/u/cwangciso
ekwenzeni	e/u/ku/enz/a/ini
bane-ajenda	ba/na/i/ajenda
kwimimandla	ku/i/mi/mandla
komsebenzi	kwa/u/m/sebenzi
ekwenzeni	e/u/ku/enz/a/ini
zeprojekthi	za/i/projekthi
lwabiwo-mali	lu/abiwo/mali
loqoqosho	lwa/u/lu/qoqosho
lwasekhaya	lwa/s/e/i/khaya
lwabiwo-mali	lu/abiwo/mali
kwimimandla	ku/i/mi/mandla
kwiinkonzo	ku/i/z/in/konzo
koqoqosho	kwa/u/lu/qoqosho
koqoqosho	kwa/u/lu/qoqosho
koqoqosho	kwa/u/lu/qoqosho
ukomelezwa	u/ku/omelez/w/a
nenefuthe	na/na/i/li/futhe
ngokujonga	nga/u/ku/jong/a
lwabiwo-mali	lu/abiwo/mali
kwiinkqubo	ku/i/z/in/kqubo
ngobhengezo	nga/u/bhengezo
lwabiwo-mali	lu/abiwo/mali
lomsebenzi	lwa/u/m/sebenzi
kwi-overhead	ku/i/overhead
kwiinkonzo	ku/i/z/in/konzo
lomsebenzi	lwa/u/m/sebenzi
lomsebenzi	lwa/u/m/sebenzi
ekwenzeni	e/u/ku/enz/a/ini
kwimimandla	ku/i/mi/mandla
nokuthatha	na/u/ku/thath/a
loqoqosho	lwa/u/lu/qoqosho
nokunqwala	na/u/ku/nqwal/a
nokuthetha	na/u/ku/theth/a
ekuxoxeni	e/u/ku/xox/a/ini
ezolawulo	e/za/u/lu/lawulo
lwabiwo-mali	lu/abiwo/mali
zepalamente	za/i/palamente
nangendawo	na/nga/i/n/dawo
kwinqanaba	ku/i/li/nqanaba
sokufumana	sa/u/ku/fuman/a
zokuvelisa	za/u/ku/velis/a
koqoqosho	kwa/u/lu/qoqosho
yokwahlula	ya/u/ku/ahlul/a
sokhuseleko	sa/u/khuseleko
ngophuhliso	nga/u/phuhliso
lwabiwo-mali	lu/abiwo/mali
lwekapitali	lwa/i/kapitali
lokuzimasa	la/u/ku/zimas/a
otyalo-mali	a/u/tyalo/mali
koqoqosho	kwa/u/lu/qoqosho
lomsebenzi	lwa/u/m/sebenzi
yokuthatha	ya/u/ku/thath/a
kwimimandla	ku/i/mi/mandla
kwimimandla	ku/i/mi/mandla
ukwandiswa	u/ku/and/is/w/a
lomsebenzi	lwa/u/m/sebenzi
kungenziwa	ku/nga/enz/iw/a
ziphendule	zi/phendul/el/a
nonxulumano	na/u/nxulumano
eliphantsi	eli/li/phants/i
ngokwenene	nga/okwa/i/nene
inohlahlo	i/na/u/lu/hlahlo
lwabiwo-mali	lu/abiwo/mali
nolondolozo	na/u/londolozo
lweendlela	lwa/i/zin/dlela
kwiziganeko	ku/i/zi/ganeko
ukwandiswa	u/ku/and/is/w/a
zeprojekthi	za/i/projekthi
socwangciso	sa/u/cwangciso
impembelelo	i/m/phembelelo
bokuthatha	ba/u/ku/thath/a
ekuxoxeni	e/u/ku/xox/a/ini
leprojekthi	la/i/projekthi
lwabiwo-mali	lu/abiwo/mali
yokumisela	ya/u/ku/misel/a
kweenkqubo	kwa/i/zin/kqubo
kwi-logframe	ku/i/logframe
beprojekthi	ba/i/projekthi
kunonophelo	ku/u/nonophelo
kwiinkonzo	ku/i/z/in/konzo
kohanjiso	kwa/u/lu/hanjiso
kwiipokotho	ku/i/i/pokotho
lwabiwo-mali	lu/abiwo/mali
kwinqanaba	ku/i/li/nqanaba
okucetyiswe	oku/ceb/is/w/e
ngokukhula	nga/u/ku/khul/a
koqoqosho	kwa/u/lu/qoqosho
ukukhutshwa	u/ku/khuph/w/a
kwekhabhoni	kwa/i/khabhoni
ekwakheni	e/u/ku/akh/a/ini
nokufumana	na/u/ku/fuman/a
lomsebenzi	lwa/u/m/sebenzi
nokuthatha	na/u/ku/thath/a
yokuthatha	ya/u/ku/thath/a
yokufumana	ya/u/ku/fuman/a
yeprojekthi	ya/i/projekthi
nonxulumano	na/u/nxulumano
inohlahlo	i/na/u/lu/hlahlo
lwabiwo-mali	lu/abiwo/mali
nakwiphondo	na/ku/i/phondo
kwiinkqubo	ku/i/z/in/kqubo
wagxininisa	u/a/gxininis/a
nokusilela	na/u/ku/silel/a
ngokuthuma	nga/u/ku/thum/a
kwiikomiti	ku/i/z/i/komiti
koqoqosho	kwa/u/lu/qoqosho
yokulawula	ya/u/ku/lawul/a
kwiinkonzo	ku/i/z/in/konzo
lwekhabhoni	lwa/i/khabhoni
yokufumana	ya/u/ku/fuman/a
ekwenzeni	e/u/ku/enz/a/ini
ngokuxhasa	nga/u/ku/xhas/a
ekwenzeni	e/u/ku/enz/a/ini
abanemidla	aba/na/i/mi/dla
nokuphatha	na/u/ku/phath/a
elandileyo	eli/and/il/e/yo
esikolweni	e/i/si/kolo/ini
elandileyo	eli/and/il/e/yo
yokuvelisa	ya/u/ku/velis/a
nangoxolo	na/nga/u/lu/xolo
zeprojekthi	za/i/projekthi
ebefunyanwa	e/be/fuman/w/a
yokuthatha	ya/u/ku/thath/a
kwinxaxheba	ku/i/n/xaxheba
kwiipowusta	ku/i/i/powusta
ngokungathi	nga/oku/ngathi
wabantwana	wa/a/ba/ntu/ana
lwabiwo-mali	lu/abiwo/mali
abanolwazi	aba/na/u/lu/azi
lunenjongo	lu/na/i/n/jongo
unamaqondo	u/na/a/ma/qondo
wedemokrasi	wa/i/demokrasi
nolwenziwa	na/olu/enz/iw/a
kungenzeka	ku/nga/enz/ek/a
ezicetywayo	ezi/ceb/w/a/yo
ngokwangoku	nga/okwa/ngoku
nekufuneka	na/e/ku/funek/a
wedemokrasi	wa/i/demokrasi
ngokucutha	nga/u/ku/cuth/a
kugunyaziso	ku/u/gunyaziso
ngomgqibelo	nga/u/mgqibelo
ekwakheni	e/u/ku/akh/a/ini
ngokufunda	nga/u/ku/fund/a
lwabiwo-mali	lu/abiwo/mali
seprojekthi	sa/i/projekthi
ezizemidla	ezi/za/i/mi/dla
ngezakhiwo	nga/i/zi/akhiwo
sotshintsho	sa/u/tshintsho
nekufuneka	na/e/ku/funek/a
kwiingxelo	ku/i/z/in/gxelo
kwimimandla	ku/i/mi/mandla
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
kwiikomiti	ku/i/z/i/komiti
kwiinjongo	ku/i/z/in/jongo
kwiinjongo	ku/i/z/in/jongo
kwiingingqi	ku/i/in/gingqi
kwimimandla	ku/i/mi/mandla
wepotfoliyo	wa/i/potfoliyo
banabameli	ba/na/a/ba/meli
kwiziganeko	ku/i/zi/ganeko
nakumaqela	na/ku/a/ma/qela
kwicandelo	ku/i/li/candelo
kwiikomiti	ku/i/z/i/komiti
lwabiwo-mali	lu/abiwo/mali
lomsebenzi	lwa/u/m/sebenzi
wedemokrasi	wa/i/demokrasi
edolophini	e/i/dolophu/ini
kwiingxoxo	ku/i/z/in/gxoxo
kusamkelwa	ku/sa/amkel/w/a
locwangciso	la/u/cwangciso
ngowe-2004	nga/o/wa/i/2004
bezicetyiwe	be/zi/ceb/iw/e
kwiintlobo	ku/i/z/in/tlobo
ekwakheni	e/u/ku/akh/a/ini
kwiinkonzo	ku/i/z/in/konzo
kunatyisiwe	ku/nab/is/iw/e
nokhuseleko	na/u/khuseleko
yeprojekthi	ya/i/projekthi
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
lwabiwo-mali	lu/abiwo/mali
ekwenzeni	e/u/ku/enz/a/ini
nokulawula	na/u/ku/lawul/a
kwimithombo	ku/i/mi/thombo
lokukhwela	la/u/ku/khwel/a
wedemokrasi	wa/i/demokrasi
yokuthatha	ya/u/ku/thath/a
kwenyathelo	kwa/i/nyathelo
zokufumana	za/u/ku/fuman/a
kwiikomiti	ku/i/z/i/komiti
yeprojekthi	ya/i/projekthi
kwicandelo	ku/i/li/candelo
beprojekthi	ba/i/projekthi
kwicandelo	ku/i/li/candelo
kwinkqubela	ku/i/n/kqubela
lwabiwo-mali	lu/abiwo/mali
lomsebenzi	lwa/u/m/sebenzi
nongenelelo	na/u/ngenelelo
lwabiwo-mali	lu/abiwo/mali
nokuthatha	na/u/ku/thath/a
kwiinkqubo	ku/i/z/in/kqubo
lwehlabathi	lwa/i/hlabathi
efunyanwayo	e/fuman/w/a/yo
lwabiwo-mali	lu/abiwo/mali
kwiingqesho	ku/i/in/gqesho
lomsebenzi	lwa/u/m/sebenzi
lwabiwo-mali	lu/abiwo/mali
kwimimandla	ku/i/mi/mandla
ngomasipala	nga/u/masipala
lwabiwo-mali	lu/abiwo/mali
yocwangciso	ya/u/cwangciso
ungaluhoyi	u/ngal/lu/hoy/i
benomsindo	be/na/u/m/sindo
lwabiwo-mali	lu/abiwo/mali
kwiinkonzo	ku/i/z/in/konzo
besanelisa	be/si/anel/is/a
kwiinkonzo	ku/i/z/in/konzo
zedemokrasi	za/i/demokrasi
ezingama-20	ezi/ng/a/ma/20
yokuthatha	ya/u/ku/thath/a
anomsebenzi	a/na/m/sebenzi
zokulawula	za/u/ku/lawul/a
yokukhetha	ya/u/ku/kheth/a
lwabiwo-mali	lu/abiwo/mali
ekuzuzeni	e/u/ku/zuz/a/ini
leprojekthi	la/i/projekthi
kuqhutyelwa	ku/qhub/el/w/a
lwekapitali	lwa/i/kapitali
kwimimandla	ku/i/mi/mandla
lwabiwo-mali	lu/abiwo/mali
uhlahlo-mali	u/hlahlo/mali
yeprojekthi	ya/i/projekthi
kukuthatha	ku/u/ku/thath/a
lwasekhaya	lwa/s/e/i/khaya
kwiimpahla	ku/i/z/im/pahla
awanelanga	a/wa/anel/a/nga
kwiindleko	ku/i/z/in/dleko
lokuthatha	la/u/ku/thath/a
yabantwana	ya/a/ba/ntu/ana
