yoxanduva	ya/u/lu/xanduva
lwengingqi	lwa/i/n/gingqi
beenkonzo	ba/i/z/in/konzo
kwezigqibo	kwa/i/zi/gqibo
ngobuchule	nga/u/bu/chule
kwemveliso	kwa/i/m/veliso
kwamazinga	kwa/a/ma/zinga
lingakwazi	li/nga/ku/az/i
lweemfuno	lwa/i/z/im/funo
lweenkonzo	lwa/i/in/konzo
yeenjongo	ya/i/z/in/jongo
beenkonzo	ba/i/z/in/konzo
lomsebenzi	la/u/m/sebenzi
kuvavanyo	ku/u/lu/vavanyo
lweziphumo	lwa/i/zi/phumo
iiklinikhi	i/z/i/klinikhi
lesithathu	la/i/si/thathu
yenkunkuma	ya/i/n/kunkuma
benkunkuma	ba/i/n/kunkuma
ezitratweni	ezi/trato/ini
kweenkonzo	kwa/i/in/konzo
senxaxheba	sa/i/n/xaxheba
lwengingqi	lwa/i/n/gingqi
neenkonzo	na/i/z/in/konzo
zeearhente	za/i/i/arhente
kuluncedo	ku/l/u/lu/ncedo
ngokukodwa	nga/oku/ko/dwa
zingakwazi	zi/nga/ku/az/i
noxanduva	na/u/lu/xanduva
kumsebenzi	ku/u/m/sebenzi
zomsebenzi	za/u/m/sebenzi
iinkokheli	i/z/in/kokheli
kweenzwane	kwa/i/in/zwane
iinkokheli	i/z/in/kokheli
yexeshana	ya/i/xeshaa/ana
uliphupha	u/l/i/li/phupha
ezoqoqosho	e/za/u/qoqosho
neenkolelo	na/i/in/kolelo
sisenokuba	si/se/na/ukuba
kubaphathi	ku/a/ba/phathi
ngethemba	nga/i/li/themba
kumsebenzi	ku/u/m/sebenzi
somsebenzi	sa/u/m/sebenzi
kunemfundo	kuna/i/m/fundo
noqeqesho	na/u/lu/qeqesho
neenkonzo	na/i/z/in/konzo
iingcebiso	i/z/in/gcebiso
kweminyaka	kwa/i/mi/nyaka
kwamaxesha	kwa/a/ma/xesha
lwengqesho	lwa/i/n/gqesho
kweminyaka	kwa/i/mi/nyaka
kwihlabathi	ku/i/hlabathi
beenkonzo	ba/i/z/in/konzo
ezikhutshwa	ezi/khuph/w/a
iimpendulo	i/z/im/pendulo
alungomba	a/lu/nga/u/m/ba
neenkqubo	na/i/z/in/kqubo
emisebenzi	a/i/mi/sebenzi
zomsebenzi	za/u/m/sebenzi
zomsebenzi	za/u/m/sebenzi
neenkonzo	na/i/z/in/konzo
lomsebenzi	la/u/m/sebenzi
ngohlahlo	nga/u/lu/hlahlo
okwamadoda	oku/wa/ma/doda
neepesenti	na/i/i/pesenti
neengxelo	na/i/z/in/gxelo
leenkqubo	la/i/z/in/kqubo
ngowama-24	nga/o/wa/ma/24
zeengxaki	za/i/z/in/gxaki
kwishedyuli	ku/i/shedyuli
kopolitiko	kwa/u/politiko
kwezigqibo	kwa/i/zi/gqibo
sokwabiwa	sa/u/ku/ab/iw/a
ngeendlela	nga/i/in/dlela
ngezifundo	nga/i/zi/fundo
kwisahluko	ku/i/si/ahluko
kweenkonzo	kwa/i/in/konzo
nokususwa	na/u/ku/sus/w/a
ngamanqaku	nga/a/ma/nqaku
ngempiliso	nga/i/m/piliso
kwamanxeba	kwa/a/ma/nxeba
ngamakhulu	nga/a/ma/khulu
endleleni	e/i/n/dlela/ini
neekomiti	na/i/z/i/komiti
kumsebenzi	ku/u/m/sebenzi
yemithetho	ya/i/mi/thetho
ngokukodwa	nga/oku/ko/dwa
ngeenjongo	nga/i/in/jongo
ngokukodwa	nga/oku/ko/dwa
novelwano	na/u/lu/velwano
iimpendulo	i/z/im/pendulo
neengqiqo	na/i/z/in/gqiqo
ngentsimbi	nga/i/n/tsimbi
ngorhatya	nga/u/lu/rhatya
namaqabane	na/a/ma/qabane
akhutshelwa	a/khuphel/w/a
lweenkonzo	lwa/i/in/konzo
kuqoqosho	ku/u/lu/qoqosho
yokubekwa	ya/u/ku/bek/w/a
iimpendulo	i/z/im/pendulo
noxanduva	na/u/lu/xanduva
ngeendlela	nga/i/in/dlela
iingcebiso	i/z/in/gcebiso
zinokuthi	zi/na/u/ku/th/i
sesakhiwo	sa/i/s/i/akhiwo
ngobuchule	nga/u/bu/chule
anelungelo	a/na/i/lungelo
ngohlahlo	nga/u/lu/hlahlo
kulwakhiwo	ku/u/lu/akhiwo
kuphunyezwa	ku/phumez/w/a
boqoqosho	ba/u/lu/qoqosho
kumaphepha	ku/a/ma/phepha
neengcinga	na/i/in/gcinga
ngamaxesha	nga/a/ma/xesha
yeempahla	ya/i/z/im/pahla
neenkonzo	na/i/z/in/konzo
zeekomiti	za/i/z/i/komiti
neenkqubo	na/i/z/in/kqubo
ngeenjongo	nga/i/in/jongo
nesithethi	na/i/si/thethi
neziganeko	na/i/zi/ganeko
nokohluka	na/u/ku/ahluk/a
kweenkonzo	kwa/i/in/konzo
kusenokuba	ku/se/na/ukuba
beenkonzo	ba/i/z/in/konzo
kumsebenzi	ku/u/m/sebenzi
noxanduva	na/u/lu/xanduva
ngemicimbi	nga/i/mi/cimbi
neenkonzo	na/i/z/in/konzo
lomsebenzi	la/u/m/sebenzi
nokukwazi	na/u/ku/ku/az/i
lokubhala	lwa/u/ku/bhal/a
ngabahlali	nga/a/ba/hlali
lwengingqi	lwa/i/n/gingqi
ngeenjongo	nga/i/in/jongo
weengingqi	wa/i/in/gingqi
weenkonzo	wa/i/z/in/konzo
weengingqi	wa/i/in/gingqi
ngesigqibo	nga/i/si/gqibo
iingcebiso	i/z/in/gcebiso
onoxanduva	o/na/u/xanduva
unoxanduva	u/na/u/xanduva
beenkonzo	ba/i/z/in/konzo
neenkonzo	na/i/z/in/konzo
akanamonde	aka/na/u/monde
yolonwabo	ya/u/lu/lonwabo
nezikrokro	na/i/zi/krokro
kweengxelo	kwa/i/in/gxelo
zokubekwa	za/u/ku/bek/w/a
enyanisweni	e/nyaniso/ini
neepatheni	na/i/i/patheni
kuqoqosho	ku/u/lu/qoqosho
nabavelisi	na/a/ba/velisi
yeemveliso	ya/i/im/veliso
zemithombo	za/i/mi/thombo
kwezakhono	kwa/i/zi/khono
seemveliso	sa/i/im/veliso
nongenelo	na/u/lu/ngenelo
yokugaywa	ya/u/ku/gay/w/a
lwe-seymour	lwa/i/seymour
lwengingqi	lwa/i/n/gingqi
lweenkonzo	lwa/i/in/konzo
zoqoqosho	za/u/lu/qoqosho
yeekomiti	ya/i/z/i/komiti
kwabahlali	kwa/a/ba/hlali
kweendima	kwa/i/z/in/dima
neentsana	na/i/z/in/tsana
nabalawuli	na/a/ba/lawuli
ngeenjongo	nga/i/in/jongo
ngeentlobo	nga/i/in/tlobo
zeekomiti	za/i/z/i/komiti
nemiyalelo	na/i/mi/yalelo
yenxaxheba	ya/i/n/xaxheba
kulungiso	ku/u/lu/lungiso
kuluncedo	ku/l/u/lu/ncedo
ongezantsi	o/nga/e/zantsi
ngeendlela	nga/i/in/dlela
neekomiti	na/i/z/i/komiti
zeekliniki	za/i/i/kliniki
ngeenkonzo	nga/i/in/konzo
zesiganeko	za/i/si/ganeko
leentsuku	la/i/z/in/tsuku
msetyenzana	m/sebenzi/ana
msetyenzana	m/sebenzi/ana
nenqanaba	na/i/li/nqanaba
iingcebiso	i/z/in/gcebiso
kweenkonzo	kwa/i/in/konzo
kubaqeshwa	ku/a/ba/qeshwa
kweenkonzo	kwa/i/in/konzo
neengxaki	na/i/z/in/gxaki
neekomiti	na/i/z/i/komiti
kwimpumezo	ku/i/m/phumezo
kwilekgotla	ku/i/lekgotla
yeentetho	ya/i/z/in/tetho
zamaphondo	za/a/ma/phondo
leenkonzo	la/i/z/in/konzo
kumsebenzi	ku/u/m/sebenzi
beenkonzo	ba/i/z/in/konzo
bemvelaphi	ba/i/m/velaphi
ahlukeneyo	a/ahlukan/e/yo
ngeentlobo	nga/i/in/tlobo
epokotweni	e/i/pokoto/ini
eepropati	a/i/z/i/propati
nokunikwa	na/u/ku/nik/w/a
ngexabiso	nga/i/li/xabiso
neendlela	na/i/z/in/dlela
weengingqi	wa/i/in/gingqi
lengcaciso	la/i/n/gcaciso
kulwakhiwo	ku/u/lu/akhiwo
lweenkqubo	lwa/i/in/kqubo
neengxelo	na/i/z/in/gxelo
nenxaxheba	na/i/n/xaxheba
zeempiliso	za/i/im/piliso
kwabahlali	kwa/a/ba/hlali
ngeenkonzo	nga/i/in/konzo
neenkqubo	na/i/z/in/kqubo
neendleko	na/i/z/in/dleko
kwenziweyo	ku/enz/iw/e/yo
enyanisweni	e/nyaniso/ini
ngeentlobo	nga/i/in/tlobo
kwihlabathi	ku/i/hlabathi
ophuhliso	a/u/lu/phuhliso
kokujonga	kwa/u/ku/jong/a
weengingqi	wa/i/in/gingqi
weengingqi	wa/i/in/gingqi
zoqoqosho	za/u/lu/qoqosho
neenkqubo	na/i/z/in/kqubo
ngeendlela	nga/i/in/dlela
kwemingeni	kwa/i/mi/ngeni
weengingqi	wa/i/in/gingqi
zeendlela	za/i/z/in/dlela
kweenkonzo	kwa/i/in/konzo
lwamathuba	lwa/a/ma/thuba
lwesixhobo	lwa/i/si/xhobo
kwabahlali	kwa/a/ba/hlali
ongezantsi	o/nga/e/zantsi
kwezakhono	kwa/i/zi/khono
zomsebenzi	za/u/m/sebenzi
msetyenzana	m/sebenzi/ana
ngebakala	nga/i/li/bakala
zomsebenzi	za/u/m/sebenzi
neepatheni	na/i/i/patheni
kwesithuba	kwa/i/si/thuba
noxanduva	na/u/lu/xanduva
kumsebenzi	ku/u/m/sebenzi
lweencwadi	lwa/i/in/cwadi
iinkxalabo	i/z/in/kxalabo
kwisakhiwo	ku/i/si/akhiwo
kwemibutho	kwa/i/mi/butho
kweziphumo	kwa/i/zi/phumo
somsebenzi	sa/u/m/sebenzi
beenkonzo	ba/i/z/in/konzo
beenkonzo	ba/i/z/in/konzo
kwimpumezo	ku/i/m/phumezo
boqoqosho	ba/u/lu/qoqosho
lwexabiso	lwa/i/li/xabiso
neenjongo	na/i/z/in/jongo
nokukwazi	na/u/ku/ku/az/i
kwamaqondo	kwa/a/ma/qondo
kulwaphulo	ku/u/lu/aphulo
leempiliso	la/i/im/piliso
neyethuba	na/e/ya/i/thuba
beenkonzo	ba/i/z/in/konzo
noxanduva	na/u/lu/xanduva
bomsebenzi	ba/u/m/sebenzi
nabarhwebi	na/a/ba/rhwebi
yomsebenzi	ya/u/m/sebenzi
lwezakhono	lwa/i/zi/khono
siphunyezwe	si/phumez/w/e
iingcebiso	i/z/in/gcebiso
beedolophu	ba/i/i/dolophu
zeenkqubo	za/i/z/in/kqubo
beengingqi	ba/i/in/gingqi
beengingqi	ba/i/in/gingqi
unelungelo	u/na/i/lungelo
ngeendlela	nga/i/in/dlela
okokuqala	okwa/u/ku/qal/a
okwesibini	okwa/i/si/bini
iincwadana	i/in/cwadi/ana
ngemicimbi	nga/i/mi/cimbi
ngemicimbi	nga/i/mi/cimbi
iimpendulo	i/z/im/pendulo
i-powerpoint	i/powerpoint
