ngokwamabakala	nga/okwa/a/ma/bakala
kwesixokelelwano	kwa/i/si/xokelelwano
kuhlahlo-lwabiwo	ku/u/hlahlo/lu/abiwo
kwemilinganiselo	kwa/i/mi/linganiselo
anjengokumiswa	a/njenga/u/ku/m/is/w/a
banokuqwalasela	ba/na/u/ku/qwalasel/a
yasezidolophini	ya/s/e/zi/dolophu/ini
ngokwasemalini	nga/o/kwa/s/e/mali/ini
nezibhambhathiso	na/i/zi/bhambhathiso
ekunikezelweni	e/u/ku/nikezel/w/a/ini
nasekubekweni	na/s/e/u/ku/bek/w/a/ini
sesokuncedisa	s/i/e/sa/u/ku/nced/is/a
ngokuququzelela	nga/u/ku/ququzel/el/a
nevulelekileyo	na/e/vul/el/ek/il/e/yo
zasemsebenzini	za/s/e/u/m/sebenzi/ini
yodliwano-ndlebe	ya/u/dliwano/n/dlebe
ngokungqalileyo	nga/oku/ngqal/il/e/yo
ngesikukhethayo	nga/esi/ku/kheth/a/yo
umgcini-potfoliyo	u/m/gcini/potfoliyo
ngokubonakalayo	nga/oku/bon/akal/a/yo
iinguqulelwana	i/z/in/guqul/el/w/a/na
semngciphekweni	s/e/u/m/ngcipheko/ini
nesinotshintsho	na/esi/na/u/tshintsho
olungenamkhethe	olu/nge/na/u/m/khethe
ngokucwangciswa	nga/u/ku/cwangcis/w/a
ngokungasebenzi	nga/u/ku/nga/sebenz/i
nentsebenziswano	na/i/n/tsebenziswano
wasemsebenzini	wa/s/e/u/m/sebenzi/ini
ekuxhotyisweni	e/u/ku/xhob/is/w/a/ini
ngokwahlukileyo	nga/oku/ahluk/il/e/yo
ngokwahlukileyo	nga/oku/ahluk/il/e/yo
anokuguqulelwa	a/na/u/ku/guqul/el/w/a
osasazo-zimpahla	a/u/sasazo/zim/pahla
kwesixokelelwano	kwa/i/si/xokelelwano
nokusetyenziswa	na/u/ku/sebenz/is/w/a
nokuphakanyiswa	na/u/ku/phakam/is/w/a
ineempembelelo	i/na/i/z/im/phembelelo
kweeyantlukwano	kwa/i/z/i/yantlukwano
lwesixokelelwano	lwa/i/si/xokelelwano
nesishwankathelo	na/i/si/shwankathelo
ngokuqinisekisa	nga/u/ku/qinisek/is/a
eswenikwinkqubo	e/so/ini/ku/i/n/kqubo
kweekhontrakthi	kwa/i/z/i/khontrakthi
ngokwahlukileyo	nga/oku/ahluk/il/e/yo
nasezidolophini	na/s/e/zi/dolophu/ini
nakwizicwangciso	na/ku/i/zi/cwangciso
ezinokukhuthaza	ezi/na/u/ku/khuthaz/a
kwimiceli-mngeni	ku/i/mi/celi/m/ngeni
nesishwankathelo	na/i/si/shwankathelo
ngokungqalileyo	nga/oku/ngqal/il/e/yo
abanokufikelela	aba/na/u/ku/fikelel/a
ngesixokelelwano	nga/i/si/xokelelwano
nokusetyenziswa	na/u/ku/sebenz/is/w/a
esemaphandleni	e/s/e/a/ma/phandle/ini
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
kudliwano-ndlebe	ku/u/dliwano/n/dlebe
ekuthunyelweni	e/u/ku/thum/el/w/a/ini
koqhagamshelwano	kwa/u/qhagamshelwano
kudliwano-ndlebe	ku/u/dliwano/n/dlebe
yokutshintshela	ya/u/ku/tshintsh/el/a
zohlahlo-lwabiwo	za/u/hlahlo/lu/abiwo
enjengokusilela	e/njenga/u/ku/silel/a
nakwiiprojekthi	na/ku/i/z/i/projekthi
ngokungqalileyo	nga/oku/ngqal/il/e/yo
babengazifumani	aba/be/nga/zi/fuman/i
elinokunikezela	eli/na/u/ku/nikezel/a
luphakanyisiweyo	lu/phakam/is/iw/e/yo
esisetyenziswayo	esi/sebenz/is/w/a/yo
kwesixokelelwano	kwa/i/si/xokelelwano
ngokubonakalayo	nga/oku/bon/akal/a/yo
ngokudityaniswa	nga/u/ku/diban/is/w/a
lokunxibelelana	lwa/u/ku/nxibelelan/a
kowiso-mthetho	kwa/u/lu/wiso/m/thetho
ezisetyenziswayo	ezi/sebenz/is/w/a/yo
wentsebenziswano	wa/i/n/tsebenziswano
ekuxolelaniseni	e/u/ku/xolelanis/a/ini
lunokhuphiswano	lu/na/u/lu/khuphiswano
elinobunkunkqele	eli/na/u/bu/nkunkqele
ngokokubaluleka	nga/oko/u/ku/balulek/a
ekuhlangabezeni	e/u/ku/hlangabez/a/ini
inkqubo-sikhokelo	i/n/kqubo/si/khokelo
ekuphuhlisweni	e/u/ku/phuhl/is/w/a/ini
nasekumiseleni	na/s/e/u/ku/misel/a/ini
kwasekuhlaleni	kwa/s/e/u/ku/hlal/a/ini
esisemthethweni	esi/s/e/u/m/thetho/ini
ekuququzeleleni	e/u/ku/ququzelel/a/ini
ezintlanganisweni	e/zin/tlanganiso/ini
ngokuzithandela	nga/u/ku/zi/thand/el/a
lwasekuhlaleni	lwa/s/e/u/ku/hlal/a/ini
zasesitalatweni	za/s/e/i/si/talato/ini
ekuhlangabezeni	e/u/ku/hlangabez/a/ini
ngokokuxhomekeka	nga/oko/ku/xhomekek/a
sisiphatha-mandla	s/i/si/phatha/mandla
yolumano-ndlebe	ya/u/lu/lumano/n/dlebe
njengeeprojekthi	njenga/i/zi/projekthi
kwasekuhlaleni	kwa/s/e/u/ku/hlal/a/ini
yolumano-ndlebe	ya/u/lu/lumano/n/dlebe
oluneenkcukacha	olu/na/i/z/in/kcukacha
elongezelelweyo	eli/ongez/el/el/w/e/yo
nasekukhuseleni	na/s/e/ku/khusel/a/ini
kwisiphathamandla	ku/i/si/phathamandla
ngokwempumelelo	nga/okwa/i/m/phumelelo
kwemigaqo-nkqubo	kwa/i/mi/gaqo/n/kqubo
imbonakalo-mhlaba	i/m/bonakalo/m/hlaba
ekuhlangabezeni	e/u/ku/hlangabez/a/ini
nokubanemveliso	na/ukuba/na/i/m/veliso
nokungavisisani	na/u/ku/nga/visis/an/i
kubahlalimalunga	ku/a/ba/hlali/malunga
kwintsebenziswano	ku/i/n/tsebenziswano
anokusikhumbula	a/na/u/ku/si/khumbul/a
olongezelelweyo	olu/ongez/el/el/w/e/yo
angalonwabeliyo	a/nga/li/onwab/el/i/yo
lwemigaqo-nkqubo	lwa/i/mi/gaqo/n/kqubo
usenokwenzakala	u/se/na/u/ku/enzakal/a
ngokugqibeleleyo	nga/oku/gqibelel/e/yo
ngokuhlanganyela	nga/u/ku/hlanganyel/a
nokusebenzisana	na/u/ku/sebenz/is/an/a
inkqubo-sikhokelo	i/n/kqubo/si/khokelo
ngokwezentlalo	nga/okwa/e/za/i/n/tlalo
nawowiso-mthetho	na/wa/u/wiso/m/thetho
linohlahlo-mali	li/na/u/lu/hlahlo/mali
kwasekuhlaleni	kwa/s/e/u/ku/hlal/a/ini
zibenoxinezelelo	zi/be/na/u/xinezelelo
ngokokubaluleka	nga/oko/u/ku/balulek/a
ezintlanganisweni	e/zin/tlanganiso/ini
ngokwezentlalo	nga/okwa/e/za/i/n/tlalo
bokuzalisekiswa	ba/u/ku/zalisek/is/w/a
nolwezibonelelo	na/o/lwa/i/zi/bonelelo
enjengobuhlwempu	e/njenga/u/bu/hlwempu
umboniso-ngcaciso	u/m/boniso/n/gcaciso
lwasekuhlaleni	lwa/s/e/u/ku/hlal/a/ini
esineenkcukacha	esi/na/i/z/in/kcukacha
inkqubo-sikhokelo	i/n/kqubo/si/khokelo
inkqubo-sikhokelo	i/n/kqubo/si/khokelo
okusemthethweni	oku/s/e/u/m/thetho/ini
zemiceli-mingeni	za/i/mi/celi/mi/ngeni
eendabaabahlali	a/i/in/daba/a/ba/hlali
ayinakuphunyezwa	a/yi/na/ku/phumez/w/a
lwasekuhlaleni	lwa/s/e/u/ku/hlal/a/ini
ngokolungiselelo	nga/oko/u/lungiselelo
nezithungeleneyo	na/ezi/thungelen/e/yo
esemgangathweni	e/s/e/u/m/gangatho/ini
bengenakufumana	be/nge/na/u/ku/fuman/a
ulwaphulo-mthetho	u/lu/aphulo/m/thetho
nokusebenzisana	na/u/ku/sebenz/is/an/a
inkqubo-sikhokelo	i/n/kqubo/si/khokelo
unokuzidibanisa	u/na/u/ku/zi/dibanis/a
sisiphatha-mandla	s/i/si/phatha/mandla
nokusebenzisana	na/u/ku/sebenz/is/an/a
kwasekuhlaleni	kwa/s/e/u/ku/hlal/a/ini
lwasekuhlaleni	lwa/s/e/u/ku/hlal/a/ini
nasezitalatweni	na/s/e/i/zi/talato/ini
inkqubo-sikhokelo	i/n/kqubo/si/khokelo
namagingxigingxi	na/a/ma/gingxi/gingxi
njengothungelwano	njenga/u/thungelwano
inokungalingani	i/na/u/ku/nga/lingan/i
kubenempumelelo	ku/be/na/i/m/phumelelo
komlungelelanisi	kwa/u/m/lungelelanisi
ngohlengahlengiso	nga/u/hlengahlengiso
nezezicwangciso	na/e/za/i/zi/cwangciso
kwasekuhlaleni	kwa/s/e/u/ku/hlal/a/ini
kokusetyenziswa	kwa/u/ku/sebenz/is/w/a
nokuzalisekiswa	na/u/ku/zalisek/is/w/a
inkqubo-sikhokelo	i/n/kqubo/si/khokelo
ngokugqibeleleyo	nga/oku/gqibelel/e/yo
ekuhlangabezeni	e/u/ku/hlangabez/a/ini
ngokuhlanganyela	nga/u/ku/hlanganyel/a
othetha-thethwano	a/u/thetha/thethwano
nokungaziphathi	na/u/ku/nga/zi/phath/i
abanezivumelwano	aba/na/i/zi/vumelwano
kokuphazamiseka	kwa/u/ku/phazamis/ek/a
ngokuzithandela	nga/u/ku/zi/thand/el/a
ngemigaqo-nkqubo	nga/i/mi/gaqo/n/kqubo
usemgangathweni	u/s/e/u/m/gangatho/ini
esinobucukubhede	esi/na/u/bu/cukubhede
ekumanyaniseni	e/u/ku/many/an/is/a/ini
umthathi-nxaxheba	u/m/thathi/n/xaxheba
ngokuzikhethela	nga/u/ku/zi/kheth/el/a
lungangasonjululwa	lu/nga/sombulul/w/a
njengothungelwano	njenga/u/thungelwano
othetha-thethwano	a/u/thetha/thethwano
lunokukhokelela	lu/na/u/ku/khokel/el/a
kumthetho-siseko	ku/u/m/thetho/si/seko
esineenkcukacha	esi/na/i/z/in/kcukacha
olunjengokoyika	olu/njenga/u/ku/oyik/a
ekunokufunyanwa	e/ku/na/u/ku/fuman/w/a
iimvavanyo-zimvo	i/z/im/vavanyo/zim/vo
lwemigaqo-nkqubo	lwa/i/mi/gaqo/n/kqubo
ekuziphiliseni	e/u/ku/zi/phil/is/a/ini
ulwaphulo-mthetho	u/lu/aphulo/m/thetho
nasekuphandeni	na/s/e/u/ku/phand/a/ini
ezisesitalatweni	ezi/s/e/si/talato/ini
njengomahlulelane	njenga/u/mahlulelane
iikomitizeewadi	i/i/komiti/za/i/i/wadi
ekuvandlakanyeni	e/u/ku/vandlakany/ini
basezitalatweni	ba/s/e/i/zi/talato/ini
lwasekuhlaleni	lwa/s/e/u/ku/hlal/a/ini
oluneempembelelo	olu/na/i/in/phembelelo
zokuhlangabezana	za/u/ku/hlangabez/an/a
ukwaneenkampani	u/kwa/na/i/z/in/kampani
eyasekuhlaleni	e/ya/s/e/u/ku/hlal/a/ini
nokuhlanganisela	na/u/ku/hlanganis/el/a
wokuhlangabezana	wa/u/ku/hlangabez/an/a
ekuzalisekiseni	e/u/ku/zalisek/is/a/ini
ekutshintshweni	e/u/ku/tshintsh/w/a/ini
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
esingasetyenziswa	esi/nga/sebenz/is/w/a
yonoontlalo-ntle	ya/na/oo/n/tlalo/n/tle
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
ngentsebenziswano	nga/i/n/tsebenziswano
ngokuqhubekekayo	nga/oku/qhubek/ek/a/yo
ngenx'engaphambili	ngenx/e/nga/phambili
nangokusebenzayo	na/nga/oku/sebenz/a/yo
abangenamithombo	aba/nge/na/i/mi/thombo
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
noluthembekileyo	na/olu/thembek/il/e/yo
ngesishwankathelo	nga/i/si/shwankathelo
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
eziphakanyisiweyo	ezi/phakam/is/iw/e/yo
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
nawomgaqo-siseko	na/wa/u/m/gaqo/si/seko
ngokugqwethiweyo	nga/oku/gqweth/iw/e/yo
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
inkqubela-phambili	i/n/kqubela/phambili
inkqubela-phambili	i/n/kqubela/phambili
inkqubela-phambili	i/n/kqubela/phambili
inkqubela-phambili	i/n/kqubela/phambili
inkqubela-phambili	i/n/kqubela/phambili
ngokuyithelekisa	nga/u/ku/yi/thelekis/a
banokukhuphisana	ba/na/u/ku/khuphisan/a
eziphakanyisiweyo	ezi/phakam/is/iw/e/yo
ezisetyenzisiweyo	ezi/sebenz/is/iw/e/yo
inkqubela-phambili	i/n/kqubela/phambili
i-intergovernmental	i/intergovernmental
zokuhlangabezana	za/u/ku/hlangabez/an/a
ahluka-hlukileyo	a/ahluk/a/hluk/il/e/yo
ezisetyenzisiweyo	ezi/sebenz/is/iw/e/yo
ngokungananzanga	nga/oku/nga/nanz/a/nga
yokufezekisiweyo	ya/ku/fezek/is/iw/e/yo
yothethathethwano	ya/u/thetha/thethwano
ngentsebenziswano	nga/i/n/tsebenziswano
nasekubunjweni	na/s/e/u/ku/bumb/w/a/ini
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
ngokwemiqathango	nga/okwa/i/mi/qathango
i-intergovernmental	i/intergovernmental
yoqhagamshelwano	ya/u/lu/qhagamshelwano
obusetyenzisiweyo	obu/sebenz/is/iw/e/yo
inkqubela-phambili	i/n/kqubela/phambili
olusetyenzisiweyo	olu/sebenz/is/iw/e/yo
ngokusetyenziswa	nga/u/ku/sebenz/is/w/a
kunokubandakanya	ku/na/u/ku/bandakany/a
njengomququzeleli	njenga/u/m/ququzeleli
yasemaphandleni	ya/s/e/a/ma/phandle/ini
zasemaphandleni	za/s/e/a/ma/phandle/ini
nokuvandlakanywa	na/u/ku/vandlakany/w/a
inkqubela-phambili	i/n/kqubela/phambili
basenokungafuni	ba/se/na/u/ku/nga/fun/i
inkqubela-phambili	i/n/kqubela/phambili
ezinjengophuhliso	ezi/njenga/u/phuhliso
inkqubela-phambili	i/n/kqubela/phambili
inkqubela-phambili	i/n/kqubela/phambili
inkqubela-phambili	i/n/kqubela/phambili
ngohlahlo-lwabiwo	nga/u/hlahlo/lu/abiwo
zasemaphandleni	za/s/e/a/ma/phandle/ini
okuneempembelelo	oku/na/i/in/phembelelo
lothethathethwano	la/u/thetha/thethwano
lwentsebenziswano	lwa/i/n/tsebenziswano
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
ngokubhekiselele	nga/oku/bhekis/el/el/e
awongezelelweyo	a/wa/ongez/el/el/w/e/yo
nokubandakanyeka	na/u/ku/bandakany/ek/a
ngokukhawulezayo	nga/u/ku/khawulez/a/yo
soqhagamshelwano	sa/u/lu/qhagamshelwano
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
ngokuqhubekekayo	nga/oku/qhubek/ek/a/yo
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
sophuhliso-buqili	sa/u/phuhliso/bu/qili
obusetyenzisiweyo	obu/sebenz/is/iw/e/yo
zinokubandakanya	zi/na/u/ku/bandakany/a
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
inkqubela-phambili	i/n/kqubela/phambili
zasemaphandleni	za/s/e/a/ma/phandle/ini
okunokuphunyezwa	oku/na/u/ku/phumez/w/a
inkqubela-phambili	i/n/kqubela/phambili
inkqubela-phambili	i/n/kqubela/phambili
njengokulungiswa	njenga/u/ku/lungis/w/a
lwahlanganiselwa	lu/a/hlangan/is/el/w/a
lwesishwankathelo	lwa/i/si/shwankathelo
inganempembelelo	i/nga/na/i/m/pembelelo
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
basezikhundleni	ba/s/e/i/zi/khundla/ini
zinokubandakanya	zi/na/u/ku/bandakany/a
ekutshitshiseni	e/u/ku/tshitsh/is/a/ini
nolungenamkhethe	na/olu/nge/na/m/khethe
nokuzibophelela	na/u/ku/zi/boph/el/el/a
ngokubhekiselele	nga/oku/bhekis/el/el/e
nakwiintlanganiso	na/ku/i/in/tlanganiso
inkqubela-phambili	i/n/kqubela/phambili
ezinjengee-orenji	ezi/njenga/i/i/orenji
njengesicwangciso	njenga/i/si/cwangciso
nokuyichaphazela	na/u/ku/yi/chaphazel/a
ngokungakhathali	nga/u/ku/nga/khathal/i
ezingekasetyenzwa	ezi/nge/ka/sebenz/w/a
inkqubela-phambili	i/n/kqubela/phambili
kukwiintlanganiso	ku/ku/i/in/tlanganiso
ngokubhekiselele	nga/oku/bhekis/el/el/e
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
ngokokucukubhede	nga/oko/u/ku/cukubhede
nokubandakanyeka	na/u/ku/bandakany/ek/a
inkqubela-phambili	i/n/kqubela/phambili
nokubabandakanya	na/u/ku/ba/bandakany/a
inkqubela-phambili	i/n/kqubela/phambili
zokungavumelani	za/u/ku/nga/vum/el/an/i
njengamavolontiya	njenga/a/ma/volontiya
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
zeziphatha-mandla	za/i/zi/phatha/mandla
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
ekuqhobosheleni	e/u/ku/qhobosh/el/a/ini
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
nasekomelezeni	na/s/e/u/ku/omelez/a/ini
inkqubela-phambili	i/n/kqubela/phambili
nokuvandlakanywa	na/u/ku/vandlakany/w/a
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
abanokunxulumana	aba/na/u/ku/nxuluman/a
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
yezentlalo-ntle	ya/e/za/i/n/tlalo/n/tle
njengamavolontiya	njenga/a/ma/volontiya
nawezopolitiko	na/wa/e/za/u/lu/politiko
inkqubela-phambili	i/n/kqubela/phambili
ahluka-hlukeneyo	a/ahluk/a/hluk/en/e/yo
elikwisicwangciso	eli/ku/i/si/cwangciso
unemigaqo-nkqubo	u/na/i/mi/gaqo/n/kqubo
nasekwandiseni	na/s/e/u/ku/and/is/a/ini
yasemaphandleni	ya/s/e/a/ma/phandle/ini
ahluka-hlukileyo	a/ahluk/a/hluk/il/e/yo
neyezopolitiko	na/e/ya/za/u/lu/politiko
nasekunabiseni	na/s/e/u/ku/nab/is/a/ini
lokungaphumeleli	la/u/ku/nga/phumelel/i
ekuqinisekiseni	e/u/ku/qinisek/is/a/ini
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
ngokuchanekileyo	nga/oku/chan/ek/il/e/yo
ngokomgaqo-siseko	nga/oko/m/gaqo/si/seko
ngokulungiselela	nga/u/ku/lungis/el/el/a
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
nokungaqokelelwa	na/u/ku/nga/qokelel/w/a
bokubakhathalela	ba/u/ku/ba/khathal/el/a
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
aseburhulumeneni	a/s/e/bu/rhulumente/ini
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
nasekusebenzeni	na/s/e/u/ku/sebenz/a/ini
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
yahluka-hlukeneyo	i/ahluk/a/hluk/en/e/yo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
asemngciphekweni	a/s/e/u/m/ngcipheko/ini
ngokuyimpumelelo	nga/oku/y/i/m/phumelelo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
esinjenge-overhead	esi/njenga/i/overhead
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
wothetha-thethwano	wa/u/thetha/thethwano
lengcaciso-nkqubo	la/i/n/gcaciso/n/kqubo
lengcaciso-nkqubo	la/i/n/gcaciso/n/kqubo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
inokusetyenziswa	i/na/u/ku/sebenz/is/w/a
nothetha-thethwano	na/u/thetha/thethwano
inokusetyenziswa	i/na/u/ku/sebenz/is/w/a
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
ezinjengolwakhiwo	ezi/njenga/u/lu/akhiwo
nolwakhiwo-zindlu	na/u/lu/akhiwo/zin/dlu
lukwabanegalelo	lu/kwa/ba/na/i/li/galelo
njengeengcaphephe	njenga/i/zin/gcaphephe
sokuchola-cholwa	sa/u/ku/chol/a/chol/w/a
nabangasaphiliyo	na/aba/nga/sa/phil/i/yo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
yolwakhiwo-zindlu	ya/u/lu/akhiwo/zin/dlu
kulwakhiwo-zindlu	ku/u/lu/akhiwo/zin/dlu
neyolungiselelo	na/e/ya/u/lu/lungiselelo
ngokushwankathela	nga/u/ku/shwankathel/a
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
nabangasaphiliyo	na/aba/nga/sa/phil/i/yo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
kubanempembelelo	ku/ba/na/i/m/phembelelo
enokusetyenziswa	e/na/u/ku/sebenz/is/w/a
kwababewavinjiwe	kwa/aba/be/wa/vimb/iw/e
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
onokusetyenziswa	o/na/u/ku/sebenz/is/w/a
ngokuyimpumelelo	nga/oku/y/i/m/phumelelo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
lengcaciso-nkqubo	la/i/n/gcaciso/n/kqubo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
ngokuyimpumelelo	nga/oku/y/i/m/phumelelo
nemithetho-siseko	na/i/mi/thetho/si/seko
kwi-community-based	ku/i/community/based
kwi-community-based	ku/i/community/based
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
ngokuyimpumelelo	nga/oku/y/i/m/phumelelo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
bashiya-shiyanise	ba/shiy/a/shiy/an/is/e
lengcaciso-nkqubo	la/i/n/gcaciso/n/kqubo
lengcaciso-nkqubo	la/i/n/gcaciso/n/kqubo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
olwaphulo-mthetho	a/u/lu/aphulo/m/thetho
njengabanoxanduva	njenga/ba/na/u/xanduva
neyokuziphumeza	na/e/ya/u/ku/zi/phumez/a
eendabaabahlali	a/i/z/in/daba/a/ba/hlali
kwabachaphazeleka	kwa/aba/chaphazel/ek/a
abanokukhubazeka	aba/na/u/ku/khubaz/ek/a
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
enokusetyenziswa	e/na/u/ku/sebenz/is/w/a
ngokuphathelelene	nga/oku/phathelel/en/e
olwaphulo-mthetho	a/u/lu/aphulo/m/thetho
ngokuchanekileyo	nga/oku/chan/ek/il/e/yo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
kwabasemagunyeni	kwa/ba/s/e/ma/gunya/ini
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
nabangasaphiliyo	na/aba/nga/sa/phil/i/yo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
kubathathi-nxheba	ku/ba/thathi/n/xaxheba
lishiya-shiyanise	li/shiy/a/shiy/an/is/e
lunokuchwethezwa	lu/na/u/ku/chwethez/w/a
kubanempembelelo	ku/ba/na/i/m/phembelelo
nakwimizi-mveliso	na/ku/i/mi/zi/m/veliso
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
ezinjenge-overhead	ezi/njenga/i/overhead
lentswela-ngqesho	la/i/n/tswela/n/gqesho
awulolandelelwano	a/wu/lo/u/landelelwano
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
nesinotshintsho	na/esi/na/u/lu/tshintsho
ezintlanganisweni	e/i/zin/tlanganiso/ini
nelungelelaniswe	na/i/lungelel/an/is/w/e
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
nowowiso-mthetho	na/o/wa/u/wiso/m/thetho
ezisezingqondweni	ezi/s/e/zin/gqondo/ini
zinokuthinteleka	zi/na/u/ku/thintel/ek/a
osasazo-zimpahla	a/u/lu/sasazo/zim/pahla
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
ngokuqhelekileyo	nga/oku/qhel/ek/il/e/yo
abathathi-nxaxheba	a/ba/thathi/n/xaxheba
ngokuyimpumelelo	nga/oku/y/i/m/phumelelo
