ekucabangeni	e/ku/cabang/a/ini
enhlalakahleni	e/nhlalakahle/ini
ekusebenzeni	e/u/ku/sebenz/a/ini
komgqugquzeli	kwa/u/m/gqugquzeli
nasekwenzeni	na/s/e/ku/enz/a/ini
njengesakhiwo	njenga/i/si/akhiwo
nokuzimisela	no/u/ku/zi/mis/el/a
ezokuthuthwa	e/za/u/ku/thuth/w/a
okungamathuba	oku/nga/a/ma/thuba
nokungenzeka	na/oku/nga/enz/ek/a
ngokuvumelana	nga/u/ku/vumelan/a
sihlinzekelwe	si/ihlinzek/el/w/e
umhlahlandlela	u/mu/hlahlandlela
osemthethweni	o/s/e/m/thetho/ini
nabanamakhono	na/aba/na/ma/khono
nangokobulili	na/nga/oko/bu/lili
kwabesifazane	kwa/aba/isi/fazane
kwenxanxathela	kwa/i/nxanxathela
ngokubikelwa	nga/u/ku/bik/el/w/a
nokubonisana	na/u/ku/bon/is/an/a
ekuthuthukeni	e/ku/thuthuk/e/ini
sokuxoxisana	sa/u/ku/xox/is/an/a
ezinokuthula	e/zi/na/u/ku/thul/a
zinezinselelo	zi/na/i/zin/selelo
kokwakubizwa	kwa/u/ku/ku/biz/w/a
lokuqeqeshwa	lwa/u/ku/qeqesh/w/a
usemhlabeni	u/s/e/um/mhlab/a/ini
ngokwezidingo	nga/u/kwe/zi/dingo
kwizinsizakalo	ku/i/zin/sizakalo
njengokuthile	njenga/u/ku/th/ile
sokubonakalayo	sa/ku/bonakala/yo
ekukhuphuleni	e/ku/khuphul/a/ini
ezinjengobubha	ezi/njenga/obubha
kokuzethemba	kwa/u/ku/zi/themb/a
yokuhlaliswa	ya/u/ku/hlal/is/w/a
nokuthunyelwa	na/u/ku/thumel/w/a
emihlanganweni	e/mi/hlangano/ini
lokubophezela	la/u/ku/bophezel/a
wokucobelelana	wo/uku/cobelelana
kwabesifazane	kwa/a/be/si/fazane
kwabesifazane	kwa/a/be/si/fazane
nasezinsizeni	na/s/e/zin/siz/ini
ngokunakekela	ngo/uku/nakek/iw/a
ngokuhlangana	nga/u/ku/hlangan/a
ezisenethonya	ezi/se/na/i/thonya
kwesabelomali	kwa/i/si/abelomali
zengqalasizinda	z/ingqalasizinda
kungumsebenzi	ku/ng/u/mu/sebenzi
ngokuthuthuka	nga/u/ku/thuthuk/a
ngabaqokelwe	nga/a/ba/qok/el/w/e
kolandelayo	kwa/u/ku/landel/a/yo
kwabesifazane	kwa/a/be/si/fazane
ngabesifazane	nga/a/be/si/fazane
ekusebenzeni	e/u/ku/sebenz/a/ini
lokwenzekayo	la/u/ku/enz/ek/a/yo
ngokwezidingo	nga/u/kwe/zi/dingo
nokuzimisela	na/u/ku/zi/mis/el/a
kungumsebenzi	ku/ng/u/mu/sebenzi
nokufundiswa	na/u/ku/fund/is/w/a
kwabesifazane	kwa/a/be/si/fazane
zokufinyelela	za/u/ku/finyelel/a
ngokwezidingo	nga/u/kwe/zi/dingo
ngephothifoliyo	nga/phothifoliyo
wephothifoliyo	wa/i/phothifoliyo
ekusebenzeni	e/u/ku/sebenz/a/ini
ngokuphendula	nga/u/ku/phendul/a
zobuchwepheshe	za/ubu/chwepheshe
ekuhlanganeni	e/ku/hlangan/e/ini
esasiphumelela	esi/si/phumelel/a
bokubambisana	ba/ku/bamb/is/an/a
nowezinhlelo	na/u/wa/i/zin/hlelo
nasezinqubeni	na/s/e/zin/qub/ini
emihlanganweni	e/mi/hlangano/ini
bobambiswano	ba/u/bamb/is/w/an/o
ekubonisaneni	e/ku/bonisan/a/ini
yokuhlaliswa	ya/u/ku/hlal/is/w/a
nasekwenzeni	na/s/e/ku/enz/a/ini
zasezindaweni	za/asezindaw/a/ini
nesokuqaphela	ne/sa/u/ku/qaphela
yokungasimami	ya/uku/nga/simam/i
nabakhiqizayo	na/aba/khiqiz/a/yo
esezizakhele	e/se/zi/za/akh/el/e
ngabesifazane	nga/a/be/si/fazane
lokuboshezelwa	la/ku/boshezelw/a
ngesabelomali	nga/i/si/abelomali
ngokubaluleka	nga/u/ku/balulek/a
ezokuvikelwa	e/za/u/ku/vikel/w/a
nokufinyelela	na/u/ku/finyelel/a
yezombusazwe	ya/i/za/u/m/busazwe
nokuqhubezela	na/u/ku/qhubezel/a
kwezomthetho	kwa/i/za/u/m/thetho
nokubonisana	na/u/ku/bon/is/an/a
ngokwenziswa	nga/u/ku/enz/is/w/a
nokufinyelela	na/u/ku/finyelel/a
nasemigomweni	na/s/e/mi/gomw/ini
nabaqeqesheke	na/aba/qeqesh/ek/e
kunemithelela	ku/na/i/mi/thelela
ngokuthembeka	ngo/u/ku/thembek/a
kokwemukelwa	kwa/u/ku/amukel/w/a
nama-athikhili	na/a/ma/athikhili
njengamakomidi	njenga/ama/komidi
ngokwamukelwa	ngo/kwa/amukel/w/a
zengqalasizinda	z/ingqalasizinda
nezombusazwe	na/i/za/u/m/busazwe
abasembusweni	aba/s/e/m/buso/ini
ekusebenzeni	e/u/ku/sebenz/a/ini
kuhlotshaniswe	ku/hlob/an/is/w/e
nenxushunxushu	na/i/nxushunxushu
nangokomqondo	na/nga/oko/m/qondo
ngokubaluleka	nga/u/ku/balulek/a
ngokwezidingo	nga/u/kwe/zi/dingo
ngokwezidingo	nga/u/kwe/zi/dingo
emihlanganweni	e/mi/hlangano/ini
kwabesifazane	kwa/a/be/si/fazane
yokubonisana	ya/u/ku/bon/is/an/a
okubanjiswene	o/ku/ku/banjiswene
kwabesifazane	kwa/a/be/si/fazane
ngokwezidingo	nga/u/kwe/zi/dingo
nokufinyelela	na/u/ku/finyelel/a
ekuxazululeni	e/ku/xazulul/a/ini
okuzokwenzeka	oku/zo/ku/enz/ek/a
okuzokhulunywa	oku/zo/khulum/w/a
noludidiyelayo	na/lu/didiyela/yo
kwabesifazane	kwa/a/be/si/fazane
kwizinsizakalo	ku/i/zin/sizakalo
ezinkundleni	e/i/zin/khundla/ini
yokuhanjiswa	ya/u/ku/hamb/is/w/a
enokucophelela	e/na/ku/cophelela
osemthethweni	o/s/e/m/thetho/ini
wokwenziwayo	wa/u/ku/enz/iw/a/yo
nezombusazwe	na/i/za/u/m/busazwe
ekuthuthukeni	e/ku/thuthuk/e/ini
ezizokwenziwa	ezi/zo/ku/enz/iw/a
njengokwesaba	njengo/u/kwe/sab/a
wezombusazwe	wa/i/za/u/m/busazwe
zokufinyelela	za/u/ku/finyelel/a
elinenkathalo	eli/na/i/n/kathalo
eyamukelekile	e/yi/amukel/ek/ile
njengempendulo	njenga/i/mpendulo
ingqalasizinda	i/n/ngqalasizinda
ngokusabalele	nga/u/ku/sabalel/e
ocwaningweni	o/u/lu/cwaningo/ini
neyokuthutha	na/e/ya/uku/thuth/a
ngokwezidingo	nga/u/kwe/zi/dingo
nobambiswano	na/u/bamb/is/w/an/o
ezisetshenziswa	ezi/sebenz/is/w/a
ezisetshenziswa	ezi/sebenz/is/w/a
ezisetshenziswa	ezi/sebenz/is/w/a
zenkombandlela	za/i/n/kombandlela
ngokusebenzisa	nga/ku/sebenz/is/a
ngezilinganiso	nga/i/zi/linganiso
emiphakathini	e/i/mi/phakathi/ini
olusetshenziswe	olu/sebenz/is/w/e
ngokuhlinzekwa	nga/u/ku/hlinzekwa
njengezinhloko	njenga/i/zin/hloko
zisetshenzisiwe	zi/sebenz/is/iw/e
nabagqugquzeli	na/a/ba/gqugquzeli
kwezentuthuko	kwa/e/za/i/ntuthuko
lungokwentsha	lu/nga/u/kwe/n/tsha
abahlonishwayo	aba/hloniph/w/a/yo
njengesibonelo	njenga/i/si/bonelo
lwezentuthuko	lwa/i/za/i/ntuthuko
nabagqugquzeli	na/a/ba/gqugquzeli
lokuhwebelana	la/uku/hweb/el/an/a
labagqugquzeli	la/a/ba/gqugquzeli
labagqugquzeli	la/a/ba/gqugquzeli
emiphakathini	e/i/mi/phakathi/ini
ngezinsizakalo	nga/i/zin/sizakalo
emhlanganweni	e/u/mu/hlangano/ini
ehlukahlukene	e/hlukahluk/an/il/e
kwezinsizakalo	kwa/i/zin/sizakalo
emhlanganweni	e/u/mu/hlangano/ini
yokusebenzisa	ya/u/ku/sebenz/is/a
kwezinsizakalo	kwa/i/zin/sizakalo
nokubuyekezwa	na/u/ku/buyekez/w/a
okusetshenziswa	oku/sebenz/is/w/a
lwezinsizakalo	lwa/i/zin/sizakalo
angomakhelwane	a/nga/o/makhelwane
emiphakathini	e/i/mi/phakathi/ini
njengesibonelo	njenga/i/si/bonelo
nobuthakathaka	na/u/bu/thakathaka
njengesibonelo	njenga/i/si/bonelo
kokubonisana	kwa/u/ku/bon/is/an/a
kokuhlaliswa	kwa/u/ku/hlal/is/w/a
kwamabhizinisi	kwa/a/ma/bhizinisi
ngokungachemi	nga/u/ku/nga/chem/i
zezwe-uhulumeni	ze/zwe/u/hulumeni
ekubuyekezweni	e/ku/buyekezwa/ini
lwezentuthuko	lwa/i/za/i/ntuthuko
ngokwehlukana	nga/u/ku/ehluk/an/a
njengamakomidi	njenga/a/ma/komidi
kwezombusazwe	kwa/i/za/u/mbusazwe
emhlanganweni	e/u/mu/hlangano/ini
nezokuxhumana	na/i/zo/ku/xhuman/a
kwezinhlangano	kwa/i/zin/hlangano
nokunakekelwa	na/u/ku/nakekel/w/a
namaphrojekthi	na/a/ma/phrojekthi
emhlanganweni	e/u/mu/hlangano/ini
emhlanganweni	e/u/mu/hlangano/ini
namantombazane	na/a/ma/ntombazane
okucatshangwayo	oku/cabang/w/a/yo
ngokwehlukana	nga/u/ku/ehluk/an/a
ngokungachemi	nga/u/ku/nga/chem/i
ngokungachemi	nga/u/ku/nga/chem/i
nokusebenzisa	na/u/ku/sebenz/is/a
kwamabhizinisi	kwa/a/ma/bhizinisi
yokusebenzisa	ya/u/ku/sebenz/is/a
njengethuluzi	njenga/i/li/thuluzi
namakhasimende	na/a/ma/khasimende
abehlukahlukene	aba/hlukahluken/e
ngokudidiyela	nga/u/ku/didiy/iw/a
lokusebenzisa	la/u/ku/sebenz/is/a
zokucobelelana	za/uku/cobelelan/a
emhlanganweni	e/u/mu/hlangano/ini
ekuhambiseni	e/u/ku/hamb/is/a/ini
nokuhlolisisa	na/u/ku/hlol/isis/a
nezinhlangothi	na/i/zin/hlangothi
kwezinhlangano	kwa/i/zin/hlangano
kwezinsizakalo	kwa/i/zin/sizakalo
ngokwezindawo	nga/u/kwe/zi/n/dawo
ngezinsizakalo	nga/i/zin/sizakalo
ekubuyekezweni	e/ku/buyekez/a/ini
ezisetshenziswa	ezi/sebenz/is/w/a
ezisetshenziswa	ezi/sebenz/is/w/a
ezisetshenziswa	ezi/sebenz/is/w/a
lamaphrojekthi	la/a/ma/phrojekthi
ekucabangeleni	e/ku/cabangela/ini
esicatshangwayo	esi/cabang/w/a/yo
zokusebenzela	za/u/ku/sebenz/el/a
nokufinyelela	na/u/ku/finy/elel/a
ngokwezindawo	nga/u/kwe/zi/n/dawo
ngokubambisana	nga/u/ku/bambisana
kwezinsizakalo	kwa/i/zin/sizakalo
olusetshenziswa	olu/sebenz/is/w/a
kukahulumeni	nga/u/ku/ka/hulumeni
lokungaguquki	la/u/ku/nga/guquk/i
zezinhlangothi	za/i/zi/nhlangothi
kwezombusazwe	kwa/i/za/u/mbusazwe
nemininingwane	na/i/mi/niningwane
labagqugquzeli	la/a/ba/gqugquzeli
kuzenzakalele	ku/zi/enz/akal/el/e
nobuchwepheshe	na/u/bu/chwepheshe
kwezocwaningo	kwa/e/za/u/cwaningo
nokusebenzisa	na/u/ku/sebenz/is/a
nokusebenzisa	na/u/ku/sebenz/is/a
yemininingwane	ya/i/mi/niningwane
nobuchwepheshe	na/u/bu/chwepheshe
emhlanganweni	e/u/mu/hlangano/ini
ngasekuqaleni	nga/s/e/ku/qal/an/i
ngokujulileyo	nga/u/ku/jul/ile/yo
nokubanjiswene	na/u/ku/banjiswene
ingehlukahluka	i/nga/ehlukahluk/a
nezinqubomgomo	na/i/zin/qubomgomo
ekuvimbeleni	e/u/ku/vimb/el/a/ini
emiphakathini	e/i/mi/phakathi/ini
nawomphakathi	na/wa/u/mu/phakathi
nobuchwepheshe	na/u/bu/chwepheshe
nezikamasipala	na/ezi/ka/masipala
wokutholakala	wa/u/ku/thol/akal/a
ngokufingqiwe	nga/u/ku/fingq/iw/e
namaphrojekthi	na/a/ma/phrojekthi
kwezinhlangano	kwa/i/zin/hlangano
kwezinsizakalo	kwa/i/zin/sizakalo
ngokwehlukana	nga/u/ku/ehluk/an/a
kwezinhlangano	kwa/i/zin/hlangano
nabezifundazwe	na/abe/zi/fundazwe
emhlanganweni	e/u/mu/hlangano/ini
emhlanganweni	e/u/mu/hlangano/ini
njengabamukeli	njenga/a/ba/mukeli
olusetshenziswa	olu/sebenz/is/w/a
olusetshenziswa	olu/sebenz/is/w/a
kwamabhizinisi	kwa/a/ma/bhizinisi
okuthuthukisa	oku/ku/thuthuk/is/a
emiphakathini	e/i/mi/phakathi/ini
emiphakathini	e/i/mi/phakathi/ini
kunjengengxube	ku/njenga/i/ngxube
emiphakathini	e/i/mi/phakathi/ini
ngokwezindawo	nga/u/kwe/zi/n/dawo
nemininingwane	na/i/mi/niningwane
ngokuziphatha	nga/u/ku/zi/phath/a
ahlukahlukene	a/hlukahluk/an/il/e
nokusebenzisa	na/u/ku/sebenz/is/a
yezinhlangothi	ya/i/zi/nhlangothi
zezinhlangothi	za/i/zi/nhlangothi
lemininingwane	la/i/mi/niningwane
nabasebenzisa	na/a/ba/sebenz/is/a
wezokuphatha	wa/i/za/u/ku/phath/a
ngokufingqiwe	nga/u/ku/fingq/iw/e
kwesabelomali	kwa/i/si/sabelomali
ngephothifoliyo	nga/iphothifoliyo
namaphrojekthi	na/a/ma/phrojekthi
engenamphumela	e/nga/na/m/phumela
nemininingwane	na/i/mi/niningwane
kokubambisana	ku/oku/bamb/is/an/a
nobuthakathaka	na/u/bu/thakathaka
zokuhwebelana	za/uku/hweb/el/an/a
nokubandlulula	na/uku/bandlulul/a
ekunciphiseni	e/ku/nciph/is/a/ini
emiphakathini	e/i/mi/phakathi/ini
lwezokuhlela	lwa/i/za/u/ku/hlel/a
emiphakathini	e/i/mi/phakathi/ini
ekubuyekezweni	e/ku/buyekez/a/ini
kwakuyinhloso	kwa/u/ku/y/i/nhloso
wabagqugquzeli	wa/a/ba/gqugquzeli
ngezinsizakalo	nga/i/zin/sizakalo
ngezinsizakalo	nga/i/zin/sizakalo
nokusebenzisa	na/u/ku/sebenz/is/a
zabagqugquzeli	za/a/ba/gqugquzeli
ngokuzimisela	nga/u/ku/zi/misel/a
nokudlondlobala	na/ku/dlondlobala
ekutshalweni	e/u/ku/tshal/w/a/ini
emhlanganweni	e/u/mu/hlangano/ini
kwezentuthuko	kwa/i/za/i/ntuthuko
nezikazwelonke	na/ezi/ka/zwelonke
zikugqugquzela	zi/ku/gqugquz/iw/a
emabhizinisini	e/ma/bhizinisi/ini
kwezombusazwe	kwa/i/za/u/mbusazwe
ngokuziphatha	nga/u/ku/zi/phath/a
yokungenzeka	ya/u/ku/nga/enz/ek/a
kwezokumbiwa	kwa/i/za/u/ku/mb/w/a
zasemngceleni	za/s/e/m/ngcele/ini
ngokuzimisela	nga/u/ku/zi/misel/a
njengesibonelo	njenga/i/si/bonelo
nasemathubeni	na/s/e/ma/thuba/ini
nobuchwepheshe	na/u/bu/chwepheshe
ekuxhumaneni	e/u/ku/xhum/an/a/ini
kokwenzekayo	kwa/u/ku/enz/ek/a/yo
emhlanganweni	e/u/mu/hlangano/ini
ngokuwunikeza	nga/u/ku/wu/nikez/a
ngezentuthuko	nga/i/za/i/ntuthuko
kwezingqinamba	kwa/i/zi/ngqinamba
ekufinyeleleni	e/ku/finyelela/ini
kwezinsizakalo	kwa/i/zin/sizakalo
nabagqugquzeli	na/a/ba/gqugquzeli
lwezentuthuko	lwa/i/za/i/ntuthuko
olunempumelelo	olu/na/i/mpumelelo
olwamukelekile	olu/amukel/ek/il/e
okunomthelela	o/kuna/u/mu/thelela
nokuphikisana	na/u/ku/phikis/an/a
kwezinsizakalo	kwa/i/zin/sizakalo
abezezakhamuzi	abe/ze/zi/akhamuzi
emabhizinisini	e/ma/bhizinisi/ini
emiphakathini	e/i/mi/phakathi/ini
emhlanganweni	e/u/mu/hlangano/ini
namaphrojekthi	na/a/ma/phrojekthi
ohlukahlukene	o/hlukahluk/an/il/e
yokusebenzela	ya/u/ku/sebenz/el/a
esisethebulini	esi/se/thebuli/ini
lwezentuthuko	lwa/i/za/i/ntuthuko
nobuchwepheshe	na/u/bu/chwepheshe
ezokuxhumana	kwa/e/za/ku/xhuman/a
kokuzikhokhela	ku/oku/zi/khokhela
labagqugquzeli	la/a/ba/gqugquzeli
ngokukhombisa	nga/u/ku/khomb/is/a
ekutholakaleni	e/ku/tholakale/ini
emhlanganweni	e/u/mu/hlangano/ini
nabagqugquzeli	na/a/ba/gqugquzeli
nokusebenzisa	na/u/ku/sebenz/is/a
emiphakathini	e/i/mi/phakathi/ini
ngezinsizakalo	nga/i/zin/sizakalo
ekulinganiseni	e/ku/linganisa/ini
kwamabhizinisi	kwa/a/ma/bhizinisi
ngamaphrojethi	nga/a/ma/phrojethi
nobuthakathaka	na/u/bu/thakathaka
emiphakathini	e/i/mi/phakathi/ini
ehlukahlukene	e/hlukahluk/an/il/e
bezenhlalakahle	ba/ze/nhlalakahle
kwezinhlangano	kwa/i/zin/hlangano
namaphrojekthi	na/a/ma/phrojekthi
esisetshenziswe	esi/sebenz/is/w/e
nokusebenzisa	na/u/ku/sebenz/is/a
emhlanganweni	e/u/mu/hlangano/ini
nokubuyekezwa	na/u/ku/buyekez/w/a
kwezombusazwe	kwa/e/za/u/mbusazwe
kwezentuthuko	kwa/e/za/i/ntuthuko
ngokubambisana	nga/u/ku/bambisana
ngokobuhlanga	ng/okwa/u/bu/hlanga
ngokobuhlanga	ng/okwa/u/bu/hlanga
kunezabelomali	ku/ne/zi/abelomali
ziqhakanjiswe	zi/qhakambis/is/w/e
