olwenzelwe	olu/enz/el/w/e
yokulalela	ya/u/ku/lalel/a
sokuthatha	sa/u/ku/thath/a
kungenzeka	ku/nga/enz/ek/a
wokuthatha	wa/u/ku/thath/a
nezokuhamba	na/zoku/hamb/a
unengqondo	u/na/i/n/gqondo
isabelomali	i/si/abelomali
isabelomali	i/si/abelomali
isabelomali	i/si/abelomali
sokuhlonza	sa/u/ku/hlonz/a
ezingozini	e/izi/ngozi/ini
ezimayelana	ezi/mayela/ana
zemikhiqizo	za/imi/khiqizo
lemikhiqizo	le/imi/khiqizo
zokuphakela	za/ku/phakel/a
lokongiwa	lwa/uku/ong/iw/a
ukwabelana	u/ku/ab/el/an/a
yokulawula	ya/u/ku/lawul/a
nokuthemba	na/u/ku/themb/a
sokunikeza	sa/u/ku/nikez/a
zisebenzele	zi/sebenz/iw/e
yimpumelelo	y/i/n/pumelelo
nabesilisa	na/a/be/si/lisa
ukwabelana	u/ku/ab/el/an/a
yimpumelelo	y/i/n/pumelelo
sokuphatha	sa/u/ku/phath/a
yokuqinisa	ya/u/ku/qinis/a
womsebenzi	wa/u/mu/sebenzi
omphakathi	a/u/mu/phakathi
nokuthatha	na/u/ku/thath/a
ekhanselini	e/khanseli/ini
omphakathi	a/u/mu/phakathi
zokuphatha	za/u/ku/phath/a
kwemithathu	kwa/emi/thathu
esakhiweni	e/si/akhiwo/ini
zibaluleke	zi/balulek/il/e
ekuqaleni	e/u/ku/qal/a/ini
lingenziwa	li/nga/enz/iw/a
ngohulumeni	nga/u/hulumeni
zokwenziwa	zo/uku/enz/iw/a
enkulumweni	e/n/kulumo/ini
ekubambeni	e/ku/bamb/a/ini
ekuhleleni	e/ku/hlel/a/ini
ekutholeni	e/ku/thol/a/ini
emhlabeni	e/u/mu/hlaba/ini
nomsebenzi	na/u/mu/sebenzi
unezimpawu	u/na/i/zi/mpawu
ngohulumeni	nga/o/hulumeni
emhlabeni	e/u/mu/hlaba/ini
kunobungozi	ku/na/bu/ngozi
emhlabeni	e/u/mu/hlaba/ini
omphakathi	a/u/mu/phakathi
ekwenzeni	e/u/ku/enz/a/ini
kokulingana	ku/oku/lingana
ngokobulili	nga/ko/bu/lili
ngokobulili	nga/ko/bu/lili
esakhiweni	e/si/akhiwo/ini
omphakathi	a/u/mu/phakathi
nokubenza	na/u/ku/ba/enz/a
ngomasipala	nga/o/masipala
ezinezinto	ezi/na/i/zi/nto
ngomasipala	nga/o/masipala
engxoxweni	e/ngxox/w/a/ini
ngokwe-swot	nga/u/kwe/swot
ohlelweni	o/u/lu/hlelo/ini
wokuphatha	wa/u/ku/phath/a
yeprojekthi	ya/i/projekthi
ngokubheka	nga/u/ku/bhek/a
nokuvumela	na/u/ku/vumel/a
ekhanseleni	e/khansela/ini
ezindabeni	e/zi/n/daba/ini
nezomdabu	na/i/za/u/m/dabu
kunokunaka	ku/na/u/ku/naka
kwe-ikholoji	kwe/i/kholoji
asekhasini	a/s/e/khasi/ini
uqinisekise	u/qinisek/is/a
ngokuhlola	nga/u/ku/hlol/a
izinyathelo	i/zin/nyathelo
zeprojekthi	za/i/projekthi
kungenzeka	ku/nge/enz/ek/a
angamaqili	a/nga/a/ma/qili
nokuguquka	na/u/ku/guquk/a
ashintshwe	a/s/shintsh/w/e
nokuncenga	na/u/ku/nceng/a
yimpumelelo	y/i/n/pumelelo
okumayelana	oku/mayela/ana
ukusekelwa	u/kwe/sekel/w/a
ekuhlelweni	e/ku/hlelo/ini
nehloniphayo	na/hloniphayo
omphakathi	a/u/mu/phakathi
omphakathi	o/u/mu/phakathi
komkhandlu	kwa/u/m/khandlu
kwezakhiwo	kwa/i/zi/akhiwo
ngokuletha	nga/u/ku/leth/a
ngokobulili	nga/ko/bu/lili
ngokobulili	nga/ko/bu/lili
kwemithathu	kwa/emi/thathu
nengcindezi	na/i/ngcindezi
nomsebenzi	na/u/mu/sebenzi
esikhathini	esi/khathi/ini
nokusebenza	na/ku/sebenz/a
ohlelweni	o/u/lu/hlelo/ini
esikhathini	esi/khathi/ini
zingenziwa	zi/nga/enz/iw/a
nomthelela	na/u/mu/thelela
ekuqaleni	e/u/ku/qal/a/ini
kungenzeka	ku/nga/enz/ek/a
nomkhandlu	no/u/mu/khandlu
ekunikezeni	e/ku/nikez/ini
nokuthatha	no/u/ku/thath/a
nokucacisa	na/u/ku/cacis/a
ekukhuleni	e/ku/khul/a/ini
isabelomali	i/si/abelomali
zokuphatha	za/u/ku/phath/a
isabelomali	i/si/abelomali
kokulethwa	ko/oku/leth/w/a
izinyathelo	i/zin/nyathelo
ekuqondeni	e/ku/qond/a/ini
zokukhokha	za/u/ku/khokh/a
omphakathi	a/u/mu/phakathi
nomthelela	na/u/mu/thelela
kunemibuzo	ku/na/i/mi/buzo
ohlelweni	o/u/lu/hlelo/ini
ohlelweni	o/u/lu/hlelo/ini
omphakathi	a/u/mu/phakathi
yomsebenzi	ya/u/mu/sebenzi
womsebenzi	wa/u/mu/sebenzi
yomsebenzi	ya/u/mu/sebenzi
womsebenzi	wa/u/mu/sebenzi
ohlelweni	o/u/lu/hlelo/ini
ohlelweni	o/u/lu/hlelo/ini
esizokwenza	esi/zoku/enz/a
yimpumelelo	y/i/n/pumelelo
wokubikela	wa/uku/bik/el/a
emhlabeni	e/u/mu/hlaba/ini
ekwenzeni	e/u/ku/enz/a/ini
nomsebenzi	no/u/mu/sebenzi
njengelungu	njenga/i/lungu
ethebhuleni	e/thebhula/ini
inamasheya	i/na/a/ma/sheya
yeplatinamu	ya/i/platinamu
ekukhuleni	e/ku/khul/a/ini
nokuvumela	na/u/ku/vumel/a
okunomsoco	oku/na/u/m/soco
njengohlelo	njenga/u/hlelo
lwengxabano	lwa/i/ngxabano
enkulumweni	e/n/kulumo/ini
ezikhathini	ezi/khathi/ini
besatshiswa	ba/satshis/w/a
esesimweni	e/s/e/si/mo/ini
ngokugxila	nga/u/ku/gxil/a
nezinkomba	na/i/zin/khomba
kungenzeka	ku/nga/enz/ek/a
zokwethula	za/u/kwe/thul/a
izinyathelo	i/zin/nyathelo
isabelomali	i/si/abelomali
ekuqaleni	e/u/ku/qal/a/ini
osekhasini	o/s/e/khasi/ini
ezenziwayo	ezi/enz/iw/a/yo
ngokuhamba	nga/u/ku/hamb/a
abanolwazi	aba/na/u/lu/azi
sokuthatha	sa/u/ku/thath/a
ngomasipala	nga/o/masipala
ngokobulili	nga/ko/bu/lili
nomthelela	na/u/mu/thelela
esikhathini	esi/khathi/ini
omphakathi	a/u/mu/phakathi
ezindabeni	e/zi/n/daba/ini
esikhathini	esi/khathi/ini
eyezifunda	e/ya/i/zi/funda
ezizokwenza	ezi/zoku/enz/a
ezinqumweni	ezi/n/qumo/ini
nomthelela	na/u/mu/thelela
esikhathini	esi/khathi/ini
lokwehluka	la/u/ku/ehluk/a
ekwesekeni	e/kwe/sek/a/ini
nokuphatha	na/u/ku/phath/a
sokulawula	sa/u/ku/lawul/a
omphakathi	a/u/mu/phakathi
kuxhunyanwa	ku/xhum/an/w/a
nomkhankaso	na/mu/khankaso
kunesibalo	ku/na/i/si/balo
esikhathini	esi/khathi/ini
kungenzeka	ku/nga/enz/ek/a
esikhathini	esi/khathi/ini
njengomnotho	njenga/mnotho
nomthelela	na/u/mu/thelela
unezibopho	u/na/i/zi/bopho
kungenziwa	ku/nga/enz/iw/a
ngokubamba	nga/u/ku/bamb/a
nokukhomba	na/u/ku/khomb/a
ohlelweni	o/u/lu/hlelo/ini
ekubambeni	e/ku/bamb/a/ini
nomthelela	na/u/mu/thelela
zicindezela	zi/cindez/iw/a
nokusimama	na/u/ku/simam/a
nomsebenzi	na/u/mu/sebenzi
nomkhandlu	na/u/mu/khandlu
isabelomali	i/si/abelomali
nomkhandlu	na/u/mu/khandlu
ekhanseleni	e/khansela/ini
nabazimele	na/aba/zi/mel/e
komkhandlu	kwa/u/m/khandlu
asezingeni	a/s/e/zinga/ini
isabelomali	i/si/abelomali
ukuzethula	u/ku/zi/ethul/a
yimpumelelo	y/i/n/pumelelo
zemikhiqizo	za/imi/khiqizo
angamaqili	a/nga/a/ma/qili
ngokuqonde	nga/u/ku/qond/e
lomkhiqizo	la/u/mu/khiqizo
kwezindlela	kwa/i/zin/dlela
zomphakathi	za/u/m/phakathi
wamalungelo	wa/a/ma/lungelo
wamalungelo	wa/a/ma/lungelo
lokuhlakaza	la/uku/hlakaz/a
kwamakomidi	kwa/a/ma/komidi
ukusekelwa	u/kwe/sek/el/w/a
ngesikhathi	nga/i/si/khathi
nomphakathi	na/u/m/phakathi
nabasebenzi	na/a/ba/sebenzi
wemisebenzi	wa/i/mi/sebenzi
sokulethwa	sa/u/ku/leth/w/a
ezokubekwa	e/za/uku/bek/w/a
emazingeni	e/a/ma/zinga/ini
nocwaningo	na/u/lu/cwaningo
kwezitimela	kwa/i/zi/timela
nemisebenzi	na/i/mi/sebenzi
usezingeni	u/s/e/zing/e/ini
wezezindlu	wa/e/za/izi/ndlu
usezingeni	u/s/e/zing/e/ini
wezezindlu	wa/e/za/izi/ndlu
yokuhlolwa	ya/u/ku/hlol/w/a
ngesikhathi	nga/i/si/khathi
kwakwenziwa	kwa/ku/enz/iw/a
kulindelweni	ku/lindelw/ini
sokuphathwa	sa/ku/phath/w/a
nenqubekela	na/i/n/qubekela
nezimakethe	na/i/zi/makethe
emikhakheni	e/mi/khakha/ini
yomphakathi	ya/u/m/phakathi
ukuqashelwa	u/ku/qaphel/w/a
zezinguquko	za/i/zin/guquko
yomphakathi	ya/u/m/phakathi
ngabanikazi	nga/a/ba/nikazi
komsebenzi	kwa/u/mu/sebenzi
nabezindaba	na/abe/zin/daba
zabasebenzi	za/a/ba/sebenzi
lomsebenzi	lwa/u/mu/sebenzi
kwezinhlelo	kwa/i/zin/hlelo
ezimpilweni	ezi/m/philo/ini
ngasikhathi	nga/i/si/khathi
entuthukweni	e/ntuthuko/ini
ngesikhathi	nga/i/si/khathi
lezomnotho	la/i/za/u/mnotho
ngempumelelo	nga/m/pumelelo
nemisebenzi	na/i/mi/sebenzi
yisakhamuzi	y/i/si/akhamuzi
lomphakathi	la/u/m/phakathi
nabasebenzi	na/a/ba/sebenzi
bezempilo	ba/i/za/i/m/philo
yenhlangano	ya/i/n/hlangano
ukwemukelwa	u/ku/amukel/w/a
kokuyiswa	kwa/u/ku/y/is/w/a
nomphakathi	na/u/m/phakathi
yomphakathi	ya/u/m/phakathi
ngesikhathi	nga/i/si/khathi
sokwenziwa	sa/u/ku/enz/iw/a
eminyakeni	e/i/mi/nyaka/ini
ngabaqalayo	nga/aba/qala/yo
banelungelo	ba/na/i/lungelo
kwesikhathi	kwe/i/si/khathi
ngumsebenzi	ng/u/mu/sebenzi
wasekhaya	wa/s/e/i/li/khaya
kwesikhungo	kwa/i/si/khungo
wasekhaya	wa/s/e/i/li/khaya
yizakhamuzi	y/i/zi/akhamuzi
nasezingeni	na/s/e/zing/ini
nokwenziwa	na/u/ku/enz/iw/a
