kunezizathu	ku/na/i/zi/zathu
osekwenziwe	o/se/ku/enz/iw/e
nokuqeqesha	na/u/ku/qeqesh/a
yomphakathi	ya/u/mu/phakathi
entuthukweni	e/n/tuthuko/ini
yomphakathi	ya/u/mu/phakathi
nezakhamuzi	na/i/zi/akhamuzi
entuthukweni	e/n/tuthuko/ini
nokubhekana	na/uku/bhek/an/a
ngokunikeza	nga/u/ku/nikez/a
lomphakathi	la/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ekulethweni	e/ku/leth/w/an/i
zomphakathi	zo/u/mu/phakathi
sokulandela	sa/u/ku/landel/a
komphakathi	ko/u/mu/phakathi
lezakhamuzi	la/i/zi/akhamuzi
nokuqeqesha	na/u/ku/qeqesh/a
komphakathi	ko/u/mu/phakathi
ekulinganeni	e/ku/lingan/ini
ebhizinisini	e/bhizinisi/ini
kwephalamende	kwa/phalamende
nangendlela	na/nga/i/n/dlela
nomphakathi	na/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
lenkohlakalo	la/i/nkohlakalo
nenkohlakalo	na/i/nkohlakalo
komphakathi	ko/u/mu/phakathi
ekupheleni	e/u/ku/phel/a/ini
kwengqikithi	kwa/i/ngqikithi
yokusebenza	ya/u/ku/sebenz/a
emkhakheni	e/u/mu/khakha/ini
nomphakathi	na/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
ngomsebenzi	nga/u/mu/sebenzi
komphakathi	ko/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
njengengxoxo	njenga/i/ngxoxo
nenkohlakalo	na/i/nkohlakalo
nenkohlakalo	na/i/nkohlakalo
ezikhungweni	e/zi/khungo/ini
nenkohlakalo	na/i/nkohlakalo
nenkohlakalo	na/i/nkohlakalo
lukahulumeni	luka/u/hulumeni
ezahlukene	ezi/ahluk/an/il/e
ezahlukene	ezi/ahluk/an/il/e
ezahlukene	ezi/ahluk/an/il/e
zomphakathi	za/u/mu/phakathi
ngokucasuka	nga/u/ku/casuk/a
esikhundleni	esi/khundla/ini
kweprojekthi	kwa/i/projekthi
yezakhamuzi	ya/i/zi/akhamuzi
nangendlela	na/nga/i/n/dlela
lomphakathi	la/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
kunesidingo	ku/na/i/si/dingo
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
engxenyeni	e/i/n/ngxenye/ini
inezinhlobo	i/ne/i/zin/hlobo
ngezabelomali	nga/zabelomali
zokusebenza	za/u/ku/sebenz/a
kweprojekthi	kwa/i/projekthi
kweprojekthi	kwa/i/projekthi
kuyadingeka	ku/nga/ding/ek/a
ezinamandla	ezi/na/a/ma/ndla
zinomthelela	zi/na/m/thelela
ezehlukene	ezi/ehluk/an/e
ngokucacile	nga/u/ku/cac/ile
nezakhamuzi	na/i/zi/akhamuzi
wephrojekthi	wa/i/phrojekthi
ngokushesha	nga/u/ku/shesh/a
lokulindela	la/u/ku/lindel/a
lomhlangano	lwa/u/m/hlangano
njengosihlalo	njenga/sihlalo
komphakathi	ko/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
ebezethulwe	e/be/zi/thul/w/e
komphakathi	ko/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
ekulamuleni	e/ku/lamul/a/ini
anesikhathi	a/na/i/si/khathi
ekuhlukaneni	e/kuhlukana/ini
komphakathi	ko/u/mu/phakathi
zokusebenza	za/u/ku/sebenz/a
anezinkomba	a/na/i/zin/komba
yokusebenza	ya/u/ku/sebenz/a
zephrojekthi	za/i/phrojekthi
zezentuthuko	za/za/n/tuthuko
nenkohlakalo	na/i/nkohlakalo
okungenani	oku/nge/nani
zokuvakasha	za/u/ku/vakash/a
kwamaqenjana	kwa/ama/qenjana
entuthukweni	e/n/tuthuko/ini
ngokuphatha	nga/u/ku/phath/a
zinomsebenzi	zi/na/imsebenzi
kumphakathi	ku/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
engamashumi	e/nga/a/ma/shumi
zomphakathi	zo/u/mu/phakathi
ekugcineni	e/u/ku/gcin/a/ini
nomphakathi	na/u/mu/phakathi
emsebenzini	e/mu/sebenzi/ini
kokwesekwa	kwa/u/kwe/sek/w/a
nokusebenza	na/u/ku/sebenz/a
emsebenzini	e/mu/sebenzi/ini
emkhandlwini	e/m/khandlu/ini
emkhandlwini	e/m/khandlu/ini
zomphakathi	zo/u/mu/phakathi
njengengxoxo	njenga/i/ngxoxo
zomphakathi	zo/u/mu/phakathi
nokufiswayo	na/ku/fis/w/a/yo
komphakathi	ko/u/mu/phakathi
lokuhlaziya	la/u/ku/hlaziy/a
nesihlongoso	na/isi/hlongoso
zomphakathi	zo/u/mu/phakathi
ezahlukene	ezi/ahluk/an/il/e
ekukhethweni	e/ku/khetho/ini
ekuthatheni	e/ku/thath/a/ini
komphakathi	ko/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
ngesabelomali	nga/sabelomali
engxenyeni	e/i/n/ngxenye/ini
ngokushesha	nga/u/ku/shesh/a
ngokwethula	nga/u/kwe/thul/a
ezahlukene	ezi/ahluk/an/il/e
kweprojekthi	kwa/i/projekthi
emkhakheni	e/u/mu/khakha/ini
somphakathi	sa/u/mu/phakathi
emsebenzini	e/mu/sebenzi/ini
neyureniyamu	na/i/yureniyamu
nezamandla	na/i/za/a/ma/ndla
ngokulawula	nga/u/ku/lawul/a
ekuhleleni	e/u/ku/hlel/a/ini
kukahulumeni	kuka/u/hulumeni
ezihlangene	ezi/hlangan/il/e
zezentuthuko	za/za/n/tuthuko
komphakathi	ko/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
nesabelomali	na/i/sabelomali
ngokushesha	nga/u/ku/shesh/a
komphakathi	ko/u/mu/phakathi
nokwandiswa	na/ku/and/is/w/a
yomphakathi	ya/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
ekulungiseni	e/ku/lungis/ini
bebezokwazi	ba/be/zo/kw/az/i
emsebenzini	e/mu/sebenzi/ini
sikazwelonke	sika/u/zwelonke
nomphakathi	na/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
ngobobulili	nga/u/bo/bu/lili
kokuphathwa	ku/oku/phath/w/a
zokusebenza	za/u/ku/sebenz/a
sezindaweni	se/ezi/n/daw/eni
nomphakathi	na/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
yokusebenza	ya/u/ku/sebenz/a
zokusebenza	za/u/ku/sebenz/a
zomphakathi	zo/u/mu/phakathi
ngosebenzisa	nga/sebenz/is/a
kokuphindwa	ku/oku/phind/w/a
ezehlukene	ezi/ehluk/an/e
wephrojekthi	wa/i/phrojekthi
emkhandlwini	e/m/khandlu/ini
ngokucacile	nga/u/ku/cac/ile
nomphakathi	na/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
ngokunikeza	nga/u/ku/nikez/a
zomphakathi	zo/u/mu/phakathi
ezikhundleni	ezi/khundla/ini
ngokucacile	nga/u/ku/cac/ile
komhlangano	kwa/u/m/hlangano
sokusungula	sa/u/ku/sungul/a
emkhandlwini	e/m/khandlu/ini
eminyangweni	e/mi/nyango/ini
somphakathi	sa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
lephrojekthi	la/i/phrojekthi
yokusebenza	ya/u/ku/sebenz/a
njengeforamu	njenga/i/foramu
ngokwengeza	nga/u/ku/engez/a
nokuhlaziya	na/u/ku/hlaziy/a
zokusebenza	za/u/ku/sebenz/a
komphakathi	ko/u/mu/phakathi
komjikelezo	kwa/u/m/jikelezo
wephrojekthi	wa/i/phrojekthi
nesabelomali	na/i/sabelomali
nothuthukayo	na/thuthuk/a/yo
nesebenzayo	na/i/sebenz/a/yo
yokusebenza	ya/u/ku/sebenz/a
ezahlukene	ezi/ahluk/an/il/e
lokuhlaziya	la/u/ku/hlaziy/a
ngokusobala	nga/u/ku/sobal/a
ezimpahleni	e/zi/m/pahla/ini
komphakathi	ko/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
ngokohlelo	nga/u/kwa/u/hlelo
lomphakathi	la/u/mu/phakathi
ngokwentela	nga/u/kwe/n/tela
zomphakathi	zo/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
zokusebenza	za/u/ku/sebenz/a
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
ekukhethweni	e/ku/khetho/ini
lomphakathi	la/u/mu/phakathi
emkhandlwini	e/m/khandlu/ini
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
kukahulumeni	kuka/u/hulumeni
likahulumeni	lika/u/hulumeni
iyokwenziwa	i/yo/ku/enz/iw/a
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
izokwenzeka	i/zo/ku/enz/ek/a
ngokwamasiko	nga/kwa/ma/siko
ngokushesha	ngo/u/ku/shesh/a
komphakathi	ko/u/mu/phakathi
olunamagama	olu/na/a/ma/gama
emkhandlwini	e/m/khandlu/ini
womphakathi	wa/u/mu/phakathi
emkhandlwini	e/m/khandlu/ini
wephrojekthi	wa/i/phrojekthi
emkhakheni	e/u/mu/khakha/ini
womphakathi	wa/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
emkhakheni	e/u/mu/khakha/ini
komphakathi	ko/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
ekugcineni	e/u/ku/gcin/a/ini
nesabelomali	na/i/sabelomali
eyehlukene	e/yi/ehluk/an/il/e
zingabelana	zi/nga/ab/el/an/a
ngezikhundla	nga/i/zi/khundla
amaphandleni	a/ma/phandle/ini
enomphumela	e/na/u/mu/phumela
kwemisebenzi	kwa/i/mi/sebenzi
kwemisebenzi	kwa/i/mi/sebenzi
bencintisana	ba/ncint/is/an/a
ngezingcingo	nga/i/zi/ngcingo
esenzangayo	e/si/enz/a/nga/yo
sokuhlonzwa	sa/u/ku/hlonz/w/a
nokuhlaziywa	na/ku/hlaziy/w/a
kwabasebenzi	kwa/a/ba/sebenzi
lesifundazwe	la/i/si/fundazwe
emadolobheni	e/ma/dolobha/ini
isetshenziswe	i/sebenz/is/w/e
njengokwegama	njenga/kwe/gama
okusezingeni	oku/s/e/zing/ini
kunokushoda	ku/na/u/ku/shod/a
kwabasebenzi	kwa/a/ba/sebenzi
kwabasebenzi	kwa/a/ba/sebenzi
kwemisebenzi	kwa/i/mi/sebenzi
namakhansela	na/a/ma/khansela
esikhathini	e/i/si/khathi/ini
namakhansela	na/a/ma/khansela
kuvunyelwane	ku/vum/el/w/an/e
ekubhalweni	e/ku/bhal/w/a/ini
kwenhlangano	kwa/i/n/hlangano
ze-millennium	za/i/millennium
zikahulumeni	zi/ka/u/hulumeni
ekuguqukeni	e/uku/guquk/a/ini
kobudlelwane	kwa/ubu/dlelwane
lokusebenza	lwa/u/ku/sebenz/a
kwemisebenzi	kwa/i/mi/sebenzi
emadolobheni	e/ma/dolobha/ini
zikahulumeni	zi/ka/u/hulumeni
lokusebenza	lwa/u/ku/sebenz/a
ekukhiqizeni	e/ku/khiqiza/ini
kwemisebenzi	kwa/i/mi/sebenzi
kwemikhandlu	kwa/i/mi/khandlu
wayenolwazi	wa/ye/na/u/lu/azi
njengomnyango	njenga/umnyango
lefliphushadi	le/afliphushadi
zikahulumeni	zi/ka/u/hulumeni
yesifundazwe	ya/i/si/fundazwe
onenqubekela	o/na/i/nqubekela
nemihlangano	na/i/mi/hlangano
komphakathi	kwa/u/mu/phakathi
ekulandeleni	e/ku/landela/ini
lokusebenza	lwa/u/ku/sebenz/a
ukwemukeleka	u/ku/amukel/ek/a
esifundazweni	esi/fundazw/ini
kwenhlangano	kwa/i/n/hlangano
njengendlela	njenga/i/n/dlela
zikahulumeni	zi/ka/u/hulumeni
zesifundazwe	ze/i/si/fundazwe
zenqubomgomo	za/i/n/qubomgomo
yezifundazwe	ya/i/zi/fundazwe
ngemisebenzi	nga/i/mi/sebenzi
ezokuthutha	e/za/u/ku/thuth/a
ngemisebenzi	nga/i/mi/sebenzi
kwemisebenzi	kwa/i/mi/sebenzi
okusezingeni	oku/s/e/zing/ini
ngokulingana	nga/u/ku/lingana
zokubhekana	za/u/ku/bhek/an/a
ngezinguquko	nga/i/zin/guquko
nezinkokhelo	na/i/zin/kokhelo
kwemisebenzi	kwa/i/mi/sebenzi
kwemisebenzi	kwa/i/mi/sebenzi
kwemisebenzi	kwa/i/mi/sebenzi
zekhephithali	za/ikhephithali
zikahulumeni	zi/ka/u/hulumeni
esifundazweni	esi/fundazw/ini
kwezinguquko	kwa/i/zin/guquko
nezinyathelo	na/i/zin/yathelo
ngezingxenye	nga/i/zi/ngxenye
ngokulingana	nga/u/ku/lingana
ngokulingana	nga/u/ku/lingana
kwezempilo	kwa/i/za/i/n/philo
ekwakhiweni	e/ku/akh/iw/a/ini
