wokuhlela	wa/u/ku/hlel/a
bengamelwe	ba/nga/mel/w/e
kwezinqumo	kwa/i/zin/qumo
bezinhloso	ba/i/zin/hloso
kwamakhono	kwa/a/ma/khono
nezikhungo	na/i/zi/khungo
ngamazinga	nga/a/ma/zinga
ezabelweni	e/zi/abelo/ini
owakhelwe	o/wa/akh/el/w/e
yezindleko	ya/i/zin/dleko
elihlangene	eli/hlangan/e
zeminyango	za/i/mi/nyango
nezinjongo	na/i/zin/jongo
lezakhamuzi	le/izakhamuzi
yokuqoqwa	ya/u/ku/qoq/w/a
nakwezinye	na/kwa/ezi/nye
zamakomiti	za/a/ma/komiti
ungakwenza	u/nga/ku/enz/a
kwamathuba	kwa/a/ma/thuba
kwamathuba	kwa/a/ma/thuba
enkundleni	e/n/kundla/ini
lokuhlola	lwa/u/ku/hlol/a
nezinhlaka	na/i/zin/hlaka
kwamakhaya	kwa/a/ma/khaya
nezinhlelo	na/i/zin/hlelo
nezinhloso	na/i/zin/hloso
endleleni	e/i/n/dlela/ini
nesikhathi	na/i/si/khathi
ngesifundo	nga/i/si/fundo
lokuhlola	lwa/u/ku/hlol/a
kwezidingo	kwa/i/zi/dingo
kwemigwaqo	kwa/i/mi/gwaqo
nezinhlelo	na/i/zin/hlelo
nomthelela	na/u/m/thelela
ngezindaba	nga/i/zin/daba
kwikhanseli	ku/i/khanseli
ngekhansela	nga/ikhansela
zase-afrika	za/s/e/afrika
ezindaweni	e/i/zin/ndawo/ini
zokuhlanza	za/uku/hlanz/a
zezezimali	za/za/izi/mali
abazokwazi	aba/zo/ku/az/i
kwezinqumo	kwa/i/zin/qumo
zomkhandlu	za/u/m/khandlu
yokuzisiza	ya/uku/zisiz/a
yokuguquka	ya/uku/guquk/a
kokulimaza	ku/oku/limaz/a
izimpendulo	i/zin/pendulo
emaqenjini	e/ma/qembu/ini
bezinkinga	ba/i/zin/kinga
ezindabeni	e/i/zin/ndawo/ini
angakwenza	a/nga/ku/enz/a
ngokweseka	nga/u/kwesek/a
emaqenjini	e/ma/qembu/ini
yezinhlobo	ya/i/zin/hlobo
emaqenjini	e/ma/qembu/ini
besifazane	ba/i/si/fazane
nezindleko	na/i/zin/dleko
kwezinsiza	kwa/i/zin/siza
lokuhlola	lwa/u/ku/hlol/a
ebangeni	e/bang/e/ni
eqophelweni	e/qophelo/ini
kwezinsiza	kwa/i/zin/siza
kumphumela	ku/u/m/phumela
kwezinqumo	kwa/i/zin/qumo
kwamalungu	kwa/a/ma/lungu
kuzokwenza	ku/zo/ku/enz/a
ngakolunye	nga/ku/olu/nye
nentuthuko	na/i/n/tuthuko
lezakhamuzi	le/izakhamuzi
emigwaqeni	e/mi/gwaqo/ini
lwamaphuzu	lwa/a/ma/phuzu
ezindaweni	e/zin/dawo/ini
kwabayi-12	kwa/aba/y/i/12
emaqenjini	e/ma/qembu/ini
wesikhathi	wa/i/si/khathi
ezahlukile	ezi/ahluk/il/e
somkhandlu	sa/u/m/khandlu
yamatekisi	ya/a/ma/tekisi
yesithathu	ya/i/si/thathu
emigwaqeni	e/mi/gwaqo/ini
ezindaweni	e/i/zin/ndawo/ini
ngokubanzi	nga/u/ku/banzi
ngomgqibelo	nga/umgqibelo
namakhophi	na/a/ma/khophi
endleleni	e/i/n/dlela/ini
endleleni	e/i/n/dlela/ini
empilweni	e/i/n/philo/ini
ezindaweni	ezi/n/dawo/ini
emigwaqeni	e/mi/gwaqo/ini
kwesesi-3	kwa/i/sa/i/si/3
ngamaqembu	nga/a/ma/qembu
ngakolunye	nga/ku/olu/nye
nezinkinga	ne/i/zin/kinga
unamakhono	u/na/ama/khono
nempendulo	na/i/m/pendulo
nezinkinga	na/i/zin/kinga
besifazane	ba/i/si/fazane
negciwane	na/i/li/gciwane
kokuthola	kwa/u/ku/thol/a
nezinjongo	na/i/zin/jongo
lokuhweba	lwa/u/ku/hweb/a
nenqubekela	na/n/qubekela
lwamaphuzu	lwa/a/ma/phuzu
emicimbini	e/mi/cimbi/ini
nezinhlelo	na/i/zin/hlelo
enkundleni	e/n/kundla/ini
izimpendulo	i/zin/pendulo
zemikhakha	za/i/mi/khakha
kwikhansela	ku/i/khansela
kwamathuba	kwa/a/ma/thuba
kokukwazi	kwa/u/ku/ku/azi
ekhasini	e/i/li/khasi/ini
sezingxoxo	sa/i/zi/ngxoxo
ngamalahle	nga/a/ma/lahle
ebuningini	e/bu/ningi/ini
besifazane	ba/i/si/fazane
ebuningini	e/bu/ningi/ini
sezinhlelo	sa/i/zin/hlelo
ebuningini	e/bu/ningi/ini
okungenani	oku/nga/i/nani
wezinhlaka	wa/i/zin/hlaka
wezinhlelo	wa/i/zin/hlelo
zingama-24	zi/nga/a/ma/24
zezinjongo	za/i/zin/jongo
kunokuthi	ku/na/u/ku/th/i
sezinkinga	sa/i/zin/kinga
sezinjongo	sa/i/zin/jongo
kwezinqumo	kwa/i/zin/qumo
abakwaziyo	aba/ku/az/i/yo
i-inthanethi	i/inthanethi
ngamaphuzu	nga/a/ma/phuzu
yesikhathi	ya/i/si/khathi
emakhasini	e/ma/khasi/ini
isikwazile	i/si/ku/az/ile
nesikhathi	ne/i/si/khathi
kumkhandlu	ku/u/m/khandlu
sesikhathi	sa/i/si/khathi
zezikhathi	za/i/zi/khathi
kwezinsiza	kwa/i/zin/siza
wezikhathi	wa/i/zi/khathi
besifazane	ba/i/si/fazane
besifazane	ba/i/si/fazane
besifazane	ba/i/si/fazane
bakhathazwa	ba/akhathazwa
nokhuthazwa	na/okhuthazwa
iningizimu	i/li/ningizimu
zokuthenga	za/uku/theng/a
nokwandisa	no/ku/and/is/a
kwekhanseli	kwa/ikhanseli
ezindaweni	e/i/zin/ndawo/ini
nokudalwa	na/u/ku/dal/w/a
kwamathuba	kwa/a/ma/thuba
wezinhlaka	wa/i/zin/hlaka
nezinhlelo	na/i/zin/hlelo
nomthelela	na/u/m/thelela
namaqhinga	na/a/ma/qhinga
emashumini	e/ma/shumi/ini
kwesisindo	kwa/i/si/sindo
kwezindaba	kwa/i/zin/daba
endleleni	e/i/n/dlela/ini
ezidingweni	ezi/dingo/ini
ngezidingo	nga/i/zi/dingo
lokuguqula	la/uku/guqul/a
ibhizinisi	i/li/bhizinisi
yesikhathi	ya/i/si/khathi
emaqenjini	e/ma/qembu/ini
ezokwabela	e/zo/ku/abel/a
wezinhlaka	wa/i/zin/hlaka
samakomidi	sa/a/ma/komidi
yomkhandlu	ya/u/m/khandlu
kwikhansela	ku/i/khansela
nezinkinga	na/i/zin/kinga
ngezinkinga	nga/zin/kinga
zomkhandlu	za/u/m/khandlu
emanothini	e/ma/nothi/ini
ezindaweni	e/i/zin/ndawo/ini
yomkhandlu	ya/u/m/khandlu
ngamakhono	nga/a/ma/khono
nokwazisa	na/u/ku/az/is/a
belinyaziwe	be/limaz/iw/e
womkhandlu	wa/u/m/khandlu
nesikhathi	na/i/si/khathi
nesikhathi	na/i/si/khathi
kweminyaka	kwa/i/mi/nyaka
okungenani	oku/nga/i/nani
lokugcina	lwa/u/ku/gcin/a
ngomthetho	nga/u/m/thetho
kumkhandlu	ku/u/m/khandlu
yomkhandlu	ya/u/m/khandlu
ibhizinisi	i/li/bhizinisi
lokusekela	la/uku/sekel/a
lokusekela	la/uku/sekel/a
ngezindaba	nga/i/zin/daba
ezindaweni	e/i/zin/ndawo/ini
kuvikelwa	ku/vikel/ek/ile
nezindlela	na/i/zin/dlela
lethembele	li/ethemb/el/e
sezindleko	sa/i/zin/dleko
nesisekelo	na/i/si/sekelo
zezindleko	za/i/zin/dleko
enkundleni	e/n/kundla/ini
lokuqasha	lwa/u/ku/qash/a
ezindaweni	e/i/zin/ndawo/ini
zokunisela	za/uku/nisel/a
yentuthuko	ya/i/n/tuthuko
kwamathuba	kwa/a/ma/thuba
besifazane	ba/i/si/fazane
emakhadini	e/ma/khadi/ini
ngezindaba	nga/i/zin/daba
kwamaqembu	kwa/a/ma/qembu
ngomnyango	nga/u/m/nyango
lokubamba	lwa/u/ku/bamb/a
ngentuthuko	nga/intuthuko
njengezinto	njenga/zi/nto
nabaphathi	na/a/ba/phathi
bomkhandlu	ba/u/m/khandlu
yomkhandlu	ya/u/m/khandlu
lwamakhasi	lwa/a/ma/khasi
wezinhlelo	wa/i/zin/hlelo
okukhula	oku/khul/a
kunqanyulwe	ku/nqamul/w/e
njengebhodi	njenga/ibhodi
ngamathuba	nga/a/ma/thuba
namakomidi	na/a/ma/komidi
ekudwebeni	e/ku/dweba/ini
zezinhlelo	za/i/zin/hlelo
kwezidingo	kwa/i/zi/dingo
ngamaqembu	nga/a/ma/qembu
labaluleki	la/a/ba/luleki
kwikhanseli	ku/i/khanseli
ngokubanzi	nga/u/ku/banzi
yesikhathi	ya/i/si/khathi
ngamaphuzu	nga/a/ma/phuzu
kwezempilo	kwe/ze/m/philo
nezikhungo	na/i/zi/khungo
kwezidingo	kwa/i/zi/dingo
kwezidingo	kwa/i/zi/dingo
nezinkinga	na/i/zin/kinga
ngamakhono	nga/a/ma/khono
sesikhathi	sa/i/si/khathi
i-provincial	i/provincial
zesikhathi	za/i/si/khathi
zomphakathi	za/u/phakathi
okwakhelwe	oku/akh/el/w/e
nemithetho	na/i/mi/thetho
ngokubanzi	nga/u/ku/banzi
lezinhlelo	la/i/zin/hlelo
e-thanzaniya	e/thanzaniya
ngo-septemba	ngo/septemba
nokubeseka	na/u/ku/ba/es/ek/a
zezindlela	za/i/zin/dlela
nezindlela	na/i/zin/dlela
nezindleko	na/i/zin/dleko
