ekulawuleni	e/ku/lawula/eni
womphakathi	wa/u/mu/phakathi
ngobulwelobu	nga/ubu/lwelobu
nomphakathi	na/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
lomphakathi	la/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
bomphakathi	ba/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
nemthethweni	ne/m/thetho/eni
nephrojekthi	na/i/phrojekthi
zomphakathi	za/u/mu/phakathi
ekhethiweko	e/kheth/iw/ek/ko
womphakathi	wa/u/mu/phakathi
somphakathi	sa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
wangekhaya	wa/nga/i/li/khaya
emapholiseni	e/mapholisa/eni
emkhandlwini	e/m/khandlu/ini
somphakathi	sa/u/mu/phakathi
somphakathi	sa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
ngokwendlela	nga/kwe/n/dlela
ngokwamasiko	nga/kwa/ma/siko
womphakathi	wa/u/mu/phakathi
emkhandlwini	e/m/khandlu/ini
ekuthomeni	e/u/ku/thom/a/ini
zomphakathi	za/u/mu/phakathi
somphakathi	sa/u/mu/phakathi
lezakhamuzi	le/i/zi/akhamuzi
zomphakathi	za/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
yokunikelwa	ya/u/ku/nikel/w/a
komphakathi	kwa/u/mu/phakathi
kwemisebenzi	kwa/i/mi/sebenzi
wokuthathwa	wa/u/ku/thath/w/a
njengendlela	njenga/i/n/dlela
ekohlakalweni	e/kohlakalo/eni
kwabasebenzi	kwa/a/ba/sebenzi
yokuthathwa	ya/u/ku/thath/w/a
nemiphakathi	na/i/mi/phakathi
ngobuthakgha	nga/u/bu/thakgha
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
ngokutshwaya	nga/u/ku/tshwaya
sokwethulwa	sa/u/kwe/thul/w/a
komphakathi	kwa/u/mu/phakathi
ngokubethusa	nga/u/ku/bethusa
ngokubethusa	nga/u/ku/bethusa
ngokuqalana	nga/u/ku/qal/an/a
nokusekelwa	na/u/ku/sekel/w/a
ngokomtlamo	nga/u/ku/mu/tlamo
nemitlameni	na/i/mi/tlamo/eni
wokuqedelela	wa/u/ku/qedelela
yokudlulisa	ya/u/ku/dlul/is/a
wokukhutjhwa	wa/u/ku/khutjhwa
nemisebenzini	na/mi/sebenzini
kwemikhiqizo	kwa/i/mi/khiqizo
komphakathi	kwa/u/mu/phakathi
ngokobujamo	nga/ku/ko/bu/jamo
yokuphathwa	ya/u/ku/phath/w/a
unomsebenzi	u/na/u/mu/sebenzi
ophathelene	o/phath/el/an/ile
komphakathi	kwa/u/mu/phakathi
ekungenzeka	e/ku/nga/enz/ek/a
ekwandiseni	e/u/ku/andisa/eni
komphakathi	kwa/u/mu/phakathi
ngobulwelobu	nga/u/bu/lwelobu
ngobulwelobu	nga/u/bu/lwelobu
yokubonakala	yo/u/ku/bonakala
kwamatshwayo	kwa/a/ma/tshwayo
ngokweqileko	nga/u/kwe/qileko
emiphumeleni	e/mi/phumela/eni
komhlangano	kwa/u/mu/hlangano
komphakathi	kwa/u/mu/phakathi
nokulawulwa	na/u/ku/lawul/w/a
ngokwengcenye	nga/ukwengcenye
nemiphakathi	na/i/mi/phakathi
komphakathi	kwa/u/mu/phakathi
nokufundisa	na/u/ku/fund/is/a
wokubasekela	wa/u/ku/basekela
nokuphathwa	na/u/ku/phath/w/a
ebhodulukweni	e/bhoduluko/eni
wokuhlahluba	wa/u/ku/hlahluba
komphakathi	kwa/u/mu/phakathi
ekuzwisiseni	e/ku/zwisisa/eni
ngokutjhejwa	nga/u/ku/tjhejwa
zokuhlaliswa	za/u/ku/hlaliswa
komphakathi	kwa/u/mu/phakathi
nokwethulwa	na/u/kwe/thul/w/a
nokuphathwa	na/u/ku/phath/w/a
nokutjengisa	na/u/ku/tjengisa
yokuphathwa	ya/u/ku/phath/w/a
wokuphathwa	wa/u/ku/phath/w/a
nokwabelana	na/u/ku/abel/an/a
ngemisebenzi	nga/i/mi/sebenzi
nokumoroswa	na/u/ku/moros/w/a
ngokweqileko	nga/u/kwe/qileko
kwemisebenzi	kwa/i/mi/sebenzi
ngokobujamo	nga/ku/ko/bu/jamo
komphakathi	kwa/u/mu/phakathi
njengengcenye	njenga/ingcenye
komphakathi	kwa/u/mu/phakathi
lokukhiqizwa	loku/ku/khiqizwa
emikhakheni	e/i/mi/khakha/ini
komphakathi	kwa/u/mu/phakathi
lawurarulula	la/i/wu/rarulula
kwemisebenzi	kwa/i/mi/sebenzi
komphakathi	kwa/u/mu/phakathi
nekufumaneni	ne/ku/fumana/eni
emikhakheni	e/i/mi/khakha/ini
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
ephathelene	e/phath/el/an/ile
ngokobujamo	nga/ku/ko/bu/jamo
kwabasebenzi	kwa/a/ba/sebenzi
kwamalwandle	kwa/a/ma/lwandle
kwamalwandle	kwa/a/ma/lwandle
njengengcenye	njenga/ingcenye
komphakathi	kwa/u/mu/phakathi
netuthukweni	na/e/tuthuko/eni
lokuphathwa	la/u/ku/phath/w/a
kokuthumela	kwa/u/ku/thumel/a
kweemfundiswa	ku/eemfundisw/a
nemisebenzini	na/mi/sebenzini
kwemisebenzi	kwa/i/mi/sebenzi
kwemisebenzi	kwa/i/mi/sebenzi
nemiphakathi	na/i/mi/phakathi
wokutlhogeka	wa/u/ku/tlhogeka
komphakathi	kwa/u/mu/phakathi
ngemisebenzi	nga/i/mi/sebenzi
ngokufitjhani	nga/ukufitjhani
nokudlhegana	na/u/ku/dlhegana
kwemisebenzi	kwa/i/mi/sebenzi
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
yokukhuphula	yo/u/ku/khuphula
nelephrovinsi	na/le/phrovinsi
kwemisebenzi	kwa/i/mi/sebenzi
emikhakheni	e/i/mi/khakha/ini
ngamalungelo	nga/a/ma/lungelo
kwamalungelo	kwa/a/ma/lungelo
nokufundisa	na/u/ku/fund/is/a
ngamalungelo	nga/a/ma/lungelo
lokuqiniseka	lo/i/ku/qiniseka
wokurarulula	wa/u/ku/rarulula
yemiphakathi	ye/i/mi/phakathi
komphakathi	kwa/u/mu/phakathi
kwemisebenzi	kwa/i/mi/sebenzi
komnothwabo	kwa/u/mu/nothwabo
komphakathi	kwa/u/mu/phakathi
nokuthuthwa	na/u/ku/thuth/w/a
ukuzwisisa	u/ku/i/z/w/is/is/a
ebhodulukweni	e/bhoduluko/eni
komphakathi	kwa/u/mu/phakathi
emfuziselweni	e/mfuziselo/eni
komphakathi	kwa/u/mu/phakathi
nokuthuthwa	na/u/ku/thuth/w/a
wokuphungula	wa/u/ku/phungula
nokuzimisela	na/ku/zi/mi/sela
komphakathi	kwa/u/mu/phakathi
nekuhlungeni	ne/ku/hlunga/eni
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
eenkanukweni	e/e/n/kanuko/eni
okungenzeka	o/ku/nga/enz/ek/a
wokuthumela	wa/u/ku/thum/el/a
nomtholapilo	na/u/m/tholapilo
komphakathi	kwa/u/mu/phakathi
wokukhandela	wa/u/ku/khandela
komphakathi	kwa/u/mu/phakathi
abasezingeni	aba/se/zinga/eni
ngemisebenzi	nga/i/mi/sebenzi
ngemisebenzi	nga/i/mi/sebenzi
emadorobheni	e/ma/dorobha/eni
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
nokuphathwa	na/u/ku/phath/w/a
baneenkareko	ba/na/i/i/kareko
lokuphathwa	la/u/ku/phath/w/a
neminyakeni	na/i/mi/nyaka/eni
neminyakeni	na/i/mi/nyaka/eni
emadorobheni	e/ma/dorobha/eni
ngomutjhwana	nga/u/mu/tjhwana
kwabasebenzi	kwa/a/ba/sebenzi
lamaphetheni	la/a/ma/phetheni
emadorobheni	e/ma/dorobha/eni
emadorobheni	e/ma/dorobha/eni
njengengcenye	njenga/ingcenye
nokufumaneka	na/u/ku/fumaneka
ngokwesijoni	nga/u/kwe/sijoni
ngokwesijoni	nga/u/kwe/sijoni
yokubalekela	yo/u/ku/balekela
ngokwesijoni	nga/u/kwe/sijoni
wokuphathwa	wa/u/ku/phath/w/a
nokulawulwa	na/u/ku/lawul/w/a
komphakathi	kwa/u/mu/phakathi
kwemisebenzi	kwa/i/mi/sebenzi
ngemisebenzi	nga/i/mi/sebenzi
wokwabelana	wo/kwa/ab/el/an/a
nemihlangano	na/i/mi/hlangano
nemihlangano	na/i/mi/hlangano
ebhodulukweni	e/bhoduluko/eni
ngemisebenzi	nga/i/mi/sebenzi
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
ezisilaphaza	ezi/izisilaphaza
wokuphungula	wa/u/ku/phungula
komphakathi	kwa/u/mu/phakathi
ephathelene	e/phath/el/an/ile
kwemisebenzi	kwa/i/mi/sebenzi
wokuphungula	wa/u/ku/phungula
nokuthathwa	na/u/ku/thath/w/a
unomsebenzi	u/na/u/mu/sebenzi
nokunikelwa	na/u/ku/nikel/w/a
njengeenkhala	njenga/ienkhala
yokuphathwa	ya/u/ku/phath/w/a
ngokwenziwa	nga/u/ku/enz/iw/a
nemifuziselo	na/i/mi/fuziselo
wokutlhayela	wa/u/ku/tlhayela
sokukhiqizwa	sa/u/ku/khiqizwa
kwemikhiqizo	kwa/i/mi/khiqizo
kwabasebenzi	kwa/a/ba/sebenzi
sokukhiqizwa	sa/u/ku/khiqizwa
kwemikhiqizo	kwa/i/mi/khiqizo
yama-ayithemu	y/a/ma/ayithemu
ngomhlangano	nga/u/m/hlangano
ngokweqileko	nga/u/kwe/qileko
nokunikelwa	na/u/ku/nikel/w/a
yokuthumela	ya/u/ku/thum/el/a
wokuthengwa	wa/u/ku/theng/w/a
lokuvikelwa	la/u/ku/vikel/w/a
ephathelene	e/phath/el/an/ile
lelilungelo	leli/i/li/lungelo
izokwenzeka	i/zoku/w/enz/ek/a
kwemisebenzi	kwa/i/mi/sebenzi
nekunabiseni	ne/ku/nabisa/eni
komphakathi	kwa/u/mu/phakathi
ophathelene	o/phath/el/an/ile
ungawazisa	u/nga/wu/az/is/w/a
komhlangano	kwa/u/mu/hlangano
lemihlangano	le/i/mi/hlangano
komphakathi	kwa/u/mu/phakathi
sokwethulwa	sa/u/kwe/thul/w/a
komphakathi	kwa/u/mu/phakathi
kwemisebenzi	kwa/i/mi/sebenzi
ekungenzeka	e/ku/nga/enz/ek/a
komphakathi	kwa/u/mu/phakathi
nokwethulwa	na/u/kwe/thul/w/a
njengesigaba	njenga/i/si/gaba
komphakathi	kwa/u/mu/phakathi
yokuthathwa	ya/u/ku/thath/w/a
yokuthathwa	ya/u/ku/thath/w/a
komphakathi	kwa/u/mu/phakathi
ekhawulelweko	e/ikhawulelweko
komphakathi	kwa/u/mu/phakathi
nemitholapilo	na/imitholapilo
ekuphakeleni	e/ku/phakela/eni
kwemisebenzi	kwa/i/mi/sebenzi
kwemikhiqizo	kwa/i/mi/khiqizo
emithonjeni	e/i/mi/thonjo/eni
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
esidzimelele	esi/sidzimelel/e
wokurarulula	wa/u/ku/rarulula
kwemisebenzi	kwa/i/mi/sebenzi
ngemisebenzi	nga/i/mi/sebenzi
nemihlangano	na/i/mi/hlangano
nemihlangano	na/i/mi/hlangano
ngemisebenzi	nga/i/mi/sebenzi
ekutholeleni	e/ku/tholela/eni
ngokweqileko	nga/u/kwe/qileko
wokuthathwa	wa/u/ku/thath/w/a
ngemisebenzi	nga/i/mi/sebenzi
nokufumaneka	na/u/ku/fumaneka
kwemikhiqizo	kwa/i/mi/khiqizo
nokwethulwa	na/u/kwe/thul/w/a
ngabasebenzi	nga/a/ba/sebenzi
ngemisebenzi	nga/i/mi/sebenzi
nemiphakathi	na/i/mi/phakathi
ngemiphumela	nga/i/mi/phumela
kokulungisa	kwa/u/ku/lungis/a
wokuthuthwa	wa/u/ku/thuth/w/a
wokuphungula	wa/u/ku/phungula
komphakathi	kwa/u/mu/phakathi
nemiphakathi	na/i/mi/phakathi
kwamatshwayo	kwa/a/ma/tshwayo
komphakathi	kwa/u/mu/phakathi
wokulalelwa	wa/u/ku/lalel/w/a
ukuzwisisa	u/ku/i/z/w/is/is/a
emikhakheni	e/i/mi/khakha/ini
ngemisebenzi	nga/i/mi/sebenzi
nabahlangana	na/ba/hlanga/ana
kwemisebenzi	kwa/i/mi/sebenzi
nemiphakathi	na/i/mi/phakathi
njengengcenye	njenga/ingcenye
yokuphathwa	ya/u/ku/phath/w/a
kusehlelweni	ku/s/e/hlelo/eni
wokuphungula	wa/u/ku/phungula
