kokunaka	kwa/u/ku/nak/a
batlewyime	ba/atlewyim/e
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
engcenyeni	e/ngcenye/eni
wekhansela	we/i/khansela
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
umphakathi	u/mu/phakathi
ngokubeka	nga/u/ku/bek/a
nokufunda	na/u/ku/fund/a
womthetho	wa/u/mu/thetho
umphakathi	u/mu/phakathi
endaweni	e/i/n/ndawo/ini
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
lepumelelo	le/i/pumelelo
nerhelebho	na/i/rhelebho
ngomnyaka	nga/u/mu/nyaka
ngomnyaka	nga/u/mu/nyaka
nomthetho	na/u/mu/thetho
izakhamuzi	i/zi/akhamuzi
abaqalene	aba/qal/an/ile
emnyakeni	e/mu/nyaka/eni
kwamahlanu	kwa/ama/hlanu
ngomnyaka	nga/u/mu/nyaka
zokuhlala	za/u/ku/hlal/a
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
zomthetho	za/u/mu/thetho
nomthetho	na/u/mu/thetho
yokuphela	ya/u/ku/phel/a
yokuthoma	ya/u/ku/thom/a
ngomnyaka	nga/u/mu/nyaka
ngomnyaka	nga/u/mu/nyaka
ngomnyaka	nga/u/mu/nyaka
lokulawula	lo/i/kulawula
izakhamuzi	i/zi/akhamuzi
eempilweni	e/em/pilo/eni
ngezabelo	nga/i/zi/abelo
weembaseli	we/el/mbaseli
kwekhabhoni	kwa/khabhoni
esiqhemeni	esi/qhema/eni
izehlakalo	i/zi/ehlakalo
sokutlama	sa/u/ku/tlam/a
umphakathi	u/mu/phakathi
njengento	njenga/i/n/tho
lokugcina	la/u/ku/gcin/a
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
umhlangano	u/mu/hlangano
nomasipala	na/u/masipala
somthetho	sa/u/mu/thetho
umphakathi	u/mu/phakathi
endaweni	e/i/n/ndawo/ini
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
umphakathi	u/mu/phakathi
izakhamuzi	i/zi/akhamuzi
ebujameni	e/bu/jam/e/ini
nokuhluka	na/u/ku/hluk/a
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
nekhansela	na/i/khansela
umhlangano	u/mu/hlangano
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
izakhamuzi	i/zi/akhamuzi
lokuphila	la/u/ku/phil/a
ukuzwana	u/ku/i/z/w/an/a
umphakathi	u/mu/phakathi
njengento	njenga/i/n/tho
lamanothi	la/a/ma/anothi
yokuthoma	ya/u/ku/thom/a
ngetuthuko	nga/i/tuthuko
umphakathi	u/mu/phakathi
ngezabelo	nga/i/zi/abelo
yokuletha	ya/u/ku/leth/a
izakhamuzi	i/zi/akhamuzi
ngokwakha	nga/u/ku/akh/a
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
ngokwenza	nga/u/ku/enz/a
lokuthola	la/u/ku/thol/a
ebujameni	e/bu/jam/e/ini
lokuthoma	la/u/ku/thom/a
abakhelwe	aba/akh/el/w/e
umphakathi	u/mu/phakathi
angenziwa	a/nge/enz/iw/a
edorobheni	e/dorobha/eni
kwezindlu	kwa/i/zin/ndlu
kwezindlu	kwa/i/zin/ndlu
ngokwenza	nga/u/ku/enz/a
eenkorweni	e/en/koro/eni
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
ngokuqala	nga/u/ku/qal/a
lokuhlola	la/u/ku/hlol/a
ekutheni	e/u/ku/th/a/ini
kwezindlu	kwa/i/zin/ndlu
kwezindlu	kwa/i/zin/ndlu
wokuphila	wa/u/ku/phil/a
womthetho	wa/u/mu/thetho
angenziwa	a/nge/enz/iw/a
umphakathi	u/mu/phakathi
endaweni	e/i/n/ndawo/ini
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
abazakwazi	aba/za/ku/azi
nokuletha	na/u/ku/leth/a
wokutlama	wa/u/ku/tlam/a
umhlangano	u/mu/hlangano
ethebuleni	e/thebula/eni
lokondleka	lo/i/kondleka
ngokungabi	nga/ku/nga/bi
emibuzweni	e/mi/buzo/eni
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
umphakathi	u/mu/phakathi
izakhamuzi	i/zi/akhamuzi
lamanothi	la/a/ma/anothi
zokuhlala	za/u/ku/hlal/a
nokuthoma	na/u/ku/thom/a
umphakathi	u/mu/phakathi
umhlangano	u/mu/hlangano
ngepelaveke	nga/pelaveke
enturhwini	e/n/turhu/ini
yomthetho	ya/u/mu/thetho
neentweni	ne/e/n/nto/ini
ebujameni	e/bu/jam/e/ini
somthetho	sa/u/mu/thetho
umphakathi	u/mu/phakathi
sokuthoma	sa/u/ku/thom/a
endaweni	e/i/n/ndawo/ini
eendaweni	e/en/ndawo/eni
umphakathi	u/mu/phakathi
izakhamuzi	i/zi/akhamuzi
yokuphela	ya/u/ku/phel/a
umhlangano	u/mu/hlangano
umhlangano	u/mu/hlangano
izakhamuzi	i/zi/akhamuzi
eendaweni	e/en/ndawo/eni
umphakathi	u/mu/phakathi
wokuphila	wa/u/ku/phil/a
nokukhula	na/u/ku/khul/a
ekutheni	e/u/ku/th/a/ini
ngobunengi	nga/obu/nengi
ngewokobana	nga/wokobana
ngokwenza	nga/u/ku/enz/a
yokulawula	ye/ku/lawul/a
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
ethebulini	e/thebuli/ini
lokuhlola	la/u/ku/hlol/a
umphakathi	u/mu/phakathi
eempilweni	e/em/pilo/eni
umphakathi	u/mu/phakathi
nokufakwa	na/u/ku/fakw/a
umphakathi	u/mu/phakathi
edorobheni	e/dorobha/eni
kumkhandlu	ku/mu/khandlu
zokufunda	za/u/ku/fund/a
endaweni	e/i/n/ndawo/ini
ngobunengi	nga/obu/nengi
enturhwini	e/n/turhu/ini
ngenyanga	nga/i/n/nyanga
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
ngalokho-ke	nga/lokho/ke
njengento	njenga/i/n/tho
ebujameni	e/bu/jam/e/ini
ebujameni	e/bu/jam/e/ini
nokuhlala	na/u/ku/hlal/a
lokuhlola	la/u/ku/hlol/a
umphakathi	u/mu/phakathi
nekhwalithi	na/khwalithi
umhlangano	u/mu/hlangano
izakhamuzi	i/zi/akhamuzi
kuzokwenza	ku/zoku/enz/a
umphakathi	u/mu/phakathi
ngokwenza	nga/u/ku/enz/a
umhlangano	u/mu/hlangano
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
wokuphila	wa/u/ku/phil/a
ekutheni	e/u/ku/th/a/ini
nekhansela	ne/i/khansela
lokuhlola	la/u/ku/hlol/a
esifanako	esi/si/fana/ko
ngokwenza	nga/u/ku/enz/a
somnqopho	sa/u/mu/nqopho
banemizwa	ba/na/i/mi/zwa
endaweni	e/i/n/ndawo/ini
umhlangano	u/mu/hlangano
edorobheni	e/dorobha/eni
ekutheni	e/u/ku/th/a/ini
lamanothi	la/a/ma/anothi
ngomnyaka	nga/u/lu/nyaka
wokulwela	wa/u/ku/lwel/a
ngokukhulu	nga/oku/khulu
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
lepumelelo	le/i/pumelelo
kumphathi	ku/u/mu/phathi
ngokufuna	nga/u/ku/fun/a
izakhamuzi	i/zi/akhamuzi
umphakathi	u/mu/phakathi
njengento	njenga/i/n/tho
umphakathi	u/mu/phakathi
namakghono-	na/ma/kghono
lekhansela	le/i/khansela
