nokunehlonipho	na/u/ku/nehlonipho
wokuthuthukiswa	wa/u/ku/thuthuk/is/w/a
nokuhlanganiswa	na/u/ku/hlangan/is/w/a
nokusebenzisana	na/u/ku/sebenz/is/an/a
ngokwezomthetho	nga/kwe/za/u/mu/thetho
nokuthuthukiswa	na/u/ku/thuthuk/is/w/a
leentjhabatjhaba	le/i/e/n/tjhabatjhaba
kunokugugunyeka	ku/na/u/ku/guguny/ek/a
esikhanyisi-magama	esi/khanyisi/magama
nokuhlangabezana	na/u/ku/hlangabezan/a
ngokuhlanganyela	nga/u/ku/hlanganyel/a
ngokuzithandela	nga/u/ku/zi/thand/el/a
nekuthuthukisweni	na/ku/thuthukiso/eni
nokuthuthukiswa	na/u/ku/thuthuk/is/w/a
wokuzibophelela	wa/u/ku/zi/boph/elel/a
wokuzikhakhazisa	wa/u/ku/zi/khakhazisa
ngokuhlanganyela	nga/u/ku/hlanganyel/a
ngokuhlanganyela	nga/u/ku/hlanganyel/a
umsombululi-mraro	u/m/sombululi/m/raro
nokukhulumisana	na/u/ku/khulum/is/an/a
ekungezelelekeni	e/ku/nge/zeleleka/eni
nobungalinganiko	na/bu/nga/lingan/i/ko
nokusetjenziswa	na/u/ku/setjenz/is/w/a
nangokuphalisana	na/ngo/u/ku/phalisana
leentjhabatjhaba	le/i/e/n/tjhabatjhaba
zinamakhakhazela	zi/na/a/ma/khakhazela
enjengohlanganiso	e/injengo/hlanganiso
nokuhlangabezana	na/u/ku/hlangabezan/a
wokuthuthukiswa	wa/u/ku/thuthuk/is/w/a
nokuhlanganiswa	na/u/ku/hlangan/is/w/a
nokukghonakalisa	na/u/ku/kghonakalis/a
ezahlukahlukeneko	ezi/ahlukahlukene/ko
ngokuhlanganyela	nga/u/ku/hlanganyel/a
kunokutshwenyeka	ku/na/u/ku/tshwenyeka
nezemadorobheni	na/i/ze/ma/dorobha/eni
elisebenzisanako	eli/sebenz/is/iw/a/ko
somthethokambiso	sa/u/mu/thethokambiso
ngokungakatjheji	nga/u/ku/nga/katjheji
ngokuhlanganyela	nga/u/ku/hlanganyel/a
lokuphunyelelweko	lo/i/kuphunyelelweko
ngokuzithandela	nga/u/ku/zi/thand/el/a
wokuthuthukiswa	wa/u/ku/thuthuk/is/w/a
ngokuhlukahlukana	nga/u/ku/hlukahlukana
ngokupherhuliweko	nga/u/ku/pherhuliweko
sokuyincibilikisa	sa/u/ku/yincibilikisa
njengokuhlukileko	njenga/ku/hluk/ile/ko
nokubandakanyeka	na/u/ku/bandakany/ek/a
nokubandakanyeka	na/u/ku/bandakany/ek/a
ekuthuthukiseni	e/u/ku/thuthuk/is/a/ini
nokulindelekileko	na/u/ku/lindelekileko
ekuthuthukiseni	e/u/ku/thuthuk/is/a/ini
ekuthuthukiseni	e/u/ku/thuthuk/is/a/ini
nokungasetjenziswa	na/ukungasetjenziswa
wokubandakanyeka	wa/u/ku/bandakany/ek/a
wokuzibandakanya	wa/u/ku/zi/bandakany/a
ngeyokuthuthukisa	nga/yoku/thuthuk/is/a
nokubandakanyeka	na/u/ku/bandakany/ek/a
abasemadorobheni	aba/s/e/ma/dorobha/eni
nokuhlangabezana	na/u/ku/hlangabez/an/a
nokuqakathekileko	na/u/ku/qakathekileko
ekuthuthukiseni	e/u/ku/thuthuk/is/a/ini
nemithethokambiso	na/i/mi/thethokambiso
ekungezeleleni	e/u/ku/ngi/ezel/el/a/ini
ngokungalinganiko	nga/ku/nga/lingani/ko
ezisemphakathini	ezi/s/e/mu/phakath/ini
nokuzibandakanya	na/u/ku/zi/bandakany/a
emikhulumiswaneni	e/mi/khulumiswana/eni
eliqakathekileko	eli/li/qakathek/ile/ko
besisekelo-kambiso	be/si/sekelo/kambiso
kweminyaka-minengi	kwe/mi/nyaka/minengi
komthethomlingwa	kwa/u/mu/thethomlingwa
nokubandakanyeka	na/u/ku/bandakany/ek/a
ngokuqakathekileko	nga/ku/qakathekileko
nekuyithengiseni	na/ku/yi/thengis/e/ini
ngokurhunyeziweko	nga/u/ku/rhunyeziweko
lokuzibandakanya	la/u/ku/zi/bandakany/a
nezengezelelanako	na/i/ze/ngezelelanako
nokubandakanyeka	na/u/ku/bandakany/ek/a
ngokwezomthetho	nga/u/ku/za/u/mu/thetho
nokuzibandakanya	na/u/ku/zi/bandakany/a
neyokuhlanganyela	na/yoku/hlangany/el/a
kokuphumelelisa	kwa/u/ku/phum/elel/is/a
ngokuhlanganiswa	nga/u/ku/hlangan/is/w/a
ngokuyihlanganisa	ngo/u/ku/yi/hlanganisa
ekuphunyelelisweni	e/ku/phunyeleliso/eni
zomthethosisekelo	za/u/mu/thethosisekelo
nangokulinganisa	na/ngo/u/ku/lingan/is/a
nokuziphendulela	na/u/ku/zi/phendul/el/a
kumthethosisekelo	ku/u/mu/thethosisekelo
abasemphakathini	a/ba/s/e/mu/phakath/ini
kumthethosisekelo	ku/u/mu/thethosisekelo
kumthethosisekelo	ku/u/mu/thethosisekelo
ngokukhulumisana	nga/u/ku/khulum/is/an/a
ekuthuthukisweni	e/ku/thuthuk/is/w/e/ini
ekuthuthukisweni	e/ku/thuthuk/is/w/e/ini
ekuthuthukisweni	e/ku/thuthuk/is/w/e/ini
nokuziphendulela	na/u/ku/zi/phendul/el/a
yokuzithuthukisa	ya/u/ku/zi/thuthuk/is/a
nokuziphendulela	na/u/ku/zi/phendul/el/a
ezisemikhawulweni	ezi/s/e/mi/khawulo/eni
wokuziphendulela	wa/u/ku/zi/phendul/el/a
ngokwesivumelwano	nga/u/kwe/si/vumelwano
ngokuzibophelela	nga/u/ku/zi/boph/elel/a
yokuzithuthukisa	ya/u/ku/zi/thuthuk/is/a
kukulumo-pendulwano	ku/kulumo/pendulwano
nokuziphendulela	na/u/ku/zi/phendul/el/a
ekuthuthukisweni	e/ku/thuthuk/is/w/e/ini
kumthethosisekelo	ku/u/mu/thethosisekelo
nomthethosisekelo	na/u/mu/thethosisekelo
nokuziphendulela	na/u/ku/zi/phendul/el/a
yomthethosisekelo	ya/u/mu/thethosisekelo
ngeenkambisolawulo	nga/e/n/kambisolawulo
ekuthuthukisweni	e/ku/thuthuk/is/w/e/ini
yomthethosisekelo	ya/u/mu/thethosisekelo
kumthethosisekelo	ku/u/mu/thethosisekelo
ekuthuthukisweni	e/ku/thuthuk/is/w/e/ini
ngeleensetjenziswa	nga/le/e/nsetjenziswa
ngokurhunyeziweko	nga/u/ku/rhunyeziwe/ko
nangokubuyekezwa	na/ngo/u/ku/buyekez/w/a
somthethosisekelo	sa/u/mu/thethosisekelo
kumthethosisekelo	ku/u/mu/thethosisekelo
wokuziphendulela	wa/u/ku/zi/phendul/el/a
wokuziphendulela	wa/u/ku/zi/phendul/el/a
kumthethosisekelo	ku/u/mu/thethosisekelo
kumthethosisekelo	ku/u/mu/thethosisekelo
esinemininingwana	esi/na/i/mi/niningwana
yalamakhomitjhini	ya/la/a/ma/khomitjhini
ngokuzibophelela	nga/u/ku/zi/boph/elel/a
wokuziphendulela	wa/u/ku/zi/phendul/el/a
wokuziphendulela	wa/u/ku/zi/phendul/el/a
ngokungakajayeleki	nga/ku/ngaka/jayeleki
wokuziphendulela	wa/u/ku/zi/phendul/el/a
nokuziphendulela	na/u/ku/zi/phendul/el/a
nokuziphendulela	na/u/ku/zi/phendul/el/a
ngokukhulumisana	nga/u/ku/khulum/is/an/a
kumthethosisekelo	ku/u/mu/thethosisekelo
ekuthuthukisweni	e/ku/thuthuk/is/w/e/ini
nokuphunyeleliswa	na/u/ku/phunyelelisw/a
nokuziphendulela	na/u/ku/zi/phendul/el/a
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
nokukghonakaliswa	no/u/ku/kghonakalis/w/a
njengamaphrojekthi	njenga/a/ma/phrojekthi
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
wokuhlangahlangana	wa/u/ku/hlangahlangana
ngemithethokambiso	nga/i/mi/thethokambiso
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
2005-imihlahlandlela	2005/imihlahlandlela
anokuziphendulela	a/na/u/ku/zi/phendulela
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ukubotjhwa-sikhathi	u/ku/botjhwa/sikhathi
komthethosisekelo	kwa/u/mu/thethosisekelo
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ngokweenkhewukhewu	nga/kwe/e/n/khewukhewu
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
esifundweni-bandulo	esi/fundo/eni/bandulo
komthethosisekelo	kwa/u/mu/thethosisekelo
sokuhlangahlangana	sa/u/ku/hlangahlangana
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ekuphumeleliseni	e/u/ku/phumelel/is/a/ini
ngokuzibandakanya	nga/u/ku/zi/bandakany/a
nekuhlanganyeleni	ne/u/ku/hlanganyela/eni
nekusebenzisaneni	na/ku/sebenz/is/an/e/ini
nokuphunyeleliswa	na/u/ku/phunyelel/is/w/a
ngokungakhathaleli	nga/u/ku/nga/khathaleli
nokuphunyeleliswa	na/u/ku/phunyelel/is/w/a
ngokokuhlanganyela	nga/u/ku/ku/hlanganyela
ekuwuphumeleliseni	e/ku/wu/phumelelisa/eni
ekukhulumisaneni	e/u/ku/khulum/is/an/a/ini
ekukhulumisaneni	e/u/ku/khulum/is/an/a/ini
ngokungakhathaleli	nga/u/ku/nga/khathaleli
ekusebenzisaneni	e/u/ku/sebenz/is/an/a/ini
nangokuhlanganyela	na/ngo/u/ku/hlanganyela
kunokudosadosisana	ku/na/u/ku/dosadosisana
kweentjengiso-mbono	kwe/e/n/tjengiso/mbono
ekukhulumisaneni	e/u/ku/khulum/is/an/a/ini
ekuwuphumeleliseni	e/ku/wu/phumelelisa/eni
ekusebenzisaneni	e/u/ku/sebenz/is/an/a/ini
ezisemphakathinabo	ezi/s/e/mu/phakathinabo
ngokwamaphothfoliyo	nga/kwa/ma/phothfoliyo
kunemithetholawulo	ku/na/i/mi/thetholawulo
anokuziphendulela	a/na/u/ku/zi/phendul/el/a
ngokungakapheleli	nga/u/ku/nga/ka/phel/el/i
njengokuthuthukisa	njenga/u/ku/thuthuk/is/a
unokuziphendulela	u/na/u/ku/zi/phendul/el/a
umphathikulumiswano	u/mu/phathi/kulumiswano
kunokungakabambani	ku/na/u/ku/ngaka/bambani
zabakwa-transparency	za/ba/kwa/transparency
nomthangalasisekelo	na/u/m/thangalasisekelo
ngokungakapheleli	nga/u/ku/nga/ka/phel/el/i
esisefliphutjhadini	esi/se/fliphutjhadi/ini
nabanganasiqiniseko	na/aba/nga/na/siqiniseko
wokuzokukhulumisana	wa/u/ku/zoku/khulumisana
ngokuphumelelisako	nga/u/ku/phumelel/is/a/ko
nemithangalasisekelo	na/i/mi/thangalasisekelo
nemithangalasisekelo	na/i/mi/thangalasisekelo
nemithangalasisekelo	ne/i/mi/thangalasisekelo
nemithangalasisekelo	ne/i/mi/thangalasisekelo
ngemithangalasisekelo	nga/imithangalasisekelo
nemithangalasisekelo	na/i/mi/thangalasisekelo
nemithangalasisekelo	na/i/mi/thangalasisekelo
komthangalasisekelo	kwa/u/mu/thangalasisekelo
nombikomthethokambiso	na/umbikomthethokambiso
yokutjhugutjhuguluka	yo/u/ku/tjhugutjhuguluka
komthangalasisekelo	kwa/u/mu/thangalasisekelo
komthangalasisekelo	kwa/u/mu/thangalasisekelo
komthangalasisekelo	kwa/u/mu/thangalasisekelo
ngokungenelelekileko	nga/u/ku/ngenelelekile/ko
ngokwemithethokambiso	nga/kwe/mi/thethokambiso
abonokuziphendulela	aba/na/u/ku/zi/phendul/el/a
ezinjengekwazulu-natal	ezi/njenge/kwazulu/natal
ngokungasetjenziswa	ngo/ku/nga/setjensiz/is/w/a
njengeziqakathekileko	njenga/ezi/qakathek/ile/ko
kwekhabhoni-dayoksayidi	kwe/khabhoni/dayoksayidi
sombikomthethokambiso	sa/u/mu/bikomthethokambiso
ngokungakalindeleki	nga/u/ku/nga/ka/lind/el/ek/i
ngokungakalindeleki	nga/u/ku/nga/ka/lind/el/ek/i
ezingasisemthethweni	ezi/nga/si/s/e/m/thetho/eni
njengeziqakathekileko	njenga/ezi/qakathek/ile/ko
njengesilethitjhuguluko	njenga/isilethitjhuguluko
elimahlangothi-mathathu	eli/ma/hlangothi/ma/thathu
babenokuziphendulela	ba/be/na/u/ku/zi/phendul/el/a
njengokunanyathiselwako	njenga/u/ku/nanyathiselwako
yokukghonakalisamayelana	y/o/ikukghonakalisamayelana
ngokungasisemthethweni	nga/ku/ngasi/s/e/m/thetho/eni
ngokungasisemthethweni	nga/ku/ngasi/s/e/m/thetho/eni
ngokungasisemthethweni	nga/ku/ngasi/s/e/m/thetho/eni
ngokungasisemthethweni	nga/ku/nga/si/s/e/m/thetho/eni
lethungelelwanohlanganiso	le/i/thungelelwanohlanganiso
