-xyz	xyz
zomphakathi	za/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
nehlalakuhle	na/i/hlalakuhle
lokusebenza	la/u/ku/sebenz/a
nokukhuluma	na/u/ku/khulum/a
womphakathi	wa/u/mu/phakathi
bomphakathi	ba/u/mu/phakathi
kwezakhamuzi	kwe/zi/akhamuzi
womphakathi	wa/u/mu/phakathi
eqinisweni	e/i/li/qiniso/ini
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
lomphakathi	la/u/mu/phakathi
esikhundleni	esi/khundla/ini
ngokuvunywa	ngo/u/ku/vunyw/a
yomphakathi	ya/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
netjhuguluko	na/i/tjhuguluko
wokusebenza	wa/u/ku/sebenz/a
ngezakhamuzi	nga/zi/akhamuzi
somphakathi	sa/u/mu/phakathi
yomhlangano	y/o/i/m/hlangano
nehlalakuhle	na/i/hlalakuhle
eminyangweni	e/mi/nyango/eni
ngokobulili	nga/u/ko/bu/lili
lezakhamuzi	le/i/zi/akhamuzi
njengokutjho	njenga/ku/tjh/o
leentjhijilo	le/i/entjhijilo
somphakathi	sa/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
komhlangano	ko/u/mu/hlangano
lomphakathi	la/u/mu/phakathi
kokukhulisa	ko/u/ku/khulis/a
yomphakathi	ya/u/mu/phakathi
lobulungiswa	lo/i/bulungiswa
lomphakathi	la/u/mu/phakathi
emkhandlwini	e/m/khandlu/ini
nomphakathi	na/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
eenkhathini	e/e/n/khathi/ini
nomphakathi	na/u/mu/phakathi
nokutjhinga	na/u/ku/tjhing/a
nokutjhinga	na/u/ku/tjhing/a
nokusebenza	na/u/ku/sebenz/a
zomphakathi	za/u/mu/phakathi
esikhundleni	esi/khundla/ini
ngonobangela	nga/u/nobangela
lephrojekthi	le/i/phrojekthi
nemifuziselo	na/i/mi/fuziselo
nokunikelwa	na/u/ku/nikel/w/a
ukuzwisisa	u/ku/i/z/w/is/is/a
wokulawulwa	wa/u/ku/lawul/w/a
komphakathi	kwa/u/mu/phakathi
ngokusebenza	nga/u/ku/sebenza
nokwethulwa	na/u/kwe/thul/w/a
baneenkareko	ba/na/i/i/kareko
nemarhwebeni	na/ma/rhwebo/eni
nokwenzekako	no/ku/enzek/a/ko
njengesigaba	njenga/i/si/gaba
ephathelene	e/phath/el/an/ile
emadorobheni	e/ma/dorobha/eni
kwamabhajedi	kwa/a/ma/bhajedi
kumihlangano	ku/i/mi/hlangano
komphakathi	kwa/u/mu/phakathi
komphakathi	kwa/u/mu/phakathi
yokudlulisa	ya/u/ku/dlul/is/a
iphathelene	i/phath/el/an/ile
wokutjhidisa	wa/u/ku/tjhidisa
bemiphakathi	ba/i/mi/phakathi
komphakathi	kwa/u/mu/phakathi
wokurarulula	wa/u/ku/rarulula
ebhodulukweni	e/bhoduluko/eni
nokwethulwa	na/u/kwe/thul/w/a
ngemisebenzi	nga/i/mi/sebenzi
lamaphethini	la/i/m/aphethini
ekungenzeka	e/ku/nga/enz/ek/a
lamakhansela	la/a/ma/khansela
abasewadini	a/ba/s/e/wadi/ini
kwemisebenzi	kwa/i/mi/sebenzi
ngokufitjhani	nga/ukufitjhani
abasemjejeni	a/ba/semjeja/eni
komphakathi	kwa/u/mu/phakathi
njengomnyango	njenga/umnyango
nokusekelwa	na/u/ku/sekel/w/a
lemihlangano	le/i/mi/hlangano
lemihlangano	le/i/mi/hlangano
ophathelene	o/phath/el/an/ile
nemihlangano	na/i/mi/hlangano
nokutholiswa	na/u/ku/tholiswa
komphakathi	kwa/u/mu/phakathi
komphakathabo	ko/umphakathabo
sokuphungula	sa/u/ku/phungula
komphakathi	kwa/u/mu/phakathi
neyokukhulisa	na/yoku/khulisa
komphakathi	kwa/u/mu/phakathi
lobudlelwano	lo/u/bu/dlelwano
ngokomzimba	nga/u/ku/mu/zimba
emadorobheni	e/ma/dorobha/eni
ephathelene	e/phath/el/an/ile
nokuphathwa	na/u/ku/phath/w/a
njengendlela	njenga/i/n/dlela
kwemisebenzi	kwa/i/mi/sebenzi
ngokuhlalisa	nga/u/ku/hlalis/a
sokucozulula	sa/u/ku/cozulul/a
sokutlanywa	sa/u/ku/tlany/iw/a
bangamalanga	ba/nga/a/ma/langa
ezisekhasini	ezi/s/e/khasi/ini
emsebenzini	e/u/mu/sebenzi/ini
kokuvamileko-	ko/ku/vamil/e/ko
yokuhlangana	y/o/ku/hlanga/ana
wangamalanga	wa/nga/a/ma/langa
imininingwana	i/mi/niningo/ana
ekuqiniseni	e/u/ku/qinis/a/ini
emsebenzini	e/u/mu/sebenzi/ini
nokufumaneka	na/u/ku/fumanek/a
imithetjhwana	i/mi/thetjho/ana
yokubuyekeza	ya/u/ku/buyekez/a
ekukhiqizweni	e/ku/khiqizo/eni
emsebenzini	e/u/mu/sebenzi/ini
nekwenzeleni	na/kw/enz/el/en/i
ngokomnqopho	nga/u/ku/m/nqopho
nokubuyekeza	na/u/ku/buyekez/a
elisekhasini	eli/s/e/khasi/ini
nokubuyekeza	na/u/ku/buyekez/a
ngeenhlangano	nga/e/n/hlangano
ehlanzekileko	e/ihlanzekile/ko
yokukhuphula	yo/u/ku/khuphul/a
sokuvikelwa	sa/u/ku/vik/el/w/a
sokubuyisela	sa/u/ku/buyisel/a
emsebenzini	e/u/mu/sebenzi/ini
elisekhasini	eli/s/e/khasi/ini
ngokomthetho	nga/u/ku/m/thetho
nokuhlaliswa	na/u/ku/hlalisw/a
nokuhlangana	na/u/ku/hlangan/a
nokuthuthuka	na/u/ku/thuthuk/a
emifuziselweni	e/mifuziselo/eni
emisebenzini	e/i/mi/sebenzi/ini
nemisebenzabo	ne/i/mi/sebenzabo
yemadorobheni	ye/ma/dorobha/eni
zemadorobheni	ze/ma/dorobha/eni
ngokucophelela	nga/ukucophelela
