ngokwakho	nga/kwakho
wekhaya	wa/i/li/khaya
kungenza	ku/nga/enz/a
epathweni	e/patho/eni
ngendaba	nga/i/n/daba
kwabomma	kwa/a/bo/mma
imumethe	i/mumath/ile
imumethe	i/mumath/ile
nobujamo	na/u/bu/jamo
ngconywana	ngcono/ana
nomtlamo	na/u/m/tlamo
yekhaya	ya/i/li/khaya
nemibono	na/i/mi/bono
zekhaya	za/i/li/khaya
lekhaya	la/i/li/khaya
ezintathu	ezin/thathu
ezintathu	ezin/thathu
ngeengaba	nga/e/ngaba
lomtlamo	lo/i/m/tlamo
nemizamo	na/i/mi/zamo
zendlela	za/i/n/dlela
ezintathu	ezin/thathu
ezintathu	ezin/thathu
kombuso	kwa/u/mu/buso
embonweni	e/mbono/eni
nge-ejensi	nga/ejensi
zokusiza	za/u/ku/siza
elevelini	e/ilevelini
ngesekelo	nga/isekelo
ngepahla	nga/i/phahla
esingaba	esi/ngi/ab/a
ngendaba	nga/i/n/daba
elikhuni	e/i/li/khuni
nendlela	na/i/n/dlela
okutjho	a/yo/ku/tjh/o
wehlelo	wa/i/li/hlelo
eminengi	a/i/mi/nengi
lentengo	le/i/n/tengo
wekhaya	wa/i/li/khaya
komleyo	kwa/u/mu/leyo
nendlela	na/i/n/dlela
ilungelo	i/li/lungelo
umumethe	u/mumath/ile
abangaba	aba/ngi/ab/a
ezintathu	ezin/thathu
ukwethula	u/ku/ethula
abentwana	a/ba/ntwana
emakhaya	e/a/ma/khaya
wekhaya	wa/i/li/khaya
kwabantu	kwa/a/ba/ntu
ngconywana	ngcono/ana
ezenziwa	ezi/enz/iw/a
zabalimi	za/a/ba/limi
abangaba	aba/ngi/ab/a
zingenza	zi/nga/enz/a
yeendawo	ye/e/n/ndawo
emumethe	e/mumath/ile
nendlela	na/i/n/dlela
nemigidi	na/i/mi/gidi
ezenziwa	ezi/enz/iw/a
ebesaneni	e/ibesaneni
ilungelo	i/li/lungelo
sezindlu	se/i/zi/ndlu
kwabantu	kwa/a/ba/ntu
okutjho	a/yo/ku/tjh/o
ngendaba	nga/i/n/daba
lamagama	la/a/ma/gama
lendlela	la/i/n/dlela
ezintathu	ezin/thathu
ezingaba	ezi/ngi/ab/a
esanelisa	esi/nelis/a
ephuzwini	e/phuzu/ini
esanelisa	esi/nelis/a
ukwabiwa	u/ku/ab/iw/a
zekhaya	za/i/li/khaya
nendlela	na/i/n/dlela
emazweni	e/ma/zwe/eni
ipumelelo	i/phumelelo
wekhaya	wa/i/li/khaya
yomlambo	ya/i/m/lambo
nehlelo	na/i/li/hlelo
wekhaya	wa/i/li/khaya
kwabomma	kwa/a/bo/mma
kwabomma	kwa/a/bo/mma
abentwana	a/ba/ntwana
ipumelelo	i/phumelelo
ukwazisa	u/ku/az/is/a
ezenziwa	ezi/enz/iw/a
mphakathi	mu/phakathi
ipendulo	i/im/pendulo
nendlela	na/i/n/dlela
ezenzeke	ezi/enz/ek/e
lendlela	la/i/n/dlela
zendlela	za/i/n/dlela
nezinga	na/i/li/zinga
ngewewadi	nga/we/wadi
kwabantu	kwa/a/ba/ntu
sehlelo	sa/i/li/hlelo
wekhaya	wa/i/li/khaya
nemibiko	na/i/mi/biko
ipumelelo	i/phumelelo
nomtlamo	na/u/m/tlamo
sehlelo	sa/i/li/hlelo
wekhaya	wa/i/li/khaya
nobujamo	na/u/bu/jamo
namagugu	na/a/ma/gugu
esingaba	esi/ngi/ab/a
nebandulo	na/ibandulo
-umasipala	u/masipala
ezintathu	ezin/thathu
emihlanu	a/i/mi/hlanu
kodwana-ke	kodwana/ke
nesikhala	na/isikhala
negunya	na/i/li/gunya
ilungelo	i/li/lungelo
mphakathi	mu/phakathi
mphakathi	mu/phakathi
ezintathu	ezin/thathu
nemizamo	na/i/mi/zamo
mphakathi	mu/phakathi
ezenzeka	ezi/enz/ek/a
lamaziko	la/i/ma/ziko
wekhaya	wa/i/li/khaya
nobulili	na/u/bu/lili
kwengehla	ku/engehl/a
ngegama	nga/i/li/gama
