lelikhasi	la/li/khasi
ngekwenta	nga/ku/ent/a
lemmango	la/u/mu/mango
yendlalwe	i/endlal/w/e
tekukhula	ta/ku/khul/a
eluhlwini	e/lu/hlu/ini
lowatiko	lo/wu/at/i/ko
umsebenti	u/mu/sebenti
bekuhlela	ba/ku/hlel/a
umsebenti	u/mu/sebenti
temimango	t/e/imimango
kufanele	ku/fanel/ek/a
bevisise	be/i/v/isis/e
kumphatsi	ku/mu/phatsi
umsebenti	u/mu/sebenti
yekutfola	ya/ku/tfol/a
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
nemmeleli	na/mu/meleli
kwembono	kwa/u/mu/bono
yakhelwe	ya/akh/el/w/e
kwemnyaka	kwa/mu/nyaka
yemmango	ya/u/mu/mango
umsebenti	u/mu/sebenti
tekuhlela	ta/ku/hlel/a
temmango	ta/u/mu/mango
tekuhlola	ta/ku/hlol/a
tekuhlola	ta/ku/hlol/a
umlingani	u/mu/lingani
lokudlile	loku/idl/ile
semlandvo	se/mu/landvo
kuyintfo	ku/yi/i/n/tfo
umlingani	u/mu/lingani
yinkapani	yi/in/kapani
kunekomidi	kuna/komidi
tekuhlala	ta/ku/hlal/a
yekugcina	ya/ku/gcin/a
lwekwenta	lwa/ku/ent/a
nemtsetfo	na/mu/tsetfo
wekuhlela	wa/ku/hlel/a
lometfuli	lo/mu/etfuli
yemmango	ya/u/mu/mango
emkhandlu	e/mu/khandlu
lemmango	la/u/mu/mango
nemtsetfo	na/mu/tsetfo
tenkhomba	ta/in/khomba
nemhlaba	na/u/mu/hlaba
lomdvwebo	lo/mu/dvwebo
esigabeni	esi/gaba/ini
umlingani	u/mu/lingani
semtsetfo	sa/mu/tsetfo
wetakhiwo	wa/ti/akhiwo
yekubamba	ya/ku/bamb/a
temmango	ta/u/mu/mango
ekulawula	a/ku/lawul/a
wekuncika	wa/ku/ncik/a
kwembono	kwa/u/mu/bono
ukwecwaya	u/ku/ecway/a
lehlukile	le/ehluk/ile
umlingani	u/mu/lingani
temmango	ta/u/mu/mango
kwenetise	ku/enet/is/e
emkhandlu	a/mu/khandlu
yekuhlala	ya/ku/hlal/a
kwesekela	ku/esek/el/a
temfundvo	ta/in/fundvo
lemmango	la/u/mu/mango
wekubhala	wa/ku/bhal/a
lekuhlela	la/ku/hlel/a
yemmango	ya/u/mu/mango
yemmango	ya/u/mu/mango
kumtsetfo	ku/mu/tsetfo
umdlandla	u/mu/dlandla
yekuhlela	ya/ku/hlel/a
yekuhlela	ya/ku/hlel/a
nekutfola	na/ku/tfol/a
lekubamba	la/ku/bamb/a
nekubhala	na/ku/bhal/a
lemklamo	la/u/mu/klamo
lebukene	le/buk/an/ile
lemklamo	la/u/mu/klamo
kwesekele	ku/esek/el/e
lowatiko	lo/wu/at/i/ko
wekugadza	wa/ku/gadz/a
titsatfwe	ti/tsats/w/e
emalini	e/i/n/mali/ini
emalini	e/i/n/mali/ini
encenyeni	e/ncenye/ini
lwekuheha	lwa/ku/heh/a
umsebenti	u/mu/sebenti
nemakatini	na/makatini
temhlaba	ta/u/mu/hlaba
abuke-ngco	a/buke/ngco
lomklamo	lo/u/mu/klamo
temmango	ta/u/mu/mango
nemklamo	na/i/mi/klamo
kumklamo	ku/u/mu/klamo
emkhandlu	a/mu/khandlu
umsebenti	u/mu/sebenti
tekucedza	ta/ku/cedz/a
netakhiwo	na/ti/akhiwo
esigabeni	esi/gaba/ini
lekuhlela	la/ku/hlel/a
kuyintfo	ku/yi/i/n/tfo
umtselela	u/mu/tselela
wemmango	wa/u/mu/mango
lonelwati	lo/na/lu/ati
temmango	ta/u/mu/mango
yemmango	ya/u/mu/mango
wesakhiwo	wa/i/sakhiwo
kuphatfwa	ku/phats/w/a
temfundvo	ta/in/fundvo
yekuhlela	ya/ku/hlel/a
yekuhlela	ya/ku/hlel/a
nebaphatsi	na/baphatsi
esigabeni	esi/gaba/ini
esigabeni	esi/gaba/ini
ekubeleka	a/ku/belek/a
lekukhula	la/ku/khul/a
yemmango	ya/u/mu/mango
yekuhlala	ya/ku/hlal/a
yekuhlala	ya/ku/hlal/a
tiphatfwe	ti/phats/w/e
ekwenteni	e/ku/ent/eni
yekuhlela	ya/ku/hlel/a
yemmango	ya/u/mu/mango
yemmango	ya/u/mu/mango
temmango	ta/u/mu/mango
netakhiwo	na/ti/akhiwo
yemmango	ya/u/mu/mango
batsatfwe	ba/tsats/w/e
lesakhiwe	le/si/akhiwo
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
wekuhlela	wa/ku/hlel/a
imsebenti	i/mi/sebenti
lemmango	la/u/mu/mango
lekuhlela	la/ku/hlel/a
lekuhlela	la/ku/hlel/a
kumdvwebo	ku/mu/dvwebo
temmango	ta/u/mu/mango
umsebenti	u/mu/sebenti
kuphatfwa	ku/phats/w/a
netimfuno	na/ti/m/funo
kuphatfwe	ku/phats/w/e
kuphatfwa	ku/phats/w/a
tekucamba	ta/ku/camb/a
